signal,pair,n_consec,dist_mult,tp,n_is3,wf_pass,oos_pd,oos_wr,tpd,n_oos
exhaust_cont,GBP_USD,4,0.5,8.0,3,1,0.883,100.0,0.107,46
exhaust_cont,GBP_USD,4,0.5,10.0,3,1,2.449,100.0,0.236,101
exhaust_cont,GBP_USD,4,0.5,15.0,3,1,2.802,100.0,0.177,76
exhaust_cont,GBP_USD,4,0.5,20.0,3,1,3.01,100.0,0.145,62
exhaust_cont,GBP_USD,4,1.0,5.0,3,1,0.76,98.5,0.152,65
exhaust_cont,GBP_USD,4,1.0,8.0,3,1,0.891,100.0,0.11,47
exhaust_cont,GBP_USD,4,1.0,10.0,3,1,2.453,100.0,0.236,101
exhaust_cont,GBP_USD,4,1.0,15.0,3,1,2.772,100.0,0.175,75
exhaust_cont,GBP_USD,4,1.0,20.0,3,1,3.0,100.0,0.145,62
exhaust_cont,GBP_USD,4,1.5,5.0,3,1,0.698,98.3,0.138,59
exhaust_cont,GBP_USD,4,1.5,8.0,3,1,0.901,100.0,0.11,47
exhaust_cont,GBP_USD,4,1.5,10.0,3,1,3.461,100.0,0.331,142
exhaust_cont,GBP_USD,4,1.5,15.0,3,1,2.712,100.0,0.173,74
exhaust_cont,GBP_USD,4,1.5,20.0,3,1,2.995,100.0,0.145,62
exhaust_cont,GBP_USD,4,2.0,5.0,3,1,0.701,100.0,0.133,57
exhaust_cont,GBP_USD,4,2.0,8.0,3,1,0.909,100.0,0.112,48
exhaust_cont,GBP_USD,4,2.0,10.0,3,1,3.64,100.0,0.355,152
exhaust_cont,GBP_USD,4,2.0,15.0,3,1,2.665,100.0,0.17,73
exhaust_cont,GBP_USD,4,2.0,20.0,3,1,2.985,100.0,0.145,62
exhaust_cont,GBP_USD,4,2.5,5.0,3,1,2.551,99.0,0.483,207
exhaust_cont,GBP_USD,4,2.5,8.0,3,1,0.868,100.0,0.105,45
exhaust_cont,GBP_USD,4,2.5,10.0,3,1,2.173,100.0,0.203,87
exhaust_cont,GBP_USD,4,2.5,15.0,3,1,2.568,100.0,0.166,71
exhaust_cont,GBP_USD,4,2.5,20.0,3,1,2.945,100.0,0.142,61
exhaust_cont,AUD_JPY,2,0.5,5.0,3,1,1.996,98.8,0.382,164
exhaust_cont,AUD_JPY,2,0.5,8.0,3,1,1.846,99.0,0.226,97
exhaust_cont,AUD_JPY,2,0.5,10.0,3,1,2.823,98.4,0.287,123
exhaust_cont,AUD_JPY,2,0.5,15.0,3,1,2.327,98.4,0.149,64
exhaust_cont,AUD_JPY,2,0.5,20.0,3,1,2.291,100.0,0.116,50
exhaust_cont,AUD_JPY,2,1.0,5.0,3,1,2.133,98.8,0.401,172
exhaust_cont,AUD_JPY,2,1.0,8.0,3,1,1.838,99.0,0.228,98
exhaust_cont,AUD_JPY,2,1.0,10.0,3,1,3.606,98.7,0.37,159
exhaust_cont,AUD_JPY,2,1.0,15.0,3,1,2.327,98.4,0.149,64
exhaust_cont,AUD_JPY,2,1.0,20.0,3,1,2.413,100.0,0.123,53
exhaust_cont,AUD_JPY,2,1.5,5.0,3,1,2.466,98.5,0.478,205
exhaust_cont,AUD_JPY,2,1.5,8.0,3,1,1.822,99.0,0.226,97
exhaust_cont,AUD_JPY,2,1.5,10.0,3,1,2.732,98.3,0.28,120
exhaust_cont,AUD_JPY,2,1.5,15.0,3,1,2.335,98.5,0.151,65
exhaust_cont,AUD_JPY,2,1.5,20.0,3,1,3.1,100.0,0.161,69
exhaust_cont,AUD_JPY,2,2.0,5.0,3,1,1.704,99.3,0.34,146
