tf_label,pair,sma,M_exit,tp_pips,trades,is_n,oos_n,is_net,oos_net,is_pd,oos_pd,oos_dd,oos_wr,days
S5/M2/M10,GBP_JPY,5/10/22,0,15.0,9,5,4,63.0,7.0,16.33,3.65,-30.8,75.0,5.8
S5/M2/M10,GBP_JPY,5/10/22,0,20.0,7,5,2,88.0,-28.3,22.81,-14.64,-45.9,50.0,5.8
S5/M2/M10,GBP_JPY,5/10/22,0,30.0,6,4,2,110.4,12.8,28.62,6.66,-14.8,50.0,5.8
S5/M2/M10,GBP_JPY,5/10/22,1,15.0,19,11,8,-100.1,-46.5,-25.96,-24.11,-59.1,25.0,5.8
S5/M2/M10,GBP_JPY,5/10/22,1,20.0,19,11,8,-95.1,-59.7,-24.66,-30.95,-69.1,25.0,5.8
S5/M2/M10,GBP_JPY,5/10/22,1,30.0,19,11,8,-85.1,-59.7,-22.07,-30.95,-69.1,25.0,5.8
S5/M2/M10,GBP_JPY,5/15/35,0,15.0,4,4,0,-6.1,0.0,-1.59,0.0,0.0,0.0,5.8
S5/M2/M10,GBP_JPY,5/15/35,0,20.0,4,4,0,8.9,0.0,2.29,0.0,0.0,0.0,5.8
S5/M2/M10,GBP_JPY,5/15/35,0,30.0,3,3,0,11.3,0.0,2.92,0.0,0.0,0.0,5.8
S5/M2/M10,GBP_JPY,5/15/35,1,15.0,18,11,7,-146.0,-25.7,-37.86,-13.3,-41.3,42.9,5.8
S5/M2/M10,GBP_JPY,5/15/35,1,20.0,16,11,5,-146.0,-13.0,-37.86,-6.71,-30.6,40.0,5.8
S5/M2/M10,GBP_JPY,5/15/35,1,30.0,16,11,5,-146.0,-19.3,-37.86,-9.98,-26.0,40.0,5.8
S5/M2/M10,GBP_JPY,5/22/50,0,15.0,1,1,0,-138.9,0.0,-36.02,0.0,0.0,0.0,5.8
S5/M2/M10,GBP_JPY,5/22/50,0,20.0,1,1,0,-138.9,0.0,-36.02,0.0,0.0,0.0,5.8
S5/M2/M10,GBP_JPY,5/22/50,0,30.0,1,1,0,-138.9,0.0,-36.02,0.0,0.0,0.0,5.8
S5/M2/M10,GBP_JPY,5/22/50,1,15.0,16,10,6,-85.3,-45.8,-22.12,-23.72,-46.1,33.3,5.8
S5/M2/M10,GBP_JPY,5/22/50,1,20.0,16,10,6,-80.3,-55.3,-20.83,-28.64,-60.6,33.3,5.8
S5/M2/M10,GBP_JPY,5/22/50,1,30.0,15,10,5,-70.3,-54.1,-18.23,-28.02,-45.3,40.0,5.8
S5/M2/M10,GBP_JPY,7/15/35,0,15.0,7,5,2,63.0,-33.3,16.33,-17.24,-45.9,50.0,5.8
S5/M2/M10,GBP_JPY,7/15/35,0,20.0,7,5,2,88.0,35.2,22.81,18.25,0.0,100.0,5.8
S5/M2/M10,GBP_JPY,7/15/35,0,30.0,5,3,2,82.8,-3.2,21.46,-1.63,-30.8,50.0,5.8
S5/M2/M10,GBP_JPY,7/15/35,1,15.0,17,11,6,-125.6,-10.5,-32.57,-5.47,-43.3,50.0,5.8
S5/M2/M10,GBP_JPY,7/15/35,1,20.0,15,10,5,-122.0,-34.0,-31.62,-17.6,-43.3,20.0,5.8
S5/M2/M10,GBP_JPY,7/15/35,1,30.0,15,10,5,-122.0,-24.0,-31.62,-12.42,-43.3,20.0,5.8
S5/M2/M10,GBP_JPY,7/22/50,0,15.0,9,7,2,88.2,-44.7,22.86,-23.2,-57.3,50.0,5.8
S5/M2/M10,GBP_JPY,7/22/50,0,20.0,8,6,2,105.6,-39.7,27.37,-20.61,-57.3,50.0,5.8
S5/M2/M10,GBP_JPY,7/22/50,0,30.0,5,5,0,73.6,0.0,19.09,0.0,0.0,0.0,5.8
S5/M2/M10,GBP_JPY,7/22/50,1,15.0,15,10,5,-61.5,-39.4,-15.94,-20.45,-52.0,40.0,5.8
S5/M2/M10,GBP_JPY,7/22/50,1,20.0,15,10,5,-61.7,-44.2,-16.01,-22.94,-61.8,40.0,5.8
S5/M2/M10,GBP_JPY,7/22/50,1,30.0,14,9,5,-60.2,-58.9,-15.6,-30.53,-61.8,40.0,5.8
S5/M2/M10,GBP_JPY,10/22/50,0,15.0,7,5,2,63.0,25.2,16.33,13.06,0.0,100.0,5.8
S5/M2/M10,GBP_JPY,10/22/50,0,20.0,6,4,2,70.4,35.2,18.25,18.25,0.0,100.0,5.8
S5/M2/M10,GBP_JPY,10/22/50,0,30.0,4,3,1,82.8,27.6,21.46,14.31,0.0,100.0,5.8
S5/M2/M10,GBP_JPY,10/22/50,1,15.0,9,6,3,18.8,13.7,4.87,7.1,-11.5,66.7,5.8
