pair,mode,T_h,param,trades,is_n,oos_n,is_net,oos_net,is_pd,oos_pd,oos_dd,oos_wr,wf_ok
USD_JPY,asym_atr,6,0.2,76,67,9,833.9,-81.8,6.95,-1.36,-137.8,66.7,True
USD_JPY,asym_atr,6,0.3,78,66,12,840.1,-68.0,7.0,-1.13,-133.9,66.7,True
USD_JPY,asym_atr,6,0.5,79,67,12,833.6,-68.0,6.95,-1.13,-133.9,66.7,True
USD_JPY,asym_atr,6,0.8,79,67,12,828.8,-68.0,6.91,-1.13,-133.9,66.7,True
USD_JPY,sym_fixed,8,5.0,31,31,0,-411.9,0.0,-3.43,0.0,0.0,0.0,False
USD_JPY,sym_fixed,8,10.0,33,33,0,-413.0,0.0,-3.44,0.0,0.0,0.0,False
USD_JPY,sym_fixed,8,15.0,33,33,0,-431.8,0.0,-3.6,0.0,0.0,0.0,False
USD_JPY,sym_fixed,8,20.0,28,28,0,-1150.3,0.0,-9.59,0.0,0.0,0.0,False
USD_JPY,sym_fixed,8,30.0,31,31,0,-1252.2,0.0,-10.43,0.0,0.0,0.0,False
USD_JPY,sym_fixed,8,50.0,74,74,0,-1337.3,0.0,-11.14,0.0,0.0,0.0,False
USD_JPY,sym_atr,8,0.3,32,32,0,-395.7,0.0,-3.3,0.0,0.0,0.0,False
USD_JPY,sym_atr,8,0.5,32,32,0,-409.0,0.0,-3.41,0.0,0.0,0.0,False
USD_JPY,sym_atr,8,0.7,28,28,0,-1153.0,0.0,-9.61,0.0,0.0,0.0,False
USD_JPY,sym_atr,8,1.0,28,28,0,-1186.4,0.0,-9.89,0.0,0.0,0.0,False
USD_JPY,sym_atr,8,1.5,39,39,0,-1328.0,0.0,-11.07,0.0,0.0,0.0,False
USD_JPY,sym_atr,8,2.0,73,73,0,-1341.1,0.0,-11.18,0.0,0.0,0.0,False
USD_JPY,asym_fixed,8,0.5,28,28,0,-320.8,0.0,-2.67,0.0,0.0,0.0,False
USD_JPY,asym_fixed,8,1.0,28,28,0,-320.3,0.0,-2.67,0.0,0.0,0.0,False
USD_JPY,asym_fixed,8,2.0,29,29,0,-318.0,0.0,-2.65,0.0,0.0,0.0,False
USD_JPY,asym_fixed,8,3.0,30,30,0,-317.5,0.0,-2.65,0.0,0.0,0.0,False
USD_JPY,asym_fixed,8,5.0,30,30,0,-331.1,0.0,-2.76,0.0,0.0,0.0,False
USD_JPY,asym_atr,8,0.1,30,30,0,-314.6,0.0,-2.62,0.0,0.0,0.0,False
USD_JPY,asym_atr,8,0.2,75,64,11,892.9,-23.7,7.44,-0.39,-137.8,81.8,True
USD_JPY,asym_atr,8,0.3,75,64,11,894.0,-39.3,7.45,-0.65,-137.8,81.8,True
USD_JPY,asym_atr,8,0.5,75,64,11,904.3,-39.3,7.54,-0.65,-137.8,81.8,True
USD_JPY,asym_atr,8,0.8,75,64,11,884.8,-39.3,7.37,-0.65,-137.8,81.8,True
USD_JPY,sym_fixed,12,5.0,28,28,0,-361.1,0.0,-3.01,0.0,0.0,0.0,False
USD_JPY,sym_fixed,12,10.0,29,29,0,-376.3,0.0,-3.14,0.0,0.0,0.0,False
USD_JPY,sym_fixed,12,15.0,31,31,0,-413.6,0.0,-3.45,0.0,0.0,0.0,False
USD_JPY,sym_fixed,12,20.0,41,41,0,-496.6,0.0,-4.14,0.0,0.0,0.0,False
