tf_label,pair,sma,M_exit,tp_pips,trades,is_n,oos_n,is_net,oos_net,is_pd,oos_pd,oos_dd,oos_wr,days
S5/S30/M1,GBP_JPY,7/22/50,1,30.0,4667,3124,1543,-10600.9,-4921.9,-52.47,-48.72,-4920.7,25.7,303.1
S5/S30/M1,GBP_JPY,10/22/50,0,15.0,89,89,0,-1115.6,0.0,-5.52,0.0,0.0,0.0,303.1
S5/S30/M1,GBP_JPY,10/22/50,0,20.0,62,62,0,-1135.7,0.0,-5.62,0.0,0.0,0.0,303.1
S5/S30/M1,GBP_JPY,10/22/50,0,30.0,71,71,0,-129.9,0.0,-0.64,0.0,0.0,0.0,303.1
S5/S30/M1,GBP_JPY,10/22/50,1,15.0,4885,3300,1585,-10567.8,-4566.7,-52.3,-45.2,-4554.5,30.2,303.1
S5/S30/M1,GBP_JPY,10/22/50,1,20.0,4731,3187,1544,-10503.9,-4490.0,-51.99,-44.44,-4477.8,27.8,303.1
S5/S30/M1,GBP_JPY,10/22/50,1,30.0,4567,3068,1499,-10442.6,-4321.8,-51.68,-42.78,-4309.6,26.6,303.1
S5/S30/M1,GBP_USD,5/10/22,0,15.0,39,39,0,-53.1,0.0,-0.28,0.0,0.0,0.0,286.5
S5/S30/M1,GBP_USD,5/10/22,0,20.0,24,24,0,10.4,0.0,0.05,0.0,0.0,0.0,286.5
S5/S30/M1,GBP_USD,5/10/22,0,30.0,25,25,0,-33.2,0.0,-0.17,0.0,0.0,0.0,286.5
S5/S30/M1,GBP_USD,5/10/22,1,15.0,7327,4904,2423,-8017.6,-3422.0,-41.98,-35.84,-3422.4,27.6,286.5
S5/S30/M1,GBP_USD,5/10/22,1,20.0,7250,4856,2394,-7988.6,-3427.9,-41.83,-35.9,-3428.3,27.3,286.5
S5/S30/M1,GBP_USD,5/10/22,1,30.0,7210,4835,2375,-7919.5,-3509.0,-41.47,-36.75,-3520.7,27.1,286.5
S5/S30/M1,GBP_USD,5/15/35,0,15.0,63,63,0,433.1,0.0,2.27,0.0,0.0,0.0,286.5
S5/S30/M1,GBP_USD,5/15/35,0,20.0,61,61,0,706.0,0.0,3.7,0.0,0.0,0.0,286.5
S5/S30/M1,GBP_USD,5/15/35,0,30.0,26,26,0,200.3,0.0,1.05,0.0,0.0,0.0,286.5
S5/S30/M1,GBP_USD,5/15/35,1,15.0,5611,3705,1906,-6159.3,-2827.9,-32.25,-29.62,-2827.0,27.4,286.5
S5/S30/M1,GBP_USD,5/15/35,1,20.0,5532,3646,1886,-5915.5,-2934.9,-30.97,-30.74,-2933.9,26.9,286.5
S5/S30/M1,GBP_USD,5/15/35,1,30.0,5474,3614,1860,-5979.0,-2951.7,-31.31,-30.91,-2950.7,26.8,286.5
S5/S30/M1,GBP_USD,5/22/50,0,15.0,12,12,0,-546.4,0.0,-2.86,0.0,0.0,0.0,286.5
S5/S30/M1,GBP_USD,5/22/50,0,20.0,91,73,18,1354.9,48.6,7.09,0.51,-266.9,94.4,286.5
S5/S30/M1,GBP_USD,5/22/50,0,30.0,50,43,7,1228.1,-74.0,6.43,-0.77,-245.3,85.7,286.5
S5/S30/M1,GBP_USD,5/22/50,1,15.0,4596,3030,1566,-5108.4,-2170.5,-26.75,-22.73,-2181.3,29.4,286.5
S5/S30/M1,GBP_USD,5/22/50,1,20.0,4505,2967,1538,-4966.3,-2228.3,-26.0,-23.34,-2235.9,28.7,286.5
