tf_label,pair,sma,M_exit,tp_pips,trades,is_n,oos_n,is_net,oos_net,is_pd,oos_pd,oos_dd,oos_wr,days
S5/S30/M1,EUR_USD,5/15/35,1,20.0,122,83,39,-129.8,-25.1,-33.65,-13.03,-24.0,35.9,5.8
S5/S30/M1,EUR_USD,5/15/35,1,30.0,121,82,39,-133.7,-25.1,-34.65,-13.03,-24.0,35.9,5.8
S5/S30/M1,EUR_USD,5/22/50,0,15.0,3,3,0,-27.7,0.0,-7.17,0.0,0.0,0.0,5.8
S5/S30/M1,EUR_USD,5/22/50,0,20.0,2,2,0,-23.6,0.0,-6.13,0.0,0.0,0.0,5.8
S5/S30/M1,EUR_USD,5/22/50,0,30.0,2,2,0,-26.6,0.0,-6.91,0.0,0.0,0.0,5.8
S5/S30/M1,EUR_USD,5/22/50,1,15.0,98,62,36,-157.5,-46.5,-40.84,-24.09,-51.9,25.0,5.8
S5/S30/M1,EUR_USD,5/22/50,1,20.0,98,62,36,-152.5,-50.8,-39.54,-26.32,-51.9,25.0,5.8
S5/S30/M1,EUR_USD,5/22/50,1,30.0,98,62,36,-158.4,-50.8,-41.06,-26.32,-51.9,25.0,5.8
S5/S30/M1,EUR_USD,7/15/35,0,15.0,7,7,0,74.4,0.0,19.29,0.0,0.0,0.0,5.8
S5/S30/M1,EUR_USD,7/15/35,0,20.0,11,11,0,157.0,0.0,40.7,0.0,0.0,0.0,5.8
S5/S30/M1,EUR_USD,7/15/35,0,30.0,2,2,0,-8.2,0.0,-2.14,0.0,0.0,0.0,5.8
S5/S30/M1,EUR_USD,7/15/35,1,15.0,124,83,41,-128.0,-51.3,-33.18,-26.6,-50.1,31.7,5.8
S5/S30/M1,EUR_USD,7/15/35,1,20.0,123,82,41,-120.8,-51.3,-31.31,-26.6,-50.1,31.7,5.8
S5/S30/M1,EUR_USD,7/15/35,1,30.0,123,82,41,-125.8,-51.3,-32.61,-26.6,-50.1,31.7,5.8
S5/S30/M1,EUR_USD,7/22/50,0,15.0,4,4,0,1.2,0.0,0.3,0.0,0.0,0.0,5.8
S5/S30/M1,EUR_USD,7/22/50,0,20.0,11,10,1,189.8,-8.0,49.2,-4.13,0.0,0.0,5.8
S5/S30/M1,EUR_USD,7/22/50,0,30.0,2,2,0,-12.6,0.0,-3.28,0.0,0.0,0.0,5.8
S5/S30/M1,EUR_USD,7/22/50,1,15.0,98,64,34,-143.2,-45.9,-37.11,-23.78,-55.2,20.6,5.8
S5/S30/M1,EUR_USD,7/22/50,1,20.0,98,64,34,-133.2,-50.4,-34.52,-26.14,-55.2,20.6,5.8
S5/S30/M1,EUR_USD,7/22/50,1,30.0,97,63,34,-134.5,-50.4,-34.85,-26.14,-55.2,20.6,5.8
S5/S30/M1,EUR_USD,10/22/50,0,15.0,4,4,0,1.2,0.0,0.3,0.0,0.0,0.0,5.8
S5/S30/M1,EUR_USD,10/22/50,0,20.0,9,9,0,110.1,0.0,28.53,0.0,0.0,0.0,5.8
S5/S30/M1,EUR_USD,10/22/50,0,30.0,4,4,0,52.8,0.0,13.68,0.0,0.0,0.0,5.8
S5/S30/M1,EUR_USD,10/22/50,1,15.0,98,62,36,-129.2,-34.6,-33.48,-17.92,-39.5,25.0,5.8
S5/S30/M1,EUR_USD,10/22/50,1,20.0,98,62,36,-116.2,-43.2,-30.12,-22.41,-43.7,25.0,5.8
S5/S30/M1,EUR_USD,10/22/50,1,30.0,96,60,36,-119.0,-43.2,-30.86,-22.41,-43.7,25.0,5.8
S5/S30/M1,GBP_USD,5/10/22,0,15.0,4,4,0,-1.3,0.0,-0.34,0.0,0.0,0.0,5.8
S5/S30/M1,GBP_USD,5/10/22,0,20.0,8,8,0,63.0,0.0,16.32,0.0,0.0,0.0,5.8
S5/S30/M1,GBP_USD,5/10/22,0,30.0,2,2,0,-21.2,0.0,-5.5,0.0,0.0,0.0,5.8
S5/S30/M1,GBP_USD,5/10/22,1,15.0,156,115,41,-270.5,-56.0,-70.13,-29.05,-55.1,22.0,5.8
S5/S30/M1,GBP_USD,5/10/22,1,20.0,155,114,41,-268.9,-51.0,-69.69,-26.45,-50.1,22.0,5.8
S5/S30/M1,GBP_USD,5/10/22,1,30.0,155,114,41,-273.5,-57.4,-70.89,-29.75,-56.5,22.0,5.8
S5/S30/M1,GBP_USD,5/15/35,0,15.0,2,2,0,-28.5,0.0,-7.38,0.0,0.0,0.0,5.8
S5/S30/M1,GBP_USD,5/15/35,0,20.0,2,2,0,-23.5,0.0,-6.09,0.0,0.0,0.0,5.8
S5/S30/M1,GBP_USD,5/15/35,0,30.0,2,2,0,-21.2,0.0,-5.5,0.0,0.0,0.0,5.8
S5/S30/M1,GBP_USD,5/15/35,1,15.0,119,82,37,-182.1,-41.1,-47.21,-21.29,-55.6,24.3,5.8
S5/S30/M1,GBP_USD,5/15/35,1,20.0,116,79,37,-175.4,-47.0,-45.47,-24.38,-66.6,24.3,5.8
S5/S30/M1,GBP_USD,5/15/35,1,30.0,116,79,37,-165.7,-53.6,-42.95,-27.77,-66.6,24.3,5.8
S5/S30/M1,GBP_USD,5/22/50,0,15.0,7,7,0,75.6,0.0,19.6,0.0,0.0,0.0,5.8
S5/S30/M1,GBP_USD,5/22/50,0,20.0,7,7,0,44.4,0.0,11.51,0.0,0.0,0.0,5.8
S5/S30/M1,GBP_USD,5/22/50,0,30.0,5,5,0,80.4,0.0,20.84,0.0,0.0,0.0,5.8
S5/S30/M1,GBP_USD,5/22/50,1,15.0,90,62,28,-136.2,-21.5,-35.31,-11.13,-34.4,28.6,5.8
S5/S30/M1,GBP_USD,5/22/50,1,20.0,88,60,28,-128.1,-20.8,-33.2,-10.79,-38.6,28.6,5.8
S5/S30/M1,GBP_USD,5/22/50,1,30.0,88,60,28,-121.2,-28.2,-31.41,-14.6,-38.6,28.6,5.8
S5/S30/M1,GBP_USD,7/15/35,0,15.0,3,3,0,-22.7,0.0,-5.88,0.0,0.0,0.0,5.8
S5/S30/M1,GBP_USD,7/15/35,0,20.0,2,2,0,-23.5,0.0,-6.09,0.0,0.0,0.0,5.8
S5/S30/M1,GBP_USD,7/15/35,0,30.0,2,2,0,-21.2,0.0,-5.5,0.0,0.0,0.0,5.8
S5/S30/M1,GBP_USD,7/15/35,1,15.0,107,76,31,-182.4,-16.2,-47.29,-8.42,-33.2,29.0,5.8
S5/S30/M1,GBP_USD,7/15/35,1,20.0,106,75,31,-170.8,-19.0,-44.27,-9.87,-41.0,29.0,5.8
S5/S30/M1,GBP_USD,7/15/35,1,30.0,106,75,31,-174.1,-27.4,-45.14,-14.2,-41.0,29.0,5.8
S5/S30/M1,GBP_USD,7/22/50,0,15.0,5,5,0,20.4,0.0,5.29,0.0,0.0,0.0,5.8
S5/S30/M1,GBP_USD,7/22/50,0,20.0,7,7,0,105.6,0.0,27.38,0.0,0.0,0.0,5.8
S5/S30/M1,GBP_USD,7/22/50,0,30.0,4,3,1,85.7,-76.8,22.21,-39.83,0.0,0.0,5.8
S5/S30/M1,GBP_USD,7/22/50,1,15.0,93,66,27,-220.1,-9.8,-57.05,-5.07,-31.4,37.0,5.8
S5/S30/M1,GBP_USD,7/22/50,1,20.0,91,64,27,-212.0,-9.1,-54.95,-4.73,-31.4,37.0,5.8
