signal_date,execution_date,next_execution_date,n_long,n_short,gated_flat,net_pips,carry_free_gross_pips,variant
2015-02-26 22:00:00+00:00,2015-03-01 22:00:00+00:00,2015-04-01 21:00:00+00:00,3,3,False,-59.84950615723335,-46.44616410125964,momentum
2015-03-31 21:00:00+00:00,2015-04-01 21:00:00+00:00,2015-05-03 21:00:00+00:00,3,3,False,57.20833380209256,69.29673941447959,momentum
2015-04-30 21:00:00+00:00,2015-05-03 21:00:00+00:00,2015-06-01 21:00:00+00:00,3,3,False,164.80973054435708,177.31259042014435,momentum
2015-05-31 21:00:00+00:00,2015-06-01 21:00:00+00:00,2015-07-01 21:00:00+00:00,3,3,False,-84.32058698707534,-68.745478802263,momentum
2015-06-30 21:00:00+00:00,2015-07-01 21:00:00+00:00,2015-08-02 21:00:00+00:00,3,3,False,-35.54295296244659,-20.143305192339533,momentum
2015-07-30 21:00:00+00:00,2015-08-02 21:00:00+00:00,2015-09-01 21:00:00+00:00,3,3,False,-204.34646110429622,-188.19680308414837,momentum
2015-08-31 21:00:00+00:00,2015-09-01 21:00:00+00:00,2015-10-01 21:00:00+00:00,3,3,False,-119.40241512417532,-101.03439581124769,momentum
2015-09-30 21:00:00+00:00,2015-10-01 21:00:00+00:00,2015-11-01 22:00:00+00:00,3,3,False,-38.46765914546471,-21.098413618107195,momentum
2015-10-29 21:00:00+00:00,2015-11-01 22:00:00+00:00,2015-12-01 22:00:00+00:00,3,3,False,-224.00838833724754,-205.92509125420096,momentum
2015-11-30 22:00:00+00:00,2015-12-01 22:00:00+00:00,2016-01-03 22:00:00+00:00,3,3,False,50.05919785745716,70.13437787606182,momentum
2015-12-30 22:00:00+00:00,2016-01-03 22:00:00+00:00,2016-02-01 22:00:00+00:00,3,3,False,-84.06139397409893,-67.83479993152692,momentum
2016-01-31 22:00:00+00:00,2016-02-01 22:00:00+00:00,2016-03-01 22:00:00+00:00,3,3,False,129.371166187775,140.47733629129755,momentum
2016-02-29 22:00:00+00:00,2016-03-01 22:00:00+00:00,2016-04-03 21:00:00+00:00,3,3,False,33.567093465395246,55.09465231729999,momentum
2016-03-31 21:00:00+00:00,2016-04-03 21:00:00+00:00,2016-05-01 21:00:00+00:00,3,3,False,-96.48653117186024,-78.3055151915053,momentum
2016-04-28 21:00:00+00:00,2016-05-01 21:00:00+00:00,2016-06-01 21:00:00+00:00,3,3,False,-74.5983670035217,-53.90116415315144,momentum
2016-05-31 21:00:00+00:00,2016-06-01 21:00:00+00:00,2016-07-03 21:00:00+00:00,3,3,False,365.0996499440601,375.97934618175765,momentum
2016-06-30 21:00:00+00:00,2016-07-03 21:00:00+00:00,2016-08-01 21:00:00+00:00,3,3,False,-13.831300485050424,-3.692835699160435,momentum
2016-07-31 21:00:00+00:00,2016-08-01 21:00:00+00:00,2016-09-01 21:00:00+00:00,3,3,False,-10.54410907700597,-4.016958900256126,momentum
2016-08-31 21:00:00+00:00,2016-09-01 21:00:00+00:00,2016-10-02 21:00:00+00:00,3,3,False,83.97948153228977,87.70665251670414,momentum
2016-09-29 21:00:00+00:00,2016-10-02 21:00:00+00:00,2016-11-01 21:00:00+00:00,3,3,False,47.45786371587454,51.432850308973144,momentum
2016-10-31 21:00:00+00:00,2016-11-01 21:00:00+00:00,2016-12-01 22:00:00+00:00,3,3,False,-522.752454155781,-515.9161192979486,momentum
2016-11-30 22:00:00+00:00,2016-12-01 22:00:00+00:00,2017-01-02 22:00:00+00:00,3,3,False,-46.51814136223268,-40.49125149921433,momentum
2016-12-29 22:00:00+00:00,2017-01-02 22:00:00+00:00,2017-02-01 22:00:00+00:00,3,3,False,-1.9159263654200718,3.5507351866698826,momentum
2017-01-31 22:00:00+00:00,2017-02-01 22:00:00+00:00,2017-03-01 22:00:00+00:00,3,3,False,62.86056600009231,67.72944811768176,momentum
2017-02-28 22:00:00+00:00,2017-03-01 22:00:00+00:00,2017-04-02 21:00:00+00:00,3,3,False,-153.7467736889513,-151.13476727183036,momentum
