signal_date,execution_date,next_execution_date,n_long,n_short,gated_flat,net_pips,variant
2022-02-28 22:00:00+00:00,2022-03-01 22:00:00+00:00,2022-04-03 21:00:00+00:00,3,3,False,-421.5507542810792,carry_ungated
2022-03-31 21:00:00+00:00,2022-04-03 21:00:00+00:00,2022-05-01 21:00:00+00:00,3,3,False,-300.3082137726903,carry_ungated
2022-04-28 21:00:00+00:00,2022-05-01 21:00:00+00:00,2022-06-01 21:00:00+00:00,3,3,False,-97.64846562262258,carry_ungated
2022-05-31 21:00:00+00:00,2022-06-01 21:00:00+00:00,2022-07-03 21:00:00+00:00,3,3,False,-270.299819608233,carry_ungated
2022-06-30 21:00:00+00:00,2022-07-03 21:00:00+00:00,2022-08-01 21:00:00+00:00,3,3,False,74.29378972704352,carry_ungated
2022-07-31 21:00:00+00:00,2022-08-01 21:00:00+00:00,2022-09-01 21:00:00+00:00,3,3,False,-65.75699029380979,carry_ungated
2022-08-31 21:00:00+00:00,2022-09-01 21:00:00+00:00,2022-10-02 21:00:00+00:00,3,3,False,-181.72263870536096,carry_ungated
2022-09-29 21:00:00+00:00,2022-10-02 21:00:00+00:00,2022-11-01 21:00:00+00:00,3,3,False,89.68632140195083,carry_ungated
2022-10-31 21:00:00+00:00,2022-11-01 21:00:00+00:00,2022-12-01 22:00:00+00:00,3,3,False,-64.01089275872798,carry_ungated
2022-11-30 22:00:00+00:00,2022-12-01 22:00:00+00:00,2023-01-01 22:00:00+00:00,3,3,False,-88.27672143816746,carry_ungated
2022-12-29 22:00:00+00:00,2023-01-01 22:00:00+00:00,2023-02-01 22:00:00+00:00,3,3,False,12.740922846231634,carry_ungated
2023-01-31 22:00:00+00:00,2023-02-01 22:00:00+00:00,2023-03-01 22:00:00+00:00,3,3,False,-43.977388243884356,carry_ungated
2023-02-28 22:00:00+00:00,2023-03-01 22:00:00+00:00,2023-04-02 21:00:00+00:00,3,3,False,-42.74860036010721,carry_ungated
2023-03-30 21:00:00+00:00,2023-04-02 21:00:00+00:00,2023-05-01 21:00:00+00:00,3,3,False,-87.98412643609318,carry_ungated
2023-04-30 21:00:00+00:00,2023-05-01 21:00:00+00:00,2023-06-01 21:00:00+00:00,3,3,False,49.074677579868926,carry_ungated
2023-05-31 21:00:00+00:00,2023-06-01 21:00:00+00:00,2023-07-02 21:00:00+00:00,3,3,False,-76.01537362762927,carry_ungated
2023-06-29 21:00:00+00:00,2023-07-02 21:00:00+00:00,2023-08-01 21:00:00+00:00,3,3,False,-55.98782743582613,carry_ungated
2023-07-31 21:00:00+00:00,2023-08-01 21:00:00+00:00,2023-09-03 21:00:00+00:00,3,3,False,-18.68758914556956,carry_ungated
2023-08-31 21:00:00+00:00,2023-09-03 21:00:00+00:00,2023-10-01 21:00:00+00:00,3,3,False,-49.655840545430685,carry_ungated
2023-09-28 21:00:00+00:00,2023-10-01 21:00:00+00:00,2023-11-01 21:00:00+00:00,3,3,False,-60.43589232082396,carry_ungated
2023-10-31 21:00:00+00:00,2023-11-01 21:00:00+00:00,2023-12-03 22:00:00+00:00,3,3,False,75.85544231025105,carry_ungated
2023-11-30 22:00:00+00:00,2023-12-03 22:00:00+00:00,2024-01-01 22:00:00+00:00,3,3,False,-16.353752656026906,carry_ungated
2023-12-28 22:00:00+00:00,2024-01-01 22:00:00+00:00,2024-02-01 22:00:00+00:00,3,3,False,-94.99717232260275,carry_ungated
2024-01-31 22:00:00+00:00,2024-02-01 22:00:00+00:00,2024-03-03 22:00:00+00:00,3,3,False,1.7423828054643007,carry_ungated
2024-02-29 22:00:00+00:00,2024-03-03 22:00:00+00:00,2024-04-01 21:00:00+00:00,3,3,False,-29.414868673443827,carry_ungated
2024-03-31 21:00:00+00:00,2024-04-01 21:00:00+00:00,2024-05-01 21:00:00+00:00,3,3,False,-7.679540015625129,carry_ungated
2024-04-30 21:00:00+00:00,2024-05-01 21:00:00+00:00,2024-06-02 21:00:00+00:00,3,3,False,-12.327917876221164,carry_ungated
2024-05-30 21:00:00+00:00,2024-06-02 21:00:00+00:00,2024-07-01 21:00:00+00:00,3,3,False,-93.24581127875621,carry_ungated
2024-06-30 21:00:00+00:00,2024-07-01 21:00:00+00:00,2024-08-01 21:00:00+00:00,3,3,False,91.20293611201112,carry_ungated
2020-11-30 22:00:00+00:00,2020-12-01 22:00:00+00:00,2021-01-03 22:00:00+00:00,0,0,False,0.0,momentum
2020-12-30 22:00:00+00:00,2021-01-03 22:00:00+00:00,2021-02-01 22:00:00+00:00,0,0,False,0.0,momentum
2021-01-31 22:00:00+00:00,2021-02-01 22:00:00+00:00,2021-03-01 22:00:00+00:00,0,0,False,0.0,momentum
2021-02-28 22:00:00+00:00,2021-03-01 22:00:00+00:00,2021-04-01 21:00:00+00:00,0,0,False,0.0,momentum
2021-03-31 21:00:00+00:00,2021-04-01 21:00:00+00:00,2021-05-02 21:00:00+00:00,0,0,False,0.0,momentum
2021-04-29 21:00:00+00:00,2021-05-02 21:00:00+00:00,2021-06-01 21:00:00+00:00,0,0,False,0.0,momentum
2021-05-31 21:00:00+00:00,2021-06-01 21:00:00+00:00,2021-07-01 21:00:00+00:00,0,0,False,0.0,momentum
2021-06-30 21:00:00+00:00,2021-07-01 21:00:00+00:00,2021-08-01 21:00:00+00:00,0,0,False,0.0,momentum
2021-07-29 21:00:00+00:00,2021-08-01 21:00:00+00:00,2021-09-01 21:00:00+00:00,0,0,False,0.0,momentum
2021-08-31 21:00:00+00:00,2021-09-01 21:00:00+00:00,2021-10-03 21:00:00+00:00,0,0,False,0.0,momentum
2021-09-30 21:00:00+00:00,2021-10-03 21:00:00+00:00,2021-11-01 21:00:00+00:00,0,0,False,0.0,momentum
2021-10-31 21:00:00+00:00,2021-11-01 21:00:00+00:00,2021-12-01 22:00:00+00:00,0,0,False,0.0,momentum
2021-11-30 22:00:00+00:00,2021-12-01 22:00:00+00:00,2022-01-02 22:00:00+00:00,3,3,False,43.18827088591651,momentum
2021-12-30 22:00:00+00:00,2022-01-02 22:00:00+00:00,2022-02-01 22:00:00+00:00,3,3,False,-34.69282371318943,momentum
2022-01-31 22:00:00+00:00,2022-02-01 22:00:00+00:00,2022-03-01 22:00:00+00:00,3,3,False,-31.745916706565684,momentum
2022-02-28 22:00:00+00:00,2022-03-01 22:00:00+00:00,2022-04-03 21:00:00+00:00,3,3,False,158.36625619722054,momentum
2022-03-31 21:00:00+00:00,2022-04-03 21:00:00+00:00,2022-05-01 21:00:00+00:00,3,3,False,213.53611880855826,momentum
2022-04-28 21:00:00+00:00,2022-05-01 21:00:00+00:00,2022-06-01 21:00:00+00:00,3,3,False,56.62192980722011,momentum
2022-05-31 21:00:00+00:00,2022-06-01 21:00:00+00:00,2022-07-03 21:00:00+00:00,3,3,False,273.20693150257443,momentum
