JIT compiled.

============================================================================
PAIR: EUR_USD  OOS=409d
 reg_N   mode  ZW/atr tgt_f   ta  wick |      p/d       P5     nc  skip%   1L%   5+%   IS  OOS  perm_p | status
    20    atr 5.0×ATR   0.5   10  0.15 | 404160679340989056.0 -165122292707506016.0   1320  98.1% 69.4%  2.8%    2/3    3/3   0.300 | 2/3 p=0.30
    20    atr 2.0×ATR   0.5   10  0.25 | 2426455353346362368.0 -443251519789421056.0   8232  77.7% 66.0%  3.9%    2/3    2/3   0.295 | 2/2 p=0.29
    20    atr 3.0×ATR   0.5   10  0.25 | 466736064496694336.0 -488605026368602304.0   1801  89.5% 68.6%  3.6%    3/3    3/3   0.230 | 3/3 p=0.23
    20    atr 4.0×ATR   0.5   10  0.25 | 311372300282993472.0 12104170785124102.0   2171  95.8% 66.1%  2.8%    3/3    3/3   0.075 | 3/3 p=0.07
    20    atr 5.0×ATR   0.5   10  0.25 | 399471974062924928.0 -176359918246345920.0   1157  98.4% 68.9%  2.6%    2/3    3/3   0.240 | 2/3 p=0.24
    20    atr 2.0×ATR   0.7    6  0.00 | 701929717041748608.0 -588681311347899392.0   8213  55.9% 63.1%  5.1%    1/3    1/3   0.295 | 1/1 p=0.29
    20    atr 3.0×ATR   0.7    6  0.00 | -81846318760784016.0 -681263890554526080.0   4546  82.8% 68.6%  3.8%    3/3    2/3   0.515 | 3/2 p=0.52
    20    atr 4.0×ATR   0.7    6  0.00 | 400386538047319232.0 -20104330401990808.0   2567  94.1% 71.8%  3.9%    3/3    3/3   0.150 | 3/3 p=0.15
    20    atr 5.0×ATR   0.7    6  0.00 | 200301884404161536.0 6205264821509479.0   1499  97.7% 73.6%  3.2%    3/3    3/3   0.020 | 🟢 PASS
    20    atr 2.0×ATR   0.7    6  0.15 | 996254713583332864.0 -222766485056231552.0   7499  69.7% 62.7%  5.3%    3/3    3/3   0.170 | 3/3 p=0.17
    20    atr 3.0×ATR   0.7    6  0.15 | 205666397002302048.0 -20687877374369100.0   4244  86.4% 68.4%  4.0%    3/3    3/3   0.145 | 3/3 p=0.14
    20    atr 4.0×ATR   0.7    6  0.15 | 318481411091548416.0 -54294253626234240.0   2428  95.2% 71.7%  3.1%    3/3    3/3   0.220 | 3/3 p=0.22
    20    atr 5.0×ATR   0.7    6  0.15 | 38012719526723888.0 4663744919308647.0   1410  98.2% 73.9%  2.4%    3/3    3/3   0.000 | 🟢 PASS
    20    atr 2.0×ATR   0.7    6  0.25 | 611702375516626304.0 -437986893847210624.0   7003  76.6% 63.0%  5.2%    2/3    3/3   0.285 | 2/3 p=0.28
    20    atr 3.0×ATR   0.7    6  0.25 | 259075904454230880.0 8852191313011734.0   3938  89.1% 68.1%  3.8%    3/3    2/3   0.075 | 3/2 p=0.07
    20    atr 4.0×ATR   0.7    6  0.25 | 316166883193346624.0 -58284568253959664.0   2249  95.9% 70.2%  3.4%    2/3    3/3   0.170 | 2/3 p=0.17
    20    atr 5.0×ATR   0.7    6  0.25 | 35909620981127712.0 2190700272404596.8   1238  98.5% 73.2%  2.2%    3/3    3/3   0.000 | 🟢 PASS
    20    atr 2.0×ATR   0.7    8  0.00 | 1076547857429072000.0 -151025154058902112.0   7383  55.0% 59.7%  5.6%    1/3    2/3   0.115 | 1/2 p=0.12
    20    atr 3.0×ATR   0.7    8  0.00 | -185856921210561344.0 -800004049414143104.0   3974  82.1% 64.7%  4.2%    1/3    2/3   0.630 | 1/2 p=0.63
    20    atr 4.0×ATR   0.7    8  0.00 | 445835515381200192.0 26024517615958176.0   2211  94.0% 66.8%  4.1%    3/3    3/3   0.000 | 🟢 PASS
    20    atr 5.0×ATR   0.7    8  0.00 | 216179871750163904.0 20164841887993512.0   1303  97.7% 67.5%  4.5%    3/3    3/3   0.015 | 🟢 PASS
    20    atr 2.0×ATR   0.7    8  0.15 | -45103200976484016.0 -875969177837948416.0   6926  69.2% 59.9%  5.7%    2/3    1/3   0.590 | 2/1 p=0.59
    20    atr 3.0×ATR   0.7    8  0.15 | 132907155432552960.0 -92669164288138384.0   3647  85.5% 63.9%  4.4%    3/3    2/3   0.165 | 3/2 p=0.17
    20    atr 4.0×ATR   0.7    8  0.15 | 360878709955744576.0 24154006034353828.0   2137  95.1% 67.3%  3.2%    3/3    3/3   0.000 | 🟢 PASS
    20    atr 5.0×ATR   0.7    8  0.15 | 55631938529683312.0 7321133770807147.0   1250  98.1% 68.1%  3.8%    3/3    3/3   0.000 | 🟢 PASS
    20    atr 2.0×ATR   0.7    8  0.25 | -73950119799672368.0 -791764772413335296.0   6506  76.2% 60.0%  5.4%    1/3    2/3   0.460 | 1/2 p=0.46
    20    atr 3.0×ATR   0.7    8  0.25 | 207602514543040512.0 -34563247866976356.0   3391  88.7% 63.5%  4.5%    3/3    2/3   0.115 | 3/2 p=0.12
    20    atr 4.0×ATR   0.7    8  0.25 | 358004492205396672.0 20983698479750132.0   1991  95.9% 66.1%  3.7%    3/3    3/3   0.000 | 🟢 PASS
    20    atr 5.0×ATR   0.7    8  0.25 | 50195111712667696.0 1830963963248233.8   1085  98.5% 66.9%  3.5%    3/3    3/3   0.000 | 🟢 PASS
    20    atr 2.0×ATR   0.7   10  0.00 | 1024667604975088896.0 -198728330687723328.0   7128  55.2% 58.9%  6.0%    1/3    2/3   0.150 | 1/2 p=0.15
    20    atr 3.0×ATR   0.7   10  0.00 | -126162488176331920.0 -786774874093638912.0   3614  81.5% 62.7%  4.5%    2/3    2/3   0.550 | 2/2 p=0.55
    20    atr 4.0×ATR   0.7   10  0.00 | 438299003244216384.0 17179976101139672.0   2050  93.8% 64.1%  4.3%    3/3    3/3   0.000 | 🟢 PASS
    20    atr 5.0×ATR   0.7   10  0.00 | 215608518922231392.0 14743377602416020.0   1191  97.7% 65.1%  4.7%    3/3    3/3   0.010 | 🟢 PASS
    20    atr 2.0×ATR   0.7   10  0.15 | -317729017733039680.0 -1176432114877389312.0   6613  68.7% 58.7%  5.8%    2/3    1/3   0.740 | 2/1 p=0.74
    20    atr 3.0×ATR   0.7   10  0.15 | 138377977719978928.0 -89909956663878016.0   3309  85.3% 61.7%  5.0%    3/3    2/3   0.220 | 3/2 p=0.22
    20    atr 4.0×ATR   0.7   10  0.15 | 352259112590249728.0 16494272015847176.0   1981  94.9% 65.0%  3.4%    3/3    3/3   0.000 | 🟢 PASS
    20    atr 5.0×ATR   0.7   10  0.15 | 53919726877626832.0 5718822210527904.0   1136  98.1% 65.5%  4.0%    3/3    3/3   0.000 | 🟢 PASS
    20    atr 2.0×ATR   0.7   10  0.25 | -180730955432673440.0 -849632357018500096.0   6232  76.0% 58.8%  5.5%    1/3    1/3   0.640 | 1/1 p=0.64
