zone_width,tgt,ez,variant,gates,verdict,n,avg_legs,esc_pct,pnl_$,sharpe,sqn,wr,max_dd
40,28,0.7,boundary,5,PASS,3463,9.76985272884782,6.32399653479642,8875.427170813584,0.1992234270004074,11.723752790690327,62.20040427375109,-254.68102518239291
40,34,0.85,center,5,PASS,1305,9.64521072796935,7.586206896551724,3700.228436276034,0.20623075233041732,7.4500413277266295,63.14176245210727,-143.27187304313034
40,34,0.85,boundary,5,PASS,3366,9.861556743909684,3.9512774806892454,10878.11128618533,0.24655520622299038,14.304452281122684,62.65597147950089,-162.5958722240315
40,40,1.0,center,5,PASS,1307,9.735271614384086,5.508798775822494,4359.398076133525,0.24348578858569697,8.802609006474203,64.80489671002296,-144.89414745211397
40,40,1.0,boundary,5,PASS,3320,9.898192771084338,2.86144578313253,10043.396366675515,0.21591085386617415,12.440662740914238,61.536144578313255,-211.73643577844314
40,50,1.25,center,5,PASS,1289,9.839410395655547,3.1031807602792862,4548.513585132205,0.23887935559948684,8.57640097472512,65.08921644685803,-161.92789523682646
40,50,1.25,boundary,5,PASS,3348,9.938172043010752,1.3142174432497014,11600.97792053246,0.2518533446030509,14.572714190038997,62.81362007168458,-153.62766418881367
40,60,1.5,center,5,PASS,1277,9.892717306186375,2.192638997650744,5062.095418696444,0.2528540718319544,9.035774839870289,64.52623335943618,-149.57870414594043
40,60,1.5,boundary,5,PASS,3319,9.962036758059657,0.9340162699608316,10744.51232058682,0.21471369044715735,12.369819508157255,62.36818318770714,-190.69848617050243
40,80,2.0,center,5,PASS,1271,9.949645948072384,0.7867820613690008,4953.23399440121,0.23068666447336147,8.224230331027295,64.28009441384737,-147.93170599097502
40,80,2.0,boundary,5,PASS,3157,9.97941083306937,0.3801076971808679,9963.854525454408,0.20374105563413944,11.44763682336376,62.33766233766234,-212.04212132756248
40,100,2.5,center,5,PASS,1272,9.977201257861635,0.4716981132075472,5082.4070523324235,0.23204602965683335,8.275946940787136,64.30817610062893,-158.2059429830857
40,100,2.5,boundary,5,PASS,3349,9.991937891908032,0.11943863839952225,14240.752768852195,0.27399929439887427,15.856488547146565,63.8996715437444,-188.89347873434076
45,22,0.5,center,5,PASS,1162,9.048192771084338,20.740103270223752,2493.1613199896797,0.18436737200164768,6.284737303334051,64.54388984509465,-168.9611856376106
45,22,0.5,boundary,5,PASS,3146,9.470438652256835,12.460267005721551,7587.73662130639,0.20385692153672919,11.43417462986409,63.03242212333121,-229.09952585016146
45,31,0.7,center,5,PASS,1147,9.492589363557105,10.37489102005231,3629.022363791319,0.23829393241852892,8.070393173007554,64.08020924149956,-194.48810176747676
45,31,0.7,boundary,5,PASS,3009,9.796610169491526,5.18444666001994,9608.805465854879,0.24435335747719242,13.403845231907267,63.57593885011632,-257.2713424537785
45,38,0.85,center,5,PASS,1130,9.661061946902654,7.345132743362832,4215.170619938944,0.2736205034804816,9.197882545192172,63.6283185840708,-209.0631007814419
45,38,0.85,boundary,5,PASS,3122,9.867713004484305,3.235105701473415,9784.528436701834,0.22606496979870508,12.63134857882638,62.45996156310058,-215.53004752531356
