pair,reg_N,zw_mode,zw_val,atr_mult,tgt_frac,ta,wick_thresh,ppd,p5,p_pos,nc,skip_pct,l1_pct,l5p_pct,is_wf,oos_wf,perm_p,gate_pass
EUR_JPY,20,fixed,30.0,0.0,0.7,6.0,0.0,7276.8,2171.6,1.0,3314,92.8,83.1,2.4,3,3,0.0,True
EUR_JPY,20,fixed,50.0,0.0,0.7,6.0,0.0,256.3,165.4,1.0,1164,98.9,89.3,1.8,3,3,0.0,True
EUR_JPY,20,fixed,30.0,0.0,0.7,6.0,0.15,5019.6,-2100.3,0.884,2867,94.2,82.5,2.4,3,3,0.185,False
EUR_JPY,20,fixed,50.0,0.0,0.7,6.0,0.15,217.8,126.1,1.0,967,99.1,89.9,1.6,3,3,0.0,True
EUR_JPY,20,fixed,30.0,0.0,0.7,10.0,0.0,8063.1,2777.3,1.0,2480,93.5,74.3,3.5,3,3,0.0,True
EUR_JPY,20,fixed,50.0,0.0,0.7,10.0,0.0,316.8,210.5,1.0,905,99.1,82.2,2.8,3,3,0.0,True
EUR_JPY,20,fixed,30.0,0.0,0.7,10.0,0.15,4672.3,-2216.2,0.864,2257,94.6,74.5,3.5,3,3,0.21,False
EUR_JPY,20,fixed,50.0,0.0,0.7,10.0,0.15,272.7,179.2,1.0,792,99.2,82.6,2.4,3,3,0.0,True
EUR_JPY,20,fixed,30.0,0.0,1.0,6.0,0.0,3057.4,1242.6,0.998,3656,94.3,83.9,3.4,3,3,0.0,True
EUR_JPY,20,fixed,50.0,0.0,1.0,6.0,0.0,-196.9,-636.8,0.278,1032,98.9,88.9,3.1,3,1,0.715,False
EUR_JPY,20,fixed,30.0,0.0,1.0,6.0,0.15,3908.9,1628.4,1.0,3147,95.4,83.3,3.8,2,3,0.0,False
EUR_JPY,20,fixed,50.0,0.0,1.0,6.0,0.15,170.1,14.4,0.97,890,99.1,89.6,2.6,3,3,0.015,True
EUR_JPY,20,fixed,30.0,0.0,1.0,10.0,0.0,1932.4,-167.5,0.934,2695,95.0,75.7,4.9,3,3,0.04,False
EUR_JPY,20,fixed,50.0,0.0,1.0,10.0,0.0,-168.3,-682.6,0.334,784,99.1,81.4,4.8,3,1,0.72,False
EUR_JPY,20,fixed,30.0,0.0,1.0,10.0,0.15,5588.6,2897.0,1.0,2402,95.9,74.7,5.4,3,3,0.0,True
EUR_JPY,20,fixed,50.0,0.0,1.0,10.0,0.15,319.6,123.1,0.998,713,99.2,82.2,4.1,3,3,0.0,True
EUR_JPY,20,atr,0.0,2.0,0.5,6.0,0.0,-4.412387670821267e+18,-7.758680656751288e+18,0.008,13780,55.2,69.2,4.9,0,0,0.975,False
EUR_JPY,20,atr,0.0,3.0,0.5,6.0,0.0,-3.8995391211357716e+18,-7.375989653824272e+18,0.014,7146,84.7,75.3,4.2,2,1,0.96,False
EUR_JPY,20,atr,0.0,4.0,0.5,6.0,0.0,-9.650558706215e+17,-2.627370858214862e+18,0.146,3720,94.7,77.9,4.4,3,1,0.77,False
EUR_JPY,20,atr,0.0,5.0,0.5,6.0,0.0,2.4952767417262156e+16,-1.055735954855412e+18,0.536,1871,98.0,81.2,4.7,2,1,0.51,False
EUR_JPY,20,atr,0.0,2.0,0.5,6.0,0.15,-6.632429361786292e+18,-9.806995419723375e+18,0.0,12092,69.0,68.7,5.0,0,0,1.0,False
EUR_JPY,20,atr,0.0,3.0,0.5,6.0,0.15,-2.552351250815036e+18,-4.5183940815880136e+18,0.024,6356,88.3,75.1,4.0,0,1,0.99,False
