half_zone_pips,target_beyond_pips,profit_factor,ez_ratio,n_cycles,net_pnl_pips,mean_pnl_pips,win_rate,sharpe,sqn,profit_factor_result,max_dd_pips,avg_legs,max_legs_hit_pct,exit_target_pct,exit_maxlegs_pct
8.0,20,1.3,1.25,19921,-56341.69999992529,-2.8282566136200638,0.8148185332061644,-0.04111632708545569,-5.803231291623375,0.8119252610737273,-57732.499999928645,4.094422970734401,0.31835751217308367,0.05968575874705085,0.3112293559560263
12.0,20,1.19,0.8333333333333334,16486,-49011.70000004366,-2.9729285454351366,0.8593351934975131,-0.04114503284503704,-5.282932492170135,0.7703308274127806,-50150.90000004385,3.3238505398519957,0.23674633021958025,0.05216547373529055,0.2315297828460512
15.0,20,1.3,0.6666666666666666,14762,-56005.400000022106,-3.793889716842034,0.8828072076954342,-0.041317089565812336,-5.019983874772439,0.7293611896907283,-57514.60000001914,2.9495325836607504,0.19868581493022625,0.04538680395610351,0.1934019780517545
10.0,20,1.0,1.0,18010,-44906.2999999344,-2.493409217097968,0.832481954469739,-0.04135919023013546,-5.550458802930665,0.808828500225445,-45424.69999993757,3.6543586896168794,0.2713492504164353,0.05502498611882287,0.2664075513603554
15.0,20,1.5,0.6666666666666666,14762,-60155.100000023,-4.074996612926636,0.8835523641782956,-0.0419308148452769,-5.0945508648201026,0.7201019552116477,-61678.100000019935,2.9495325836607504,0.19868581493022625,0.04538680395610351,0.1934019780517545
25.0,12,1.19,0.24,11136,-52268.49999998549,-4.693651221263065,0.9191810344827587,-0.04212761853081937,-4.445611634288271,0.5735658731953205,-53797.29999998705,2.0904274425287355,0.09240301724137931,0.0809985632183908,0.08656609195402298
25.0,12,1.1,0.24,11136,-51459.799999985655,-4.6210308908033095,0.9182830459770115,-0.04237002057800923,-4.471191655156865,0.5755861280620704,-52933.2999999872,2.0904274425287355,0.09240301724137931,0.0809985632183908,0.08656609195402298
25.0,12,1.0,0.24,11136,-50261.599999985934,-4.513433908044714,0.9167564655172413,-0.04264943612537746,-4.500677608825774,0.5792029389554791,-51619.89999998742,2.0904274425287355,0.09240301724137931,0.0809985632183908,0.08656609195402298
10.0,20,1.1,1.0,18010,-50373.79999993255,-2.7969905607958103,0.8342032204330927,-0.04340327744135178,-5.824778048358901,0.7917444069382619,-50747.29999993245,3.6543586896168794,0.2713492504164353,0.05502498611882287,0.2664075513603554
25.0,12,1.5,0.24,11136,-61813.39999998354,-5.550772270113464,0.9196300287356322,-0.043610513894046465,-4.602097500546572,0.5622199842207593,-63522.6999999852,2.0904274425287355,0.09240301724137931,0.0809985632183908,0.08656609195402298
25.0,12,1.3,0.24,11136,-60846.099999983686,-5.463909841952558,0.9191810344827587,-0.04369695685538073,-4.61121958833629,0.5646589132589861,-62540.899999985326,2.0904274425287355,0.09240301724137931,0.0809985632183908,0.08656609195402298
12.0,15,1.19,0.625,17093,-64211.600000043385,-3.7566021178285487,0.8666705668987305,-0.04414891983694441,-5.7720386268189126,0.7305832615856184,-65875.30000004248,3.204060141578424,0.20909144094073598,0.08617562744983326,0.2019540162639677
12.0,15,1.3,0.625,17093,-66506.70000004432,-3.890873456973283,0.8667875738606448,-0.04430195831190834,-5.792046907704237,0.7262583950972042,-68238.80000004348,3.204060141578424,0.20909144094073598,0.08617562744983326,0.2019540162639677
12.0,15,1.5,0.625,17093,-72939.90000004589,-4.267238050666699,0.8675481191130873,-0.044983562568215264,-5.88115998476565,0.7140753220869628,-74730.20000004569,3.204060141578424,0.20909144094073598,0.08617562744983326,0.2019540162639677
10.0,20,1.19,1.0,18010,-55988.79999993068,-3.108761798996706,0.8358689616879511,-0.04503586336401541,-6.043873268926989,0.7762873045620902,-56362.29999993084,3.6543586896168794,0.2713492504164353,0.05502498611882287,0.2664075513603554
20.0,12,1.1,0.3,12925,-54674.29999999518,-4.2301199226301875,0.8957833655705996,-0.045621545570532336,-5.186630028896967,0.6052345806660613,-55480.79999999555,2.3185299806576403,0.1132688588007737,0.08998065764023211,0.10731141199226306
20.0,12,1.3,0.3,12925,-68275.99999999406,-5.282475822049831,0.9104835589941973,-0.04568347489888261,-5.193670660906997,0.5877712805620204,-69262.8999999944,2.3185299806576403,0.1132688588007737,0.08998065764023211,0.10731141199226306
20.0,12,1.5,0.3,12925,-80196.99999999325,-6.204796905221914,0.9106382978723404,-0.04573174262616328,-5.199158130492031,0.5742978837248641,-81353.69999999365,2.3185299806576403,0.1132688588007737,0.08998065764023211,0.10731141199226306
20.0,12,1.0,0.3,12925,-53101.599999995284,-4.108441005802343,0.8943133462282399,-0.04583296481830847,-5.210665896281319,0.6104664725171038,-53908.09999999577,2.3185299806576403,0.1132688588007737,0.08998065764023211,0.10731141199226306
20.0,12,1.19,0.3,12925,-65799.4999999942,-5.090870406189106,0.9104061895551258,-0.04632349424929714,-5.2664332896259864,0.5927878340418675,-66775.79999999455,2.3185299806576403,0.1132688588007737,0.08998065764023211,0.10731141199226306
10.0,20,1.3,1.0,18010,-61199.79999992837,-3.398101054965484,0.8364797334813993,-0.04657716164119596,-6.250717565029414,0.7641088972481215,-61573.299999928524,3.6543586896168794,0.2713492504164353,0.05502498611882287,0.2664075513603554
12.0,20,1.3,0.8333333333333334,16486,-68041.90000005095,-4.1272534271534,0.86176149460148,-0.04710605080986557,-6.048314199639135,0.7347144380479917,-69329.5000000512,3.3238505398519957,0.23674633021958025,0.05216547373529055,0.2315297828460512
25.0,10,1.1,0.2,11322,-57350.59999999785,-5.065412471294635,0.9098215862921746,-0.047262730938758296,-5.0289855498508125,0.5223354760687109,-57602.79999999749,1.9904610492845787,0.07781310722487193,0.09432962374138845,0.07180710121886592
25.0,10,1.3,0.2,11322,-64228.59999999795,-5.672902314078604,0.9236883942766295,-0.0475351784685837,-5.05797529850414,0.5229980408553602,-64574.29999999779,1.9904610492845787,0.07781310722487193,0.09432962374138845,0.07180710121886592
25.0,10,1.19,0.2,11322,-64119.09999999798,-5.6632308779365825,0.9236883942766295,-0.047702861812909184,-5.075817625826618,0.5234236972939773,-64456.199999997814,1.9904610492845787,0.07781310722487193,0.09432962374138845,0.07180710121886592
12.0,20,1.5,0.8333333333333334,16486,-73065.70000005304,-4.431984714306262,0.8627320150430668,-0.047799081465957315,-6.1372978245866765,0.725858089913321,-74371.90000005321,3.3238505398519957,0.23674633021958025,0.05216547373529055,0.2315297828460512
25.0,10,1.0,0.2,11322,-55998.09999999783,-4.945954778307528,0.9085850556438791,-0.047904820838989205,-5.097307053196662,0.5268844367579291,-56250.29999999744,1.9904610492845787,0.07781310722487193,0.09432962374138845,0.07180710121886592
25.0,5,1.5,0.1,12560,-96931.1000000011,-7.717444267516011,0.9308917197452229,-0.04817032172824039,-5.398515674354524,0.3560520653201177,-97528.70000000087,1.5917993630573248,0.027627388535031848,0.14721337579617835,0.024761146496815288
