pair,pip,swing_w,cluster_tol,min_touches,wick_thresh,stop_atr_frac,range_bars,tgt_pips,ppd,p5,p_pos,nc,hit_pct,stop_pct,perm_p,is_wf,oos_wf,gate_pass
EUR_USD,0.0001,5,10,2,0.35,1.0,0,30,5.7,2.6,1.0,2220,26.2,73.8,0.005,3,2,False
EUR_USD,0.0001,5,10,2,0.35,1.0,50,15,-0.2,-2.9,0.406,3814,37.9,62.1,0.57,0,1,False
EUR_USD,0.0001,5,10,2,0.35,1.0,50,20,0.9,-1.7,0.71,3035,31.9,68.1,0.335,1,1,False
EUR_USD,0.0001,5,10,2,0.35,1.0,50,25,2.8,-0.1,0.936,2618,28.2,71.8,0.09,2,2,False
EUR_USD,0.0001,5,10,2,0.35,1.0,50,30,3.0,0.1,0.952,2234,24.8,75.2,0.035,2,2,False
EUR_USD,0.0001,5,10,2,0.35,1.0,100,15,0.1,-2.5,0.518,3809,38.0,62.0,0.455,0,1,False
EUR_USD,0.0001,5,10,2,0.35,1.0,100,20,1.3,-1.6,0.78,3048,32.0,68.0,0.235,1,1,False
EUR_USD,0.0001,5,10,2,0.35,1.0,100,25,2.3,-0.7,0.896,2640,27.8,72.2,0.1,2,2,False
EUR_USD,0.0001,5,10,2,0.35,1.0,100,30,2.2,-0.8,0.872,2264,24.3,75.7,0.14,2,2,False
EUR_USD,0.0001,5,10,2,0.35,1.5,0,15,2.1,-0.5,0.922,3296,45.1,54.9,0.1,1,2,False
EUR_USD,0.0001,5,10,2,0.35,1.5,0,20,3.5,0.1,0.96,2576,38.8,61.2,0.035,2,2,False
EUR_USD,0.0001,5,10,2,0.35,1.5,0,25,4.9,2.0,0.996,2130,34.8,65.2,0.01,3,2,False
EUR_USD,0.0001,5,10,2,0.35,1.5,0,30,5.1,2.3,0.998,1808,31.2,68.8,0.0,2,2,False
EUR_USD,0.0001,5,10,2,0.35,1.5,50,15,-0.4,-3.1,0.434,3240,43.6,56.4,0.615,0,1,False
EUR_USD,0.0001,5,10,2,0.35,1.5,50,20,2.4,-0.9,0.892,2544,38.2,61.8,0.1,1,2,False
EUR_USD,0.0001,5,10,2,0.35,1.5,50,25,2.8,-0.3,0.92,2143,33.5,66.5,0.08,2,2,False
EUR_USD,0.0001,5,10,2,0.35,1.5,50,30,2.3,-0.8,0.894,1835,29.4,70.6,0.155,2,2,False
EUR_USD,0.0001,5,10,2,0.35,1.5,100,15,-0.3,-3.2,0.432,3244,43.8,56.2,0.5,0,1,False
EUR_USD,0.0001,5,10,2,0.35,1.5,100,20,2.0,-0.7,0.87,2558,38.0,62.0,0.13,1,1,False
EUR_USD,0.0001,5,10,2,0.35,1.5,100,25,2.1,-0.6,0.89,2147,33.3,66.7,0.125,2,2,False
