  Computing S/R history...
  S/R + regime masks done.

========================================================================
PAIR: EUR_USD  swing_w=5 cluster=10p touches=2  OOS=409d
  wick stop_f  range   tgt |      p/d       P5     nc   hit%  stop%   IS  OOS  perm_p | status
  0.35    1.0    100    20 |      1.3     -1.6   3048  32.0%  68.0%    1/3    1/3   0.235 | 1/1 p=0.23
  0.35    1.0    100    25 |      2.3     -0.7   2640  27.8%  72.2%    2/3    2/3   0.100 | 2/2 p=0.10
  0.35    1.0    100    30 |      2.2     -0.8   2264  24.3%  75.7%    2/3    2/3   0.140 | 2/2 p=0.14
  0.35    1.5      0    15 |      2.1     -0.5   3296  45.1%  54.9%    1/3    2/3   0.100 | 1/2 p=0.10
  0.35    1.5      0    20 |      3.5      0.1   2576  38.8%  61.2%    2/3    2/3   0.035 | 2/2 p=0.04
  0.35    1.5      0    25 |      4.9      2.0   2130  34.8%  65.2%    3/3    2/3   0.010 | 3/2 p=0.01
  0.35    1.5      0    30 |      5.1      2.3   1808  31.2%  68.8%    2/3    2/3   0.000 | 2/2 p=0.00
  0.35    1.5     50    15 |     -0.4     -3.1   3240  43.6%  56.4%    0/3    1/3   0.615 | 0/1 p=0.61
  0.35    1.5     50    20 |      2.4     -0.9   2544  38.2%  61.8%    1/3    2/3   0.100 | 1/2 p=0.10
  0.35    1.5     50    25 |      2.8     -0.3   2143  33.5%  66.5%    2/3    2/3   0.080 | 2/2 p=0.08
  0.35    1.5     50    30 |      2.3     -0.8   1835  29.4%  70.6%    2/3    2/3   0.155 | 2/2 p=0.15
  0.35    1.5    100    15 |     -0.3     -3.2   3244  43.8%  56.2%    0/3    1/3   0.500 | 0/1 p=0.50
  0.35    1.5    100    20 |      2.0     -0.7   2558  38.0%  62.0%    1/3    1/3   0.130 | 1/1 p=0.13
  0.35    1.5    100    25 |      2.1     -0.6   2147  33.3%  66.7%    2/3    2/3   0.125 | 2/2 p=0.12
  0.35    1.5    100    30 |      1.1     -1.9   1849  28.8%  71.2%    2/3    2/3   0.265 | 2/2 p=0.27
  Computing S/R history...
  S/R + regime masks done.

========================================================================
PAIR: EUR_JPY  swing_w=5 cluster=10p touches=2  OOS=410d
  wick stop_f  range   tgt |      p/d       P5     nc   hit%  stop%   IS  OOS  perm_p | status
------------------------------------------------------------------------
  0.00    0.5      0    15 |     -2.7     -7.2   9233  42.5%  57.5%    2/3    1/3   0.875 | 2/1 p=0.88
  0.00    0.5      0    20 |      3.0     -1.6   7177  36.4%  63.6%    2/3    1/3   0.160 | 2/1 p=0.16
  0.00    0.5      0    25 |      3.3     -1.5   5846  31.7%  68.3%    2/3    1/3   0.110 | 2/1 p=0.11
  0.00    0.5      0    30 |      2.7     -1.3   4996  27.8%  72.2%    2/3    1/3   0.220 | 2/1 p=0.22
  0.00    0.5     50    15 |     -5.9    -10.0   9133  41.6%  58.4%    2/3    1/3   0.970 | 2/1 p=0.97
  0.00    0.5     50    20 |     -1.4     -5.9   7081  35.5%  64.5%    2/3    1/3   0.695 | 2/1 p=0.69
  0.00    0.5     50    25 |      0.3     -4.6   5838  31.0%  69.0%    2/3    1/3   0.440 | 2/1 p=0.44
  0.00    0.5     50    30 |      1.3     -3.1   4983  27.4%  72.6%    2/3    1/3   0.315 | 2/1 p=0.32
  0.00    0.5    100    15 |     -5.0     -9.3   9166  41.9%  58.1%    2/3    1/3   0.985 | 2/1 p=0.98
  0.00    0.5    100    20 |     -0.3     -5.3   7133  35.7%  64.3%    2/3    1/3   0.585 | 2/1 p=0.58
  0.00    0.5    100    25 |      0.9     -3.8   5852  31.1%  68.9%    2/3    1/3   0.370 | 2/1 p=0.37
  0.00    0.5    100    30 |      2.7     -2.2   5018  27.7%  72.3%    2/3    1/3   0.190 | 2/1 p=0.19
  0.00    1.0      0    15 |     -3.4     -8.1   7343  51.0%  49.0%    2/3    1/3   0.905 | 2/1 p=0.91
  0.00    1.0      0    20 |      1.7     -3.5   5586  44.3%  55.7%    2/3    1/3   0.330 | 2/1 p=0.33
  0.00    1.0      0    25 |      1.5     -3.5   4495  39.2%  60.8%    2/3    1/3   0.295 | 2/1 p=0.29
  0.00    1.0      0    30 |      3.6     -1.7   3850  35.2%  64.8%    2/3    1/3   0.100 | 2/1 p=0.10
  0.00    1.0     50    15 |     -6.0    -10.5   7249  50.2%  49.8%    1/3    1/3   0.995 | 1/1 p=0.99
  0.00    1.0     50    20 |     -1.2     -5.9   5475  43.7%  56.3%    2/3    1/3   0.670 | 2/1 p=0.67
  0.00    1.0     50    25 |     -0.7     -5.9   4454  38.5%  61.5%    2/3    1/3   0.610 | 2/1 p=0.61
  0.00    1.0     50    30 |      1.1     -4.0   3819  34.6%  65.4%    2/3    1/3   0.360 | 2/1 p=0.36
  0.00    1.0    100    15 |     -5.2     -9.2   7289  50.4%  49.6%    2/3    1/3   0.975 | 2/1 p=0.97
  0.00    1.0    100    20 |      1.1     -3.7   5507  44.2%  55.8%    2/3    1/3   0.305 | 2/1 p=0.30
  0.00    1.0    100    25 |     -0.9     -5.9   4464  38.6%  61.4%    2/3    1/3   0.675 | 2/1 p=0.68
  0.00    1.0    100    30 |      2.7     -2.5   3846  34.9%  65.1%    2/3    1/3   0.180 | 2/1 p=0.18
  0.00    1.5      0    15 |     -3.9     -8.6   6127  57.1%  42.9%    2/3    1/3   0.890 | 2/1 p=0.89
  0.00    1.5      0    20 |      0.3     -4.5   4594  50.6%  49.4%    2/3    1/3   0.425 | 2/1 p=0.42
  0.00    1.5      0    25 |      2.2     -3.0   3681  45.7%  54.3%    2/3    2/3   0.205 | 2/2 p=0.20
  0.00    1.5      0    30 |      1.8     -3.7   3185  40.9%  59.1%    2/3    2/3   0.225 | 2/2 p=0.23
  0.00    1.5     50    15 |     -6.1    -10.4   5992  56.5%  43.5%    1/3    1/3   0.990 | 1/1 p=0.99
  0.00    1.5     50    20 |     -1.7     -6.5   4500  50.1%  49.9%    2/3    1/3   0.745 | 2/1 p=0.74
  0.00    1.5     50    25 |      0.1     -5.4   3645  45.0%  55.0%    2/3    1/3   0.470 | 2/1 p=0.47
  0.00    1.5     50    30 |      0.7     -4.2   3142  40.6%  59.4%    2/3    2/3   0.420 | 2/2 p=0.42
  0.00    1.5    100    15 |     -5.0     -9.6   6061  56.8%  43.2%    1/3    1/3   0.965 | 1/1 p=0.96
  0.00    1.5    100    20 |     -0.0     -5.4   4549  50.5%  49.5%    2/3    1/3   0.520 | 2/1 p=0.52
  0.00    1.5    100    25 |      0.7     -4.3   3661  45.3%  54.7%    2/3    1/3   0.450 | 2/1 p=0.45
  0.00    1.5    100    30 |      1.3     -3.7   3163  40.8%  59.2%    2/3    2/3   0.350 | 2/2 p=0.35
  0.15    0.5      0    15 |     -6.5    -10.6   8362  42.3%  57.7%    1/3    1/3   0.990 | 1/1 p=0.99
  0.15    0.5      0    20 |     -3.6     -7.9   6658  35.6%  64.4%    2/3    1/3   0.925 | 2/1 p=0.93
