pair,tf,metric,H,thr,dir,net_ppd,amddp5_ppd,n,wr
EUR_USD,15m,ma_rating,6,0.1,fade,-144.9711546840962,-232.041679012346,38512,42.64644786040714
EUR_USD,15m,ma_rating,6,0.3,follow,-149.7613943355122,-231.62141466957172,35123,40.002277709762836
EUR_USD,15m,ma_rating,6,0.3,fade,-130.53490196078468,-210.72816848220805,35123,43.02593741992426
EUR_USD,15m,ma_rating,6,0.5,follow,-120.37995642701536,-187.5677211328977,27946,40.0522436126816
EUR_USD,15m,ma_rating,6,0.5,fade,-101.84923747276717,-167.41570370370397,27946,43.648464896586276
EUR_USD,30m,summary,1,0.1,follow,-79.81101449275344,-85.51756521739111,19166,34.389022226860064
EUR_USD,30m,summary,1,0.1,fade,-76.36475362318852,-81.98514782608706,19166,37.12824793905875
EUR_USD,30m,summary,1,0.3,follow,-64.78005797101443,-69.52514782608688,15502,34.634240743129915
EUR_USD,30m,summary,1,0.3,fade,-61.32452173913036,-65.98322318840572,15502,37.43387949941943
EUR_USD,30m,summary,1,0.5,follow,-36.88533333333348,-39.83840000000013,9297,35.237173281703775
EUR_USD,30m,summary,1,0.5,fade,-37.40243478260874,-40.368428985507286,9297,38.18436054641282
EUR_USD,30m,summary,3,0.1,follow,-82.8946086956523,-106.61826086956533,19164,39.475057399290336
EUR_USD,30m,summary,3,0.1,fade,-73.26631884057952,-96.5376347826085,19164,42.68941765810895
EUR_USD,30m,summary,3,0.3,follow,-67.34284057971017,-87.05791304347828,15500,39.85806451612903
EUR_USD,30m,summary,3,0.3,fade,-58.7468985507245,-78.00675942028971,15500,42.92258064516129
EUR_USD,30m,summary,3,0.5,follow,-39.66214492753642,-51.999710144927725,9296,40.11402753872633
EUR_USD,30m,summary,3,0.5,fade,-34.618202898550734,-46.80280579710145,9296,44.02969018932875
EUR_USD,30m,summary,6,0.1,follow,-90.87976811594211,-153.75705507246383,19162,41.69189019935289
EUR_USD,30m,summary,6,0.1,fade,-65.26539130434769,-125.9963014492752,19162,46.0390355912744
EUR_USD,30m,summary,6,0.3,follow,-71.4221449275362,-123.38933333333328,15498,41.94089559943219
EUR_USD,30m,summary,6,0.3,fade,-54.65182608695644,-105.02742028985496,15498,46.03174603174603
EUR_USD,30m,summary,6,0.5,follow,-43.54782608695671,-75.89536231884077,9295,41.42011834319527
EUR_USD,30m,summary,6,0.5,fade,-30.72463768115943,-62.08213333333333,9295,46.960731576116196
EUR_USD,30m,osc_rating,1,0.1,follow,-47.15942028985528,-50.66985507246396,11383,34.76236493015901
EUR_USD,30m,osc_rating,1,0.1,fade,-44.24139130434812,-47.67887536231912,11383,37.46815426513221
EUR_USD,30m,osc_rating,1,0.3,follow,-15.086144927536226,-16.289055072463757,3361,34.57304373698304
EUR_USD,30m,osc_rating,1,0.3,fade,-11.116753623188655,-12.220428985507498,3361,41.35673906575424
EUR_USD,30m,osc_rating,1,0.5,follow,-0.6968115942029118,-0.7400347826087097,85,25.882352941176475
EUR_USD,30m,osc_rating,1,0.5,fade,-0.024811594202906607,-0.05123478260870432,85,52.94117647058824
EUR_USD,30m,osc_rating,3,0.1,follow,-54.122434782608956,-68.9331014492756,11382,39.23739237392374
EUR_USD,30m,osc_rating,3,0.1,fade,-37.27095652173938,-51.40444057971038,11382,43.25250395361097
EUR_USD,30m,osc_rating,3,0.3,follow,-18.00185507246395,-23.01285797101468,3361,39.66081523356144
EUR_USD,30m,osc_rating,3,0.3,fade,-8.20104347826093,-12.681982608695714,3361,45.37340077357929
EUR_USD,30m,osc_rating,3,0.5,follow,-0.5057391304348159,-0.6632463768116301,85,35.294117647058826
EUR_USD,30m,osc_rating,3,0.5,fade,-0.2158840579710025,-0.3406028985507134,85,50.588235294117645
