sma_n,lags,tp,ppd,tpd,avg_p,n_is3,n_pos
22,"(1, 10, 15)",40,24.59,0.601,40.88,7,12
22,"(1, 10, 20)",20,21.37,1.023,20.88,10,12
22,"(1, 10, 20)",40,24.67,0.604,40.86,7,12
22,"(1, 15, 20)",20,21.38,1.023,20.89,9,12
22,"(1, 15, 20)",40,24.67,0.604,40.86,6,12
22,"(2, 3, 5)",20,16.74,0.788,21.25,8,12
22,"(2, 3, 5)",40,16.81,0.413,40.74,7,12
22,"(2, 3, 8)",20,18.16,0.895,20.28,10,12
22,"(2, 3, 8)",40,19.29,0.469,41.17,7,12
22,"(2, 3, 10)",20,18.39,0.902,20.38,10,12
22,"(2, 3, 10)",40,19.24,0.469,41.06,7,12
22,"(2, 3, 15)",20,20.09,0.977,20.57,10,12
22,"(2, 3, 15)",40,21.64,0.525,41.26,7,12
22,"(2, 3, 20)",20,20.02,0.972,20.6,9,12
22,"(2, 3, 20)",40,22.01,0.536,41.05,6,12
22,"(2, 5, 8)",20,18.16,0.895,20.28,10,12
22,"(2, 5, 8)",40,19.29,0.469,41.17,7,12
22,"(2, 5, 10)",20,18.39,0.902,20.38,10,12
22,"(2, 5, 10)",40,19.24,0.469,41.06,7,12
22,"(2, 5, 15)",20,20.09,0.977,20.57,10,12
22,"(2, 5, 15)",40,21.64,0.525,41.26,7,12
22,"(2, 5, 20)",20,19.98,0.97,20.6,9,12
22,"(2, 5, 20)",40,22.01,0.536,41.05,6,12
22,"(2, 8, 10)",20,18.39,0.902,20.38,10,12
22,"(2, 8, 10)",40,19.24,0.469,41.06,7,12
22,"(2, 8, 15)",20,20.09,0.977,20.57,10,12
22,"(2, 8, 15)",40,21.87,0.532,41.15,7,12
22,"(2, 8, 20)",20,19.98,0.97,20.6,10,12
22,"(2, 8, 20)",40,22.01,0.536,41.05,7,12
22,"(2, 10, 15)",20,20.04,0.977,20.52,10,12
22,"(2, 10, 15)",40,21.86,0.532,41.12,7,12
22,"(2, 10, 20)",20,19.93,0.97,20.55,10,12
22,"(2, 10, 20)",40,22.0,0.536,41.03,7,12
22,"(2, 15, 20)",20,19.94,0.97,20.56,9,12
22,"(2, 15, 20)",40,22.0,0.536,41.03,6,12
22,"(3, 5, 8)",20,16.19,0.8,20.24,10,12
22,"(3, 5, 8)",40,17.58,0.424,41.44,7,12
22,"(3, 5, 10)",20,16.41,0.807,20.34,10,12
22,"(3, 5, 10)",40,17.53,0.424,41.32,7,12
22,"(3, 5, 15)",20,18.23,0.888,20.53,10,12
22,"(3, 5, 15)",40,20.33,0.492,41.33,7,12
22,"(3, 5, 20)",20,18.21,0.888,20.51,9,12
22,"(3, 5, 20)",40,20.47,0.497,41.23,6,12
22,"(3, 8, 10)",20,16.41,0.807,20.34,10,12
22,"(3, 8, 10)",40,17.53,0.424,41.32,7,12
22,"(3, 8, 15)",20,18.23,0.888,20.53,10,12
22,"(3, 8, 15)",40,20.33,0.492,41.33,7,12
22,"(3, 8, 20)",20,18.14,0.884,20.53,10,12
22,"(3, 8, 20)",40,20.47,0.497,41.23,7,12
22,"(3, 10, 15)",20,18.23,0.888,20.53,10,12
22,"(3, 10, 15)",40,20.33,0.492,41.32,7,12
22,"(3, 10, 20)",20,18.14,0.884,20.53,10,12
22,"(3, 10, 20)",40,20.47,0.497,41.22,7,12
22,"(3, 15, 20)",20,18.14,0.884,20.53,10,12
22,"(3, 15, 20)",40,20.47,0.497,41.22,7,12
22,"(5, 8, 10)",20,17.57,0.87,20.2,10,12
22,"(5, 8, 10)",40,21.09,0.52,40.57,7,12
22,"(5, 8, 15)",20,19.98,0.981,20.36,10,12
22,"(5, 8, 15)",40,21.63,0.534,40.52,7,12
22,"(5, 8, 20)",20,19.82,0.972,20.39,10,12
22,"(5, 8, 20)",40,21.6,0.534,40.47,7,12
22,"(5, 10, 15)",20,19.98,0.981,20.36,10,12
22,"(5, 10, 15)",40,21.63,0.534,40.52,7,12
22,"(5, 10, 20)",20,19.82,0.972,20.39,10,12
22,"(5, 10, 20)",40,21.6,0.534,40.47,7,12
22,"(5, 15, 20)",20,19.81,0.972,20.38,10,12
22,"(5, 15, 20)",40,21.6,0.534,40.47,7,12
22,"(8, 10, 15)",20,20.36,0.995,20.45,10,12
22,"(8, 10, 15)",40,25.96,0.643,40.35,7,12
22,"(8, 10, 20)",20,20.11,0.981,20.49,10,12
22,"(8, 10, 20)",40,26.08,0.648,40.25,7,12
22,"(8, 15, 20)",20,20.1,0.981,20.48,10,12
22,"(8, 15, 20)",40,26.08,0.648,40.25,7,12
22,"(10, 15, 20)",20,21.55,1.079,19.97,10,12
22,"(10, 15, 20)",40,26.6,0.66,40.32,7,12
34,"(1, 2, 3)",20,18.02,0.851,21.17,8,12
