tfs,lags,tp,ppd,tpd,n_is3,mean_h,p50_h,p90_h,short_hold,beats_baseline
H1+M30,"(3, 8, 10)",30,15.89,0.518,7,263.6,15.4,624.4,False,False
H1+M30,"(3, 8, 15)",5,11.44,2.07,12,46.2,0.8,28.6,False,False
H1+M30,"(3, 8, 15)",10,14.14,1.299,11,70.7,2.1,74.5,False,False
H1+M30,"(3, 8, 15)",15,16.47,1.019,11,113.4,4.2,116.7,False,False
H1+M30,"(3, 8, 15)",20,18.22,0.879,9,110.6,5.0,110.0,False,False
H1+M30,"(3, 8, 15)",30,11.26,0.378,7,381.8,14.1,1062.1,False,False
H1+M30,"(3, 8, 20)",5,13.33,2.376,12,35.2,0.8,29.4,False,False
H1+M30,"(3, 8, 20)",10,15.62,1.462,12,69.7,1.8,59.6,False,False
H1+M30,"(3, 8, 20)",15,17.33,1.1,11,109.8,4.1,111.0,False,False
H1+M30,"(3, 8, 20)",20,20.91,1.002,10,105.3,4.7,104.9,False,False
H1+M30,"(3, 8, 20)",30,13.9,0.452,8,323.2,13.6,562.0,False,False
H1+M30,"(3, 10, 15)",5,12.04,2.138,12,41.3,0.8,21.9,False,False
H1+M30,"(3, 10, 15)",10,16.71,1.509,11,56.2,2.8,83.6,False,False
H1+M30,"(3, 10, 15)",15,17.56,1.077,11,96.7,4.6,111.0,False,False
H1+M30,"(3, 10, 15)",20,16.51,0.797,9,111.6,5.3,106.7,False,False
H1+M30,"(3, 10, 15)",30,16.82,0.552,7,223.3,11.9,525.2,False,False
H1+M30,"(3, 10, 20)",5,13.78,2.432,12,31.6,0.8,24.1,False,False
H1+M30,"(3, 10, 20)",10,14.74,1.368,12,67.7,1.7,61.5,False,False
H1+M30,"(3, 10, 20)",15,15.92,0.991,11,110.0,4.2,116.4,False,False
H1+M30,"(3, 10, 20)",20,18.44,0.884,10,104.3,4.8,104.9,False,False
H1+M30,"(3, 10, 20)",30,14.59,0.469,8,288.0,11.3,712.0,False,False
H1+M30,"(3, 15, 20)",5,13.31,2.31,12,33.4,0.8,27.1,False,False
H1+M30,"(3, 15, 20)",10,13.79,1.287,12,79.1,1.8,59.0,False,False
H1+M30,"(3, 15, 20)",15,16.06,0.993,11,109.7,4.2,113.3,False,False
H1+M30,"(3, 15, 20)",20,17.87,0.853,10,107.9,5.0,105.7,False,False
H1+M30,"(3, 15, 20)",30,13.42,0.441,8,305.1,13.3,816.4,False,False
H1+M30,"(5, 8, 10)",5,15.15,2.6,11,35.6,0.9,30.5,False,False
H1+M30,"(5, 8, 10)",10,18.01,1.62,11,48.0,1.8,49.4,False,False
H1+M30,"(5, 8, 10)",15,18.18,1.131,11,95.2,4.2,117.2,False,False
H1+M30,"(5, 8, 10)",20,18.12,0.872,9,102.5,5.5,103.7,False,False
H1+M30,"(5, 8, 10)",30,17.15,0.557,7,256.6,17.1,645.8,False,False
H1+M30,"(5, 8, 15)",5,13.01,2.508,12,47.1,1.0,33.2,False,False
H1+M30,"(5, 8, 15)",10,19.59,1.807,11,54.3,1.8,50.0,False,False
H1+M30,"(5, 8, 15)",15,19.28,1.236,11,105.9,4.3,111.5,False,False
H1+M30,"(5, 8, 15)",20,17.54,0.86,9,150.1,6.0,194.1,False,False
H1+M30,"(5, 8, 15)",30,12.19,0.403,7,371.1,14.0,1051.3,False,False
H1+M30,"(5, 8, 20)",5,14.64,2.581,12,39.5,0.8,27.8,False,False
H1+M30,"(5, 8, 20)",10,16.03,1.483,12,71.6,1.6,45.0,False,False
H1+M30,"(5, 8, 20)",15,19.6,1.233,11,107.4,3.6,105.7,False,False
H1+M30,"(5, 8, 20)",20,18.35,0.872,10,159.0,5.0,143.6,False,False
H1+M30,"(5, 8, 20)",30,13.47,0.438,8,333.6,11.9,603.8,False,False
H1+M30,"(5, 10, 15)",5,14.6,2.973,12,41.2,1.0,32.1,False,False
H1+M30,"(5, 10, 15)",10,19.34,1.833,11,59.9,1.9,48.5,False,False
H1+M30,"(5, 10, 15)",15,19.0,1.252,11,119.0,3.9,125.6,False,False
H1+M30,"(5, 10, 15)",20,19.07,0.923,9,142.0,5.4,191.3,False,False
H1+M30,"(5, 10, 15)",30,12.44,0.413,7,362.5,11.9,998.1,False,False
H1+M30,"(5, 10, 20)",5,14.64,2.595,12,39.3,0.8,27.6,False,False
H1+M30,"(5, 10, 20)",10,16.06,1.485,12,71.5,1.6,45.0,False,False
H1+M30,"(5, 10, 20)",15,20.21,1.28,11,103.5,3.8,108.7,False,False
H1+M30,"(5, 10, 20)",20,18.35,0.872,10,159.0,5.0,143.5,False,False
H1+M30,"(5, 10, 20)",30,13.77,0.45,8,327.6,11.9,461.2,False,False
H1+M30,"(5, 15, 20)",5,15.29,2.623,12,36.7,0.9,31.2,False,False
H1+M30,"(5, 15, 20)",10,14.94,1.361,12,77.0,1.8,46.6,False,False
H1+M30,"(5, 15, 20)",15,20.14,1.254,11,102.4,3.4,95.9,False,False
H1+M30,"(5, 15, 20)",20,19.47,0.93,10,139.8,5.0,152.0,False,False
H1+M30,"(5, 15, 20)",30,14.51,0.471,8,302.4,13.7,914.6,False,False
H1+M30,"(8, 10, 15)",5,16.43,3.017,12,42.7,0.9,28.9,False,False
H1+M30,"(8, 10, 15)",10,19.64,1.884,12,76.3,2.1,72.6,False,False
