pair,ta,td,zw,tgt,sp_med,gate,skip_pct,ppd,cday,ppc,trail_pct,wf,boot_p5,prob_pos
EUR_USD,8,5,30.0,15.0,1.6,1.7,31.1,-518.6,4.5,-114.13,75.9,2,,
EUR_USD,10,1,30.0,15.0,1.6,1.7,32.4,-47.1,4.2,-11.34,77.5,2,,
EUR_USD,10,2,30.0,15.0,1.6,1.7,31.6,-333.3,4.2,-79.02,78.3,2,,
EUR_USD,10,3,30.0,15.0,1.6,1.7,25.9,-50.3,4.2,-12.05,76.5,2,,
EUR_USD,10,5,30.0,15.0,1.6,1.7,29.9,-309.0,3.7,-84.2,69.6,2,,
EUR_USD,10,7,30.0,15.0,1.6,1.7,38.7,-187.6,3.7,-50.39,58.2,2,,
EUR_USD,14,1,30.0,15.0,1.6,1.7,31.7,-14.2,3.0,-4.67,69.5,2,,
EUR_USD,14,2,30.0,15.0,1.6,1.7,31.6,-16.1,3.0,-5.32,68.8,3,-156.1,0.381
EUR_USD,14,3,30.0,15.0,1.6,1.7,34.4,54.4,3.1,17.54,67.5,3,37.0,1.0
EUR_USD,14,5,30.0,15.0,1.6,1.7,37.4,39.7,2.9,13.63,50.6,3,3.2,0.96
EUR_USD,14,7,30.0,15.0,1.6,1.7,36.0,115.1,2.8,41.75,37.8,2,,
EUR_USD,20,1,30.0,15.0,1.6,1.7,34.2,150.1,2.6,57.52,7.9,3,42.3,1.0
EUR_USD,20,2,30.0,15.0,1.6,1.7,34.2,149.9,2.6,57.44,7.9,3,42.8,1.0
EUR_USD,20,3,30.0,15.0,1.6,1.7,34.1,149.5,2.6,57.31,7.7,3,41.8,1.0
EUR_USD,20,5,30.0,15.0,1.6,1.7,34.1,149.1,2.6,57.15,7.7,3,42.9,0.998
EUR_USD,20,7,30.0,15.0,1.6,1.7,34.1,148.7,2.6,57.0,7.4,3,37.0,0.996
EUR_USD,30,1,30.0,15.0,1.6,1.7,33.2,121.2,2.6,45.77,1.0,3,31.8,1.0
EUR_USD,30,2,30.0,15.0,1.6,1.7,33.2,121.2,2.6,45.76,1.0,3,32.3,0.998
EUR_USD,30,3,30.0,15.0,1.6,1.7,33.1,121.1,2.6,45.71,0.8,3,31.3,1.0
EUR_USD,30,5,30.0,15.0,1.6,1.7,33.1,121.0,2.6,45.69,0.8,3,31.5,1.0
EUR_USD,30,7,30.0,15.0,1.6,1.7,33.1,121.0,2.6,45.68,0.8,3,30.2,0.998
USD_JPY,4,1,40.0,20.0,1.7,2.1,12.4,167.7,16.8,9.98,90.9,2,,
USD_JPY,5,1,40.0,20.0,1.7,2.1,13.1,185.8,14.3,12.96,89.4,2,,
USD_JPY,5,2,40.0,20.0,1.7,2.1,12.9,172.9,14.3,12.07,89.4,2,,
USD_JPY,6,1,40.0,20.0,1.7,2.1,11.3,206.4,12.3,16.83,88.0,2,,
USD_JPY,6,2,40.0,20.0,1.7,2.1,11.1,171.2,12.3,13.96,88.0,2,,
USD_JPY,6,3,40.0,20.0,1.7,2.1,11.9,184.5,12.3,15.03,87.8,2,,
USD_JPY,7,1,40.0,20.0,1.7,2.1,15.4,134.8,10.3,13.09,85.7,2,,
USD_JPY,7,2,40.0,20.0,1.7,2.1,14.8,102.6,10.3,9.96,85.7,2,,
USD_JPY,7,3,40.0,20.0,1.7,2.1,15.5,118.4,10.3,11.47,85.8,2,,
USD_JPY,8,1,40.0,20.0,1.7,2.1,17.1,190.3,9.4,20.21,84.1,2,,
USD_JPY,8,2,40.0,20.0,1.7,2.1,17.1,182.4,9.4,19.37,84.1,2,,
USD_JPY,8,3,40.0,20.0,1.7,2.1,16.7,171.7,9.6,17.8,84.8,2,,
USD_JPY,8,5,40.0,20.0,1.7,2.1,18.7,241.6,9.1,26.53,83.1,2,,
USD_JPY,10,1,40.0,20.0,1.7,2.1,16.1,172.2,7.5,22.84,79.8,2,,
USD_JPY,10,2,40.0,20.0,1.7,2.1,15.8,166.4,7.7,21.7,80.2,2,,
USD_JPY,10,3,40.0,20.0,1.7,2.1,15.8,192.9,7.6,25.37,79.9,2,,
USD_JPY,10,5,40.0,20.0,1.7,2.1,17.9,203.4,7.5,27.12,80.0,2,,
USD_JPY,10,7,40.0,20.0,1.7,2.1,20.9,170.6,7.6,22.48,79.4,1,,
USD_JPY,14,1,40.0,20.0,1.7,2.1,18.4,137.8,5.1,26.84,70.1,1,,
USD_JPY,14,2,40.0,20.0,1.7,2.1,18.4,134.2,5.1,26.14,70.1,1,,
USD_JPY,14,3,40.0,20.0,1.7,2.1,19.1,130.6,5.1,25.45,70.1,1,,
USD_JPY,14,5,40.0,20.0,1.7,2.1,20.1,94.0,5.7,16.36,74.8,2,,
USD_JPY,14,7,40.0,20.0,1.7,2.1,20.9,89.8,5.3,17.1,69.3,2,,
USD_JPY,20,1,40.0,20.0,1.7,2.1,16.4,134.4,4.2,32.0,65.7,1,,
USD_JPY,20,2,40.0,20.0,1.7,2.1,16.4,131.6,4.2,31.34,65.7,1,,
USD_JPY,20,3,40.0,20.0,1.7,2.1,16.2,127.5,4.2,30.37,64.5,1,,
USD_JPY,20,5,40.0,20.0,1.7,2.1,16.1,155.7,4.2,36.97,57.5,1,,
USD_JPY,20,7,40.0,20.0,1.7,2.1,16.2,135.2,4.2,32.21,49.1,1,,
USD_JPY,30,1,40.0,20.0,1.7,2.1,18.0,219.7,4.1,53.35,3.9,1,,
USD_JPY,30,2,40.0,20.0,1.7,2.1,18.0,219.5,4.1,53.31,3.9,1,,
USD_JPY,30,3,40.0,20.0,1.7,2.1,17.7,218.1,4.1,52.96,3.6,1,,
USD_JPY,30,5,40.0,20.0,1.7,2.1,17.7,217.8,4.1,52.89,3.6,1,,
USD_JPY,30,7,40.0,20.0,1.7,2.1,17.7,217.5,4.1,52.82,3.6,1,,
GBP_USD,4,1,30.0,15.0,1.9,2.2,24.8,54.3,14.1,3.85,88.0,3,-228.0,0.686
GBP_USD,5,1,30.0,15.0,1.9,2.2,29.0,319.5,12.0,26.68,86.0,2,,
GBP_USD,5,2,30.0,15.0,1.9,2.2,29.4,313.0,12.0,26.08,86.0,2,,
GBP_USD,6,1,30.0,15.0,1.9,2.2,30.0,128.2,11.0,11.65,83.7,2,,
GBP_USD,6,2,30.0,15.0,1.9,2.2,29.8,138.2,11.0,12.55,83.7,2,,
GBP_USD,6,3,30.0,15.0,1.9,2.2,30.2,129.4,11.0,11.74,83.7,2,,
GBP_USD,7,1,30.0,15.0,1.9,2.2,29.5,124.1,9.3,13.38,80.8,1,,
GBP_USD,7,2,30.0,15.0,1.9,2.2,29.6,115.1,9.2,12.48,80.8,1,,
GBP_USD,7,3,30.0,15.0,1.9,2.2,30.5,80.8,9.2,8.81,80.7,1,,
GBP_USD,8,1,30.0,15.0,1.9,2.2,25.3,294.0,8.2,35.92,78.9,2,,
GBP_USD,8,2,30.0,15.0,1.9,2.2,25.3,287.5,8.2,35.13,78.9,2,,
GBP_USD,8,3,30.0,15.0,1.9,2.2,24.9,269.2,8.1,33.12,78.7,2,,
GBP_USD,8,5,30.0,15.0,1.9,2.2,29.3,31.4,7.8,4.05,76.5,2,,
GBP_USD,10,1,30.0,15.0,1.9,2.2,31.3,281.8,6.6,42.6,74.3,2,,
GBP_USD,10,2,30.0,15.0,1.9,2.2,31.3,277.7,6.6,41.9,74.5,2,,
GBP_USD,10,3,30.0,15.0,1.9,2.2,30.7,327.2,6.5,50.38,73.8,2,,
GBP_USD,10,5,30.0,15.0,1.9,2.2,29.9,124.8,6.7,18.5,72.2,3,46.8,0.997
GBP_USD,10,7,30.0,15.0,1.9,2.2,32.8,147.5,6.8,21.64,66.4,0,,
GBP_USD,14,1,30.0,15.0,1.9,2.2,28.4,-72.2,4.9,-14.68,67.4,2,,
GBP_USD,14,2,30.0,15.0,1.9,2.2,28.5,-76.1,4.9,-15.56,67.1,2,,
GBP_USD,14,3,30.0,15.0,1.9,2.2,28.3,-87.2,4.9,-17.67,67.0,2,,
GBP_USD,14,5,30.0,15.0,1.9,2.2,29.2,-1120.7,4.8,-232.86,58.5,2,,
GBP_USD,14,7,30.0,15.0,1.9,2.2,29.5,-1073.5,5.0,-215.88,45.8,2,,
GBP_USD,20,1,30.0,15.0,1.9,2.2,29.3,-75.0,4.8,-15.55,11.8,2,,
GBP_USD,20,2,30.0,15.0,1.9,2.2,29.3,-75.6,4.8,-15.67,11.8,2,,
GBP_USD,20,3,30.0,15.0,1.9,2.2,29.3,-76.2,4.8,-15.78,11.8,2,,
GBP_USD,20,5,30.0,15.0,1.9,2.2,29.3,-77.3,4.8,-16.02,11.8,2,,
GBP_USD,20,7,30.0,15.0,1.9,2.2,28.3,-78.3,4.8,-16.23,11.5,2,,
GBP_USD,30,1,30.0,15.0,1.9,2.2,27.6,15.4,4.9,3.17,1.0,2,,
GBP_USD,30,2,30.0,15.0,1.9,2.2,27.6,15.3,4.9,3.16,1.0,2,,
GBP_USD,30,3,30.0,15.0,1.9,2.2,27.6,15.3,4.9,3.15,1.0,2,,
GBP_USD,30,5,30.0,15.0,1.9,2.2,27.6,15.2,4.9,3.13,1.0,2,,
GBP_USD,30,7,30.0,15.0,1.9,2.2,27.6,15.1,4.9,3.11,1.0,2,,
AUD_JPY,4,1,50.0,25.0,2.1,2.6,41.7,-4199.4,9.4,-448.77,91.2,2,,
AUD_JPY,5,1,50.0,25.0,2.1,2.6,41.5,0.7,8.1,0.08,89.6,2,,
AUD_JPY,5,2,50.0,25.0,2.1,2.6,41.5,-6.5,8.1,-0.8,89.6,2,,
AUD_JPY,6,1,50.0,25.0,2.1,2.6,47.2,122.2,6.8,17.95,88.4,2,,
AUD_JPY,6,2,50.0,25.0,2.1,2.6,47.2,116.2,6.8,17.07,88.4,2,,
AUD_JPY,6,3,50.0,25.0,2.1,2.6,48.3,110.4,6.7,16.53,88.2,2,,
AUD_JPY,7,1,50.0,25.0,2.1,2.6,46.1,109.6,5.6,19.41,85.5,2,,
AUD_JPY,7,2,50.0,25.0,2.1,2.6,46.0,109.1,5.7,19.24,85.5,2,,
AUD_JPY,7,3,50.0,25.0,2.1,2.6,46.9,102.8,5.7,18.17,85.4,2,,
AUD_JPY,8,1,50.0,25.0,2.1,2.6,49.3,-11.4,5.8,-1.97,85.3,2,,
AUD_JPY,8,2,50.0,25.0,2.1,2.6,49.3,-16.4,5.8,-2.82,85.3,2,,
AUD_JPY,8,3,50.0,25.0,2.1,2.6,48.7,-18.1,5.8,-3.12,85.1,2,,
