pair,ta,td,zw,tgt,sp_med,gate,ppd,cday,ppc,is_wf,oos_wf,boot_p5,prob_pos
NZD_JPY,30,1,40.0,20.0,2.8,3.6,190.2,2.0,93.95,3,3,46.4,0.992
NZD_JPY,30,2,40.0,20.0,2.8,3.6,189.7,2.0,93.71,3,3,44.6,0.991
NZD_JPY,30,3,40.0,20.0,2.8,3.6,189.7,2.0,93.7,3,3,43.0,0.989
NZD_JPY,30,5,40.0,20.0,2.8,3.6,189.5,2.0,93.58,3,3,46.5,0.992
NZD_JPY,30,7,40.0,20.0,2.8,3.6,189.4,2.0,93.55,3,3,45.2,0.99
EUR_JPY,5,1,50.0,25.0,2.3,3.1,590.5,11.3,52.25,3,3,121.0,1.0
EUR_JPY,6,1,50.0,25.0,2.3,3.1,195.7,9.7,20.15,3,3,103.5,1.0
EUR_JPY,6,2,50.0,25.0,2.3,3.1,186.8,9.7,19.21,3,3,95.5,1.0
EUR_JPY,7,1,50.0,25.0,2.3,3.1,140.1,8.2,17.19,2,3,,
EUR_JPY,7,2,50.0,25.0,2.3,3.1,132.5,8.2,16.26,2,3,,
EUR_JPY,7,3,50.0,25.0,2.3,3.1,130.2,8.2,15.98,2,3,,
EUR_JPY,8,1,50.0,25.0,2.3,3.1,126.4,7.5,16.92,2,3,,
EUR_JPY,8,2,50.0,25.0,2.3,3.1,119.8,7.5,16.04,2,3,,
EUR_JPY,8,3,50.0,25.0,2.3,3.1,113.5,7.5,15.12,2,3,,
EUR_JPY,10,1,50.0,25.0,2.3,3.1,-35.4,5.4,-6.57,1,2,,
EUR_JPY,10,2,50.0,25.0,2.3,3.1,-39.9,5.4,-7.4,1,2,,
EUR_JPY,10,3,50.0,25.0,2.3,3.1,-44.0,5.5,-8.07,1,2,,
EUR_JPY,10,5,50.0,25.0,2.3,3.1,-61.3,5.6,-11.01,0,2,,
EUR_JPY,14,1,50.0,25.0,2.3,3.1,107.4,4.2,25.65,3,2,,
EUR_JPY,14,2,50.0,25.0,2.3,3.1,104.2,4.2,24.9,3,2,,
EUR_JPY,14,3,50.0,25.0,2.3,3.1,96.7,4.1,23.33,3,2,,
EUR_JPY,14,5,50.0,25.0,2.3,3.1,54.7,4.1,13.32,3,2,,
EUR_JPY,14,7,50.0,25.0,2.3,3.1,-324.6,4.0,-81.73,2,2,,
EUR_JPY,20,1,50.0,25.0,2.3,3.1,174.6,2.7,64.27,3,3,116.6,1.0
EUR_JPY,20,2,50.0,25.0,2.3,3.1,172.4,2.7,63.45,3,3,110.6,1.0
EUR_JPY,20,3,50.0,25.0,2.3,3.1,170.4,2.7,63.02,3,3,111.0,1.0
EUR_JPY,20,5,50.0,25.0,2.3,3.1,118.1,2.8,42.24,3,3,31.0,0.99
EUR_JPY,20,7,50.0,25.0,2.3,3.1,91.5,3.0,30.82,3,3,19.8,0.98
EUR_JPY,30,1,50.0,25.0,2.3,3.1,-153.7,2.6,-60.13,1,2,,
EUR_JPY,30,2,50.0,25.0,2.3,3.1,-154.2,2.6,-60.33,1,2,,
EUR_JPY,30,3,50.0,25.0,2.3,3.1,-154.6,2.6,-60.47,1,2,,
EUR_JPY,30,5,50.0,25.0,2.3,3.1,-155.3,2.6,-60.76,1,2,,
EUR_JPY,30,7,50.0,25.0,2.3,3.1,-156.1,2.6,-61.05,1,2,,
CHF_JPY,7,1,40.0,20.0,3.5,5.3,-8675.0,11.9,-728.48,0,0,,
CHF_JPY,8,1,40.0,20.0,3.5,5.3,-6926.7,11.5,-602.02,0,0,,
CHF_JPY,8,2,40.0,20.0,3.5,5.3,-6936.4,11.5,-602.86,0,0,,
CHF_JPY,10,1,40.0,20.0,3.5,5.3,-1204.7,8.9,-134.92,1,0,,
CHF_JPY,10,2,40.0,20.0,3.5,5.3,-1211.6,8.9,-135.68,1,0,,
CHF_JPY,10,3,40.0,20.0,3.5,5.3,-1336.9,8.9,-150.28,1,0,,
CHF_JPY,14,1,40.0,20.0,3.5,5.3,-858.1,7.0,-122.63,0,0,,
CHF_JPY,14,2,40.0,20.0,3.5,5.3,-863.1,7.0,-123.34,0,0,,
CHF_JPY,14,3,40.0,20.0,3.5,5.3,-1834.6,6.9,-265.23,0,0,,
CHF_JPY,14,5,40.0,20.0,3.5,5.3,-5576.1,7.3,-763.22,0,0,,
CHF_JPY,14,7,40.0,20.0,3.5,5.3,-9102.7,6.6,-1374.67,0,0,,
CHF_JPY,20,1,40.0,20.0,3.5,5.3,-2638.4,5.0,-526.47,0,0,,
CHF_JPY,20,2,40.0,20.0,3.5,5.3,-2641.4,5.0,-527.05,0,0,,
CHF_JPY,20,3,40.0,20.0,3.5,5.3,-2644.3,5.0,-527.63,0,0,,
CHF_JPY,20,5,40.0,20.0,3.5,5.3,-2720.8,4.9,-556.3,0,0,,
CHF_JPY,20,7,40.0,20.0,3.5,5.3,-2518.4,4.9,-517.76,0,0,,
CHF_JPY,30,1,40.0,20.0,3.5,5.3,-1556.9,4.7,-332.0,0,0,,
CHF_JPY,30,2,40.0,20.0,3.5,5.3,-1557.2,4.7,-332.05,0,0,,
CHF_JPY,30,3,40.0,20.0,3.5,5.3,-1557.4,4.7,-332.1,0,0,,
CHF_JPY,30,5,40.0,20.0,3.5,5.3,-1557.8,4.7,-332.19,0,0,,
CHF_JPY,30,7,40.0,20.0,3.5,5.3,-1558.3,4.7,-332.29,0,0,,
