pair,box_pips,reversal,direction,obs_ppd,n_cycles,perm_null_median,perm_null_p95,p_value,boot_p5,boot_p25,boot_median,boot_p75,boot_p95,sharpe,prob_pos,gate_perm,gate_p5,gate_prob,gates
AUD_JPY,10,1.0,alt,454.5,2744,76.8,473.3,0.076,54.0,81.0,450.0,822.0,1220.0,1.22,1.0,0,1,1,2
AUD_JPY,5,3.0,col,447.5,2496,64.5,516.9,0.068,36.0,74.0,433.0,791.0,1205.0,1.15,0.999,0,1,1,2
AUD_JPY,10,1.5,col,443.8,2245,60.9,473.6,0.0655,49.0,65.0,440.0,813.0,1207.0,1.16,1.0,0,1,1,2
AUD_JPY,10,1.5,alt,443.4,2296,60.6,527.2,0.071,50.0,67.0,440.0,812.0,1204.0,1.17,1.0,0,1,1,2
CHF_JPY,5,2.0,alt,460.1,5418,229.8,1255.6,0.2175,240.0,356.0,446.0,546.0,709.0,3.21,1.0,0,1,1,2
CHF_JPY,10,1.0,col,370.5,4939,226.1,1254.7,0.294,164.0,277.0,360.0,457.0,614.0,2.72,1.0,0,1,1,2
CHF_JPY,5,1.0,col,370.6,6352,289.3,1322.0,0.3625,200.0,286.0,363.0,442.0,580.0,3.18,1.0,0,1,1,2
CHF_JPY,5,3.0,alt,328.2,4489,188.9,1203.6,0.276,161.0,245.0,316.0,395.0,528.0,2.92,1.0,0,1,1,2
EUR_JPY,5,2.5,alt,279.5,4210,142.1,528.7,0.146,138.0,201.0,266.0,343.0,484.0,2.61,1.0,0,1,1,2
CHF_JPY,5,2.5,alt,300.6,5001,208.1,1226.4,0.3155,135.0,216.0,288.0,373.0,509.0,2.57,1.0,0,1,1,2
EUR_JPY,10,1.0,col,251.0,4234,150.1,535.6,0.1935,84.0,164.0,239.0,320.0,472.0,2.14,0.998,0,1,1,2
EUR_JPY,10,1.5,col,245.5,3623,115.9,493.5,0.123,110.0,162.0,236.0,324.0,457.0,2.32,1.0,0,1,1,2
EUR_JPY,10,1.5,alt,243.6,3645,114.8,485.2,0.13,111.0,149.0,226.0,306.0,445.0,2.27,1.0,0,1,1,2
EUR_JPY,10,1.0,alt,238.9,4426,149.1,539.9,0.216,74.0,155.0,230.0,315.0,456.0,2.06,0.993,0,1,1,2
NZD_JPY,5,3.0,alt,217.2,1865,63.5,324.6,0.0835,62.0,137.0,206.0,282.0,419.0,2.0,1.0,0,1,1,2
CHF_JPY,5,2.5,col,233.9,4979,217.9,1258.8,0.4595,110.0,172.0,226.0,288.0,390.0,2.69,1.0,0,1,1,2
