pair,tp,sl,n_rev,atr_mult,accel,is_pd,is_wr,is_n,wave_pct,tp_pct,wf1,wf2,wf3,wf_pass,oos_pd,oos_wr,oos_n,mc_p
EUR_JPY,20,5,3,0.5,False,-150.69,0.065,15728,0.984,0.001,-136.35,-157.19,-158.54,False,-148.97,0.044,6093,
EUR_JPY,20,5,3,0.5,True,-82.83,0.062,8627,0.986,0.001,-75.92,-85.98,-86.59,False,-84.46,0.04,3441,
EUR_JPY,20,5,3,1.0,False,-69.55,0.069,7263,0.981,0.002,-58.1,-71.45,-79.1,False,-66.47,0.048,2744,
EUR_JPY,20,5,3,1.0,True,-51.02,0.065,5284,0.983,0.001,-43.09,-52.89,-57.09,False,-49.88,0.042,2050,
EUR_JPY,20,5,3,2.0,False,-13.87,0.068,1434,0.971,0.003,-9.94,-14.38,-17.29,False,-12.63,0.067,539,
EUR_JPY,20,5,3,2.0,True,-12.49,0.064,1287,0.977,0.002,-8.93,-12.8,-15.75,False,-11.48,0.068,486,
EUR_JPY,20,10,1,0.0,False,-299.37,0.028,31531,0.999,0.0,-279.27,-306.99,-311.85,False,-302.34,0.016,12522,
EUR_JPY,20,10,1,0.0,True,-103.92,0.027,10897,1.0,0.0,-97.04,-106.92,-107.8,False,-106.55,0.015,4393,
EUR_JPY,20,10,1,0.5,False,-152.64,0.029,15971,0.999,0.0,-137.37,-159.0,-161.57,False,-149.44,0.018,6182,
EUR_JPY,20,10,1,0.5,True,-82.88,0.028,8687,0.999,0.0,-75.29,-85.93,-87.43,False,-83.98,0.016,3460,
EUR_JPY,20,10,1,1.0,False,-69.98,0.032,7307,0.998,0.001,-58.09,-71.84,-80.02,False,-66.2,0.023,2762,
EUR_JPY,20,10,1,1.0,True,-50.9,0.031,5302,0.999,0.0,-42.51,-52.76,-57.42,False,-49.25,0.021,2058,
EUR_JPY,20,10,1,2.0,False,-13.88,0.035,1438,0.995,0.002,-9.77,-14.45,-17.43,False,-12.66,0.037,539,
EUR_JPY,20,10,1,2.0,True,-12.47,0.033,1291,0.998,0.001,-8.54,-12.85,-16.03,False,-11.57,0.035,486,
EUR_JPY,20,10,2,0.0,False,-299.79,0.043,31340,0.999,0.0,-281.22,-306.55,-311.59,False,-303.91,0.026,12459,
EUR_JPY,20,10,2,0.0,True,-104.48,0.045,10881,0.999,0.0,-97.89,-107.14,-108.4,False,-107.74,0.024,4388,
EUR_JPY,20,10,2,0.5,False,-153.5,0.048,15911,0.999,0.001,-139.26,-158.88,-162.35,False,-151.68,0.029,6168,
EUR_JPY,20,10,2,0.5,True,-83.51,0.047,8674,0.999,0.001,-76.66,-85.94,-87.91,False,-84.99,0.026,3456,
EUR_JPY,20,10,2,1.0,False,-70.82,0.05,7295,0.998,0.001,-59.91,-71.76,-80.8,False,-67.32,0.033,2756,
EUR_JPY,20,10,2,1.0,True,-51.54,0.047,5297,0.999,0.001,-43.87,-52.75,-58.01,False,-49.83,0.03,2054,
EUR_JPY,20,10,2,2.0,False,-14.08,0.052,1437,0.994,0.003,-10.34,-14.3,-17.61,False,-12.84,0.046,539,
EUR_JPY,20,10,2,2.0,True,-12.64,0.049,1290,0.996,0.002,-9.18,-12.6,-16.15,False,-11.61,0.045,486,
EUR_JPY,20,10,3,0.0,False,-295.7,0.059,30717,0.999,0.001,-280.44,-302.3,-304.38,False,-298.25,0.04,12215,
EUR_JPY,20,10,3,0.0,True,-104.74,0.06,10817,0.999,0.001,-99.62,-107.48,-107.11,False,-107.48,0.039,4361,
EUR_JPY,20,10,3,0.5,False,-152.29,0.065,15728,0.998,0.001,-140.19,-157.65,-159.02,False,-149.85,0.044,6093,
EUR_JPY,20,10,3,0.5,True,-83.66,0.062,8627,0.998,0.001,-78.03,-86.17,-86.79,False,-84.96,0.04,3441,
EUR_JPY,20,10,3,1.0,False,-70.55,0.069,7263,0.997,0.002,-60.42,-71.71,-79.51,False,-67.18,0.048,2744,
EUR_JPY,20,10,3,1.0,True,-51.66,0.065,5284,0.998,0.001,-44.65,-53.05,-57.3,False,-50.31,0.042,2050,
EUR_JPY,20,10,3,2.0,False,-14.23,0.069,1434,0.992,0.003,-10.77,-14.53,-17.4,False,-13.0,0.067,539,
EUR_JPY,20,10,3,2.0,True,-12.75,0.065,1287,0.994,0.002,-9.52,-12.86,-15.87,False,-11.76,0.068,486,
EUR_JPY,30,0,1,0.0,False,-299.27,0.028,31530,1.0,0.0,-279.02,-307.06,-311.74,False,-302.04,0.016,12522,
EUR_JPY,30,0,1,0.0,True,-103.89,0.027,10897,1.0,0.0,-96.93,-106.92,-107.8,False,-106.39,0.015,4393,
EUR_JPY,30,0,1,0.5,False,-152.56,0.029,15971,1.0,0.0,-137.17,-159.06,-161.46,False,-149.14,0.018,6182,
EUR_JPY,30,0,1,0.5,True,-82.85,0.028,8687,1.0,0.0,-75.19,-85.93,-87.43,False,-83.82,0.016,3460,
EUR_JPY,30,0,1,1.0,False,-69.89,0.032,7307,1.0,0.0,-57.88,-71.87,-79.91,False,-65.99,0.023,2762,
EUR_JPY,30,0,1,1.0,True,-50.9,0.031,5302,1.0,0.0,-42.52,-52.76,-57.42,False,-49.09,0.021,2058,
EUR_JPY,30,0,1,2.0,False,-13.84,0.035,1438,0.999,0.001,-9.76,-14.45,-17.31,False,-12.53,0.037,539,
EUR_JPY,30,0,1,2.0,True,-12.49,0.033,1291,1.0,0.0,-8.61,-12.85,-16.03,False,-11.5,0.035,486,
EUR_JPY,30,0,2,0.0,False,-299.65,0.043,31339,1.0,0.0,-280.83,-306.65,-311.48,False,-303.6,0.026,12459,
EUR_JPY,30,0,2,0.0,True,-104.46,0.045,10881,1.0,0.0,-97.82,-107.16,-108.4,False,-107.57,0.024,4388,
EUR_JPY,30,0,2,0.5,False,-153.45,0.048,15911,1.0,0.0,-139.14,-158.97,-162.24,False,-151.36,0.029,6168,
EUR_JPY,30,0,2,0.5,True,-83.49,0.047,8674,1.0,0.0,-76.59,-85.96,-87.91,False,-84.81,0.026,3456,
EUR_JPY,30,0,2,1.0,False,-70.74,0.05,7295,1.0,0.0,-59.71,-71.83,-80.69,False,-67.09,0.033,2756,
EUR_JPY,30,0,2,1.0,True,-51.55,0.047,5297,1.0,0.0,-43.86,-52.77,-58.01,False,-49.65,0.03,2054,
EUR_JPY,30,0,2,2.0,False,-14.05,0.052,1437,0.999,0.001,-10.34,-14.32,-17.5,False,-12.7,0.046,539,
EUR_JPY,30,0,2,2.0,True,-12.66,0.049,1290,1.0,0.0,-9.21,-12.62,-16.15,False,-11.53,0.045,486,
EUR_JPY,30,0,3,0.0,False,-295.69,0.059,30716,1.0,0.0,-280.53,-302.38,-304.16,False,-298.03,0.04,12215,
EUR_JPY,30,0,3,0.0,True,-104.74,0.06,10817,1.0,0.0,-99.75,-107.36,-107.11,False,-107.27,0.039,4361,
EUR_JPY,30,0,3,0.5,False,-152.34,0.065,15728,1.0,0.0,-140.48,-157.73,-158.8,False,-149.51,0.044,6093,
EUR_JPY,30,0,3,0.5,True,-83.67,0.062,8627,1.0,0.0,-78.16,-86.06,-86.79,False,-84.74,0.04,3441,
EUR_JPY,30,0,3,1.0,False,-70.52,0.069,7263,0.999,0.001,-60.52,-71.77,-79.28,False,-66.81,0.048,2744,
EUR_JPY,30,0,3,1.0,True,-51.68,0.065,5284,1.0,0.0,-44.82,-52.93,-57.3,False,-49.98,0.042,2050,
EUR_JPY,30,0,3,2.0,False,-14.19,0.069,1434,0.997,0.003,-10.87,-14.42,-17.29,False,-12.71,0.067,539,
