be,ts,tg,ppd,wr,avg_mfe,avg_mae,cap,wf,pct_tp,pct_be,pct_trail,pct_timeout
5.0,5.0,5.0,-37.27838401564429,45.805898699525635,7.866994086499056,-5.824810249604873,-28.050788201654548,1,5.589469059122061,7.816713589791403,57.54352174716332,29.050295603923217
3.0,0.0,0.0,-38.23549683158371,19.470897202330747,7.710994814489163,-4.324743156244274,-28.084888212444614,1,12.661688737889339,64.5968545208701,0.0,22.741456741240565
3.0,12.0,7.0,-42.06618148281714,24.822206836809436,7.486971709164955,-4.316728127332107,-28.081356353867193,1,8.819495458813996,59.01418186475476,12.186803803666347,19.979518872764892
3.0,10.0,7.0,-42.913532930779304,27.818495830772164,7.3869578173159915,-4.3119905587241085,-28.078125828254095,1,8.205331506383233,55.394842605155795,17.071628292447816,19.328197596013155
3.0,8.0,7.0,-43.54706238397718,28.18559912896513,7.301330511729222,-4.308588945343406,-28.07519967301942,1,7.875155947826612,49.98172899860296,23.21856742265888,18.924547630911555
3.0,12.0,5.0,-43.75857259905868,24.85899402191393,7.32341496577277,-4.316401613579679,-28.076360383597375,1,6.414640098464717,59.00218294654617,15.136167975091217,19.44700897989789
3.0,5.0,7.0,-43.90561004641006,27.955443747256815,7.281649044376787,-4.3078391728460765,-28.075414967430692,1,7.8110070273269985,47.95724817956131,25.3614584975889,18.870286295522796
3.0,12.0,3.0,-44.062241468228265,24.89178393145091,7.093784939480029,-4.316304624001694,-28.064800866777652,1,3.812331364154027,58.98853456210615,18.1206693267199,19.078464747019922
3.0,5.0,3.0,-44.47485725628389,42.94524688696562,5.9302501082378996,-4.295339273924695,-27.98728772463799,1,2.491490380152806,31.987161357787173,48.92964769879374,16.591700563266286
3.0,10.0,5.0,-44.86093242053516,28.34586612229603,7.135902180484473,-4.3093692543956506,-28.06875421929321,0,5.524530432824759,55.32688425344661,20.567205778891847,18.581379534836792
3.0,10.0,3.0,-44.87536953617551,28.392151150835833,6.8030988188828445,-4.30787933617794,-28.050011473555635,0,3.101393129956305,55.3049914770358,23.47652906515406,18.11708632785384
3.0,8.0,3.0,-45.14145818007233,33.97808655447559,6.462291659747988,-4.3036841523895175,-28.029094100722272,1,2.7312303360143413,49.44191350648285,30.509752890065947,17.317103267436867
3.0,8.0,5.0,-45.470149673035415,33.15127430355922,6.931371231016191,-4.30529039093289,-28.058461233688902,0,4.966608288204865,49.515844032662855,27.625145392851408,17.892402286280873
3.0,5.0,5.0,-46.13437147627624,32.79739320610686,6.7405890349939295,-4.300103976793567,-28.04874234172442,0,4.649630530054394,36.42372129725324,41.492976659101245,17.433671513591126
