pair,direction,signal_idx,entry_idx,exit_idx,entry_ts,exit_ts,entry_fill,exit_fill,atr_e,gross_pips,spread_rt_pips,carry_pips,net_pips,exit_reason,arm
GBP_USD,-1,2452,2453,2462,2009-11-08 00:00:00+00:00,2009-11-17 00:00:00+00:00,1.66588,1.6750500000000001,0.01367051619971635,-91.70000000000122,2.9999999999996696,-0.957135263561644,-92.65713526356286,timecap,axis1_alone
AUD_USD,-1,2432,2433,2436,2009-11-15 00:00:00+00:00,2009-11-18 00:00:00+00:00,0.9337249999999999,0.9146702322791522,0.009589883860423797,190.54767720847687,2.5000000000002798,-1.2797568062622322,189.26792040221463,tp,axis1_alone
EUR_USD,1,2512,2513,2522,2009-12-20 00:00:00+00:00,2009-12-30 00:00:00+00:00,1.4313600000000002,1.43202,0.010605530213591799,6.599999999998829,5.899999999999794,0.38256860273972604,6.982568602738555,timecap,axis1_alone
AUD_USD,1,2467,2468,2477,2009-12-21 00:00:00+00:00,2009-12-31 00:00:00+00:00,0.8814299999999999,0.8972500000000001,0.010194585406289152,158.20000000000167,6.500000000000394,8.292998418786695,166.49299841878837,timecap,axis1_alone
USD_CAD,1,2470,2471,2480,2009-12-28 00:00:00+00:00,2010-01-07 00:00:00+00:00,1.0432000000000001,1.0293700000000001,0.008627427985943311,-138.3000000000001,7.500000000000284,-0.5944615359686883,-138.8944615359688,timecap,axis1_alone
USD_CHF,1,2508,2509,2518,2010-01-10 00:00:00+00:00,2010-01-19 00:00:00+00:00,1.02252,1.04385,0.008146262812789871,213.29999999999848,2.9999999999996696,0.03909168599671232,213.3390916859952,timecap,axis1_alone
GBP_USD,1,2541,2542,2551,2010-02-07 00:00:00+00:00,2010-02-16 00:00:00+00:00,1.559485,1.567065,0.012119895918354138,75.7999999999992,3.4999999999996145,1.0123489578082192,76.81234895780742,timecap,axis1_alone
GBP_USD,1,2562,2563,2572,2010-02-28 00:00:00+00:00,2010-03-09 00:00:00+00:00,1.515835,1.4975650000000003,0.011863914288562191,-182.69999999999786,3.4999999999985043,0.9399544065753423,-181.76004559342252,timecap,axis1_alone
AUD_USD,-1,2543,2544,2553,2010-03-12 00:00:00+00:00,2010-03-22 00:00:00+00:00,0.91479,0.918865,0.008055389458067904,-40.750000000000504,6.249999999999867,-5.786414589041094,-46.5364145890416,timecap,axis1_alone
NZD_USD,-1,2457,2458,2459,2010-05-03 00:00:00+00:00,2010-05-04 00:00:00+00:00,0.7305200000000001,0.7174073760177093,0.006681311991145428,131.1262398229074,5.0000000000005596,-0.42036961643835613,130.70587020646903,tp,axis1_alone
USD_JPY,-1,2630,2631,2633,2010-05-03 00:00:00+00:00,2010-05-05 00:00:00+00:00,94.529,93.2361065330722,0.6539467334638936,129.28934669277936,2.400000000000091,-0.10121357260273972,129.18813312017662,tp,axis1_alone
EUR_USD,-1,2689,2690,2697,2010-06-20 00:00:00+00:00,2010-06-28 00:00:00+00:00,1.2446899999999999,1.2208656847573378,0.011957157621331026,238.2431524266204,1.80000000000069,-0.1787410684931507,238.06441135812727,tp,axis1_alone
GBP_USD,-1,2685,2686,2693,2010-07-04 00:00:00+00:00,2010-07-11 00:00:00+00:00,1.520275,1.4955627249907892,0.01244363750460539,247.12275009210802,3.4999999999996145,-0.8003048767123289,246.3224452153957,tp,axis1_alone
