rebal_idx,entry_ts,exit_ts,pair,direction,side,gross_pips,spread_rt_pips,carry_pips,net_pips
4160,2023-07-13 17:00:00+00:00,2023-07-28 09:00:00+00:00,USD_JPY,1,long,189.50000000000102,1.650000000000773,26.965870472602745,214.815870472603
4160,2023-07-13 17:00:00+00:00,2023-07-28 09:00:00+00:00,EUR_GBP,1,long,8.099999999999774,1.50000000000039,-8.742978357534247,-2.1429783575348624
4160,2023-07-13 17:00:00+00:00,2023-07-28 09:00:00+00:00,CHF_JPY,1,long,37.60000000000048,3.2499999999998863,1.9949741121575313,36.34497411215812
4160,2023-07-13 17:00:00+00:00,2023-07-28 09:00:00+00:00,EUR_USD,-1,short,217.0000000000005,1.80000000000069,3.135808219178081,218.3358082191779
4160,2023-07-13 17:00:00+00:00,2023-07-28 09:00:00+00:00,EUR_JPY,-1,short,91.80000000000064,1.9000000000005457,-33.70953096575343,56.19046903424666
4160,2023-07-13 17:00:00+00:00,2023-07-28 09:00:00+00:00,NZD_USD,-1,short,234.6999999999999,1.5999999999999348,-2.9097703561643833,230.19022964383558
4224,2023-07-28 09:00:00+00:00,2023-08-14 01:00:00+00:00,EUR_GBP,1,long,75.30000000000037,1.5500000000001624,-8.742767734109586,65.00723226589061
4224,2023-07-28 09:00:00+00:00,2023-08-14 01:00:00+00:00,USD_JPY,1,long,496.09999999999843,1.650000000000773,28.62346468356165,523.0734646835593
4224,2023-07-28 09:00:00+00:00,2023-08-14 01:00:00+00:00,AUD_USD,1,long,-194.30000000000058,1.2499999999998623,-6.806425068493151,-202.3564250684936
4224,2023-07-28 09:00:00+00:00,2023-08-14 01:00:00+00:00,GBP_JPY,-1,short,-352.000000000001,3.5500000000013188,-54.33093554013699,-409.8809355401393
4224,2023-07-28 09:00:00+00:00,2023-08-14 01:00:00+00:00,EUR_JPY,-1,short,-439.30000000000007,2.050000000001262,-35.35270864520548,-476.7027086452068
4224,2023-07-28 09:00:00+00:00,2023-08-14 01:00:00+00:00,NZD_JPY,-1,short,-19.599999999999795,2.1999999999998465,-24.39290282876712,-46.19290282876676
4288,2023-08-14 01:00:00+00:00,2023-08-28 17:00:00+00:00,NZD_JPY,1,long,21.399999999999864,2.499999999999858,14.962519849315065,33.86251984931507
4288,2023-08-14 01:00:00+00:00,2023-08-28 17:00:00+00:00,GBP_JPY,1,long,104.80000000000018,3.8000000000010914,33.41345605835616,134.41345605835525
4288,2023-08-14 01:00:00+00:00,2023-08-28 17:00:00+00:00,AUD_JPY,1,long,45.49999999999983,2.1500000000003183,12.503416589041091,55.853416589040606
4288,2023-08-14 01:00:00+00:00,2023-08-28 17:00:00+00:00,EUR_GBP,-1,short,45.399999999999885,1.7000000000000348,1.0854595202739705,44.78545952027382
4288,2023-08-14 01:00:00+00:00,2023-08-28 17:00:00+00:00,EUR_USD,-1,short,116.69999999999847,1.4999999999998348,2.853585479452056,118.05358547945069
4288,2023-08-14 01:00:00+00:00,2023-08-28 17:00:00+00:00,USD_JPY,-1,short,-162.39999999999952,1.8000000000014893,-39.47062980000001,-203.67062980000102
