pair,arm,direction,signal_ts,entry_ts,entry_px,exit_ts,exit_px,exit_reason,atr_e,gross_pips,spread_rt_pips,carry_pips,net_pips,hours_held,touches,vrel,net_base,net_spread1p5,net_carry2p0
NZD_JPY,continuation,1,2022-10-12 17:00:00+00:00,2022-10-12 21:00:00+00:00,82.276,2022-10-13 13:20:00+00:00,81.24309749629401,sl,0.5164512518529946,-103.29025037059836,17.549999999999955,0.0,-120.84025037059831,16.333333333333332,1,0.927295543076718,-120.84025037059831,-129.6152503705983,-120.84025037059831
NZD_JPY,continuation,1,2022-10-30 21:00:00+00:00,2022-10-31 01:00:00+00:00,86.076,2022-11-02 01:00:00+00:00,86.068,timecap,0.4714959162520271,-0.7999999999995566,2.099999999999369,3.51009260958904,0.6100926095901142,48.0,1,0.6738666298536873,0.6100926095901142,-0.4399073904095703,-1.2673752328756396
NZD_JPY,continuation,1,2022-11-07 18:00:00+00:00,2022-11-07 22:00:00+00:00,87.102,2022-11-09 09:45:00+00:00,86.26188213875427,sl,0.42005893062286725,-84.011786124573,5.299999999999727,2.860131726027396,-86.45165439854534,35.75,1,0.4506135075129482,-86.45165439854534,-89.10165439854521,-87.95362867251794
NZD_JPY,continuation,1,2022-11-21 06:00:00+00:00,2022-11-21 10:00:00+00:00,86.636,2022-11-23 07:45:00+00:00,87.42248524881018,tp,0.39324262440509167,78.64852488101803,1.950000000000074,3.575164657534245,80.2736895385522,45.75,1,1.0693399232911025,80.2736895385522,79.29868953855217,78.39622169608646
NZD_JPY,continuation,-1,2022-12-21 06:00:00+00:00,2022-12-21 10:00:00+00:00,82.881,2022-12-23 10:00:00+00:00,83.36,timecap,0.615189044814062,-47.89999999999992,2.1000000000000796,-1.3462571164383559,-51.34625711643836,48.0,1,1.0881000937214398,-51.34625711643836,-52.3962571164384,-51.52780053424657
NZD_JPY,continuation,1,2023-01-06 02:00:00+00:00,2023-01-06 06:00:00+00:00,83.574,2023-01-09 09:15:00+00:00,84.60274296312978,tp,0.5143714815648965,102.87429631297869,1.9499999999993634,0.8474558150684928,101.77175212804781,75.25,1,0.7075823292229858,101.77175212804781,100.79675212804813,101.39625855955467
NZD_JPY,continuation,-1,2023-02-03 18:00:00+00:00,2023-02-05 22:00:00+00:00,83.526,2023-02-07 15:45:00+00:00,82.72973011695036,tp,0.3981349415248182,79.62698830496322,10.650000000000404,-1.454879328767123,67.5221089761957,41.75,1,0.43008494046290585,67.5221089761957,62.197108976195494,67.34056555838747
NZD_JPY,continuation,1,2023-03-14 13:00:00+00:00,2023-03-14 17:00:00+00:00,83.666,2023-03-15 10:50:00+00:00,82.68267102556311,sl,0.4916644872184465,-98.3328974436887,2.0000000000003126,3.73113501369863,-96.60176242999037,17.833333333333332,1,1.087673808455862,-96.60176242999037,-97.60176242999053,-98.10373670396298
NZD_JPY,continuation,1,2023-03-29 09:00:00+00:00,2023-03-29 13:00:00+00:00,82.534,2023-03-30 23:45:00+00:00,83.36470037853441,tp,0.41535018926720046,83.07003785344023,2.0000000000003126,0.9327837534246575,82.00282160686457,34.75,1,1.0583837898096133,82.00282160686457,81.00282160686442,81.62732803837142
NZD_JPY,continuation,1,2023-10-09 21:00:00+00:00,2023-10-10 01:00:00+00:00,89.546,2023-10-12 01:00:00+00:00,89.766,timecap,0.34073676945424636,21.999999999999886,2.2999999999996135,5.338693116438354,25.038693116438626,48.0,1,0.6179500808005971,25.038693116438626,23.88869311643882,23.161225273972875
NZD_JPY,continuation,-1,2023-10-12 17:00:00+00:00,2023-10-12 21:00:00+00:00,88.873,2023-10-13 10:30:00+00:00,88.30831110813784,tp,0.28234444593108127,56.46888918621613,11.200000000000188,0.0,45.268889186215944,13.5,1,0.8056398919691385,45.268889186215944,39.66888918621585,45.268889186215944
NZD_JPY,continuation,1,2024-01-04 02:00:00+00:00,2024-01-04 06:00:00+00:00,90.035,2024-01-08 06:00:00+00:00,90.037,timecap,0.3380973386689516,0.20000000000095497,2.4500000000003297,1.0560914863013695,-1.1939085136980052,96.0,1,0.6626632627397477,-1.1939085136980052,-2.4189085136981703,-1.5694020821911558
NZD_JPY,continuation,1,2024-02-16 06:00:00+00:00,2024-02-16 10:00:00+00:00,91.814,2024-02-19 17:05:00+00:00,92.28040949533751,tp,0.23320474766875607,46.64094953375155,2.7000000000001023,1.0717898013698626,45.01273933512131,79.08333333333333,1,0.9060134584181004,45.01273933512131,43.66273933512126,44.63724576662816
NZD_JPY,continuation,-1,2024-04-14 21:00:00+00:00,2024-04-15 01:00:00+00:00,91.081,2024-04-17 01:00:00+00:00,91.258,timecap,0.3173876790952257,-17.69999999999925,2.3999999999993804,-7.937777054794517,-28.037777054793146,48.0,1,0.615810203220941,-28.037777054793146,-29.237777054792836,-28.945494143834246
NZD_JPY,continuation,-1,2024-07-15 05:00:00+00:00,2024-07-15 09:00:00+00:00,96.264,2024-07-17 07:25:00+00:00,95.53385221869507,tp,0.3650738906524591,73.01477813049218,2.6499999999998636,-7.835231609589041,62.52954652090327,46.416666666666664,1,0.8064656128540705,62.52954652090327,61.204546520903335,61.621829431862174
NZD_JPY,continuation,-1,2024-08-01 21:00:00+00:00,2024-08-02 01:00:00+00:00,88.694,2024-08-02 15:25:00+00:00,87.4457727753878,tp,0.624113612306107,124.82272246122079,2.850000000000108,0.0,121.97272246122068,14.416666666666666,1,0.6198351580547179,121.97272246122068,120.54772246122063,121.97272246122068
NZD_JPY,continuation,1,2024-08-13 05:00:00+00:00,2024-08-13 09:00:00+00:00,89.279,2024-08-14 02:35:00+00:00,88.13963263759085,sl,0.5696836812045705,-113.93673624091463,2.449999999999619,3.635932328767122,-112.75080391214712,17.583333333333332,1,0.4840608691792999,-112.75080391214712,-113.97580391214693,-114.25277818611973
NZD_JPY,continuation,1,2024-08-18 21:00:00+00:00,2024-08-19 01:00:00+00:00,89.526,2024-08-19 05:30:00+00:00,88.6327516359926,sl,0.44662418200369447,-89.32483640073912,3.049999999999642,0.0,-92.37483640073876,4.5,1,0.5124874831887178,-92.37483640073876,-93.89983640073858,-92.37483640073876
NZD_JPY,continuation,1,2024-08-27 05:00:00+00:00,2024-08-27 09:00:00+00:00,90.201,2024-08-29 01:45:00+00:00,90.93880798550484,tp,0.3689039927524231,73.7807985504844,2.499999999999858,4.544915410958902,75.82571396144345,40.75,1,1.011566471512209,75.82571396144345,74.57571396144353,73.94824611897769
NZD_JPY,continuation,1,2024-09-02 05:00:00+00:00,2024-09-02 09:00:00+00:00,91.433,2024-09-03 04:10:00+00:00,90.69681492447371,sl,0.36809253776314854,-73.61850755262935,2.549999999999386,0.8456834246575339,-75.3228241279712,19.166666666666668,1,1.086510828401837,-75.3228241279712,-76.5978241279709,-75.69831769646436
NZD_JPY,continuation,-1,2024-09-16 05:00:00+00:00,2024-09-16 09:00:00+00:00,86.568,2024-09-16 23:15:00+00:00,87.37732093297245,sl,0.4046604664862264,-80.93209329724544,2.5500000000000966,-1.4027204109589035,-84.88481370820445,14.25,1,0.8370626426032374,-84.88481370820445,-86.1598137082045,-85.06635712601266
