pair,res,lag_fast_base,lag_slow_base,fast_lags,slow_lags,atr_mult,accel,tp,sl,is_pd,is_wr,is_n,wf1,wf2,wf3,wf_pass,oos_pd,oos_wr,oos_n,mc_p
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",0.0,True,5,2,-104.62,0.263,39607,-107.98,-104.04,-101.87,False,-105.24,0.246,15198,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",0.5,True,5,2,-99.37,0.259,36793,-101.12,-98.47,-98.55,False,-99.32,0.242,14135,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",1.0,True,5,2,-85.58,0.257,30924,-82.27,-86.08,-88.41,False,-87.25,0.24,12209,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",2.0,True,5,2,-38.39,0.251,13474,-31.29,-38.41,-45.47,False,-46.32,0.221,5980,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",0.0,True,5,3,-99.13,0.334,35582,-100.21,-99.13,-98.02,False,-99.82,0.304,13724,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",0.5,True,5,3,-95.45,0.33,33324,-96.59,-94.86,-94.88,False,-95.27,0.301,12843,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",1.0,True,5,3,-83.32,0.33,28531,-80.06,-84.88,-85.0,False,-85.63,0.297,11239,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",2.0,True,5,3,-38.94,0.321,13015,-31.87,-38.6,-46.34,False,-46.71,0.281,5711,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",0.0,True,5,5,-97.24,0.371,32832,-95.59,-96.63,-99.49,False,-98.01,0.329,12973,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",0.5,True,5,5,-93.79,0.368,30872,-91.35,-94.64,-95.36,False,-94.34,0.325,12174,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",1.0,True,5,5,-82.03,0.367,26841,-75.83,-85.72,-84.52,False,-86.31,0.32,10733,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",2.0,True,5,5,-39.52,0.356,12629,-31.29,-40.15,-47.12,False,-47.31,0.305,5565,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",0.0,True,10,1,-118.0,0.092,48874,-116.5,-117.98,-119.51,False,-112.28,0.089,18906,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",0.5,True,10,1,-106.59,0.091,44071,-103.59,-107.03,-109.17,False,-102.11,0.088,17062,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",1.0,True,10,1,-86.31,0.089,35479,-78.55,-88.13,-92.25,False,-85.02,0.086,14131,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",2.0,True,10,1,-34.64,0.086,14374,-26.15,-35.05,-42.73,False,-39.05,0.08,6429,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",0.0,True,10,2,-104.6,0.257,39348,-108.61,-103.38,-101.83,False,-105.1,0.242,15136,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",0.5,True,10,2,-99.43,0.254,36575,-101.96,-97.56,-98.8,False,-99.18,0.239,14083,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",1.0,True,10,2,-85.48,0.252,30776,-82.85,-85.3,-88.3,False,-87.07,0.237,12165,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",2.0,True,10,2,-37.72,0.246,13429,-30.07,-37.75,-45.36,False,-45.78,0.217,5959,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",0.0,True,10,3,-98.87,0.328,35312,-100.53,-97.74,-98.31,False,-99.86,0.3,13652,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",0.5,True,10,3,-95.39,0.324,33087,-96.99,-93.96,-95.19,False,-95.08,0.297,12780,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",1.0,True,10,3,-83.4,0.324,28370,-81.03,-84.17,-84.98,False,-84.98,0.294,11185,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",2.0,True,10,3,-38.26,0.315,12960,-30.36,-38.21,-46.22,False,-46.07,0.275,5688,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",0.0,True,10,5,-96.65,0.364,32606,-95.47,-95.04,-99.43,False,-97.78,0.324,12908,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",0.5,True,10,5,-93.3,0.361,30669,-91.52,-93.12,-95.24,False,-94.15,0.32,12119,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",1.0,True,10,5,-81.36,0.361,26699,-75.93,-83.92,-84.21,False,-85.85,0.316,10689,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",2.0,True,10,5,-38.54,0.35,12577,-29.47,-39.34,-46.82,False,-46.73,0.298,5544,
USD_JPY,s5,1,12,"[1,2,3]","[12,24,36]",0.0,False,2,1,0.0,0.0,0,0.0,0.0,0.0,False,0.0,0.0,0,
USD_JPY,s5,1,12,"[1,2,3]","[12,24,36]",0.5,False,2,1,0.0,0.0,0,0.0,0.0,0.0,False,0.0,0.0,0,
USD_JPY,s5,1,12,"[1,2,3]","[12,24,36]",1.0,False,2,1,0.0,0.0,0,0.0,0.0,0.0,False,0.0,0.0,0,
