pair,sig_tf,hold,d,is_n,is_wr,is_ppd,oos_n,oos_wr,oos_ppd,oos_dd
USD_JPY,3,128,trd,2201,47.25124943207633,-4.218962842944838,944,50.21186440677966,2.1041969432666074,-1421.1999999999991
EUR_JPY,48,512,trd,554,51.08303249097473,-0.430709649374001,238,53.78151260504202,2.0524944837862473,-1827.0000000000066
NZD_USD,1,3072,ctr,93,51.61290322580645,1.2948177713670348,40,57.49999999999999,2.041315573628417,-279.4000000000018
GBP_JPY,3,512,trd,554,51.624548736462096,4.439247176913405,238,48.739495798319325,2.018026177466136,-3365.699999999961
CAD_JPY,1,256,ctr,1105,46.78733031674208,-1.9758867406316598,474,48.10126582278481,1.9826262952995202,-1745.49999999999
EUR_USD,48,3072,ctr,93,50.53763440860215,-0.5281048024580133,40,62.5,1.9367461848595895,-751.0999999999958
AUD_JPY,12,3072,ctr,93,60.215053763440864,1.5726628399806633,40,55.00000000000001,1.8012018991948016,-516.5000000000007
USD_JPY,1,512,ctr,554,46.57039711191336,-3.7900457424001943,238,48.319327731092436,1.795845338077347,-1828.6000000000229
EUR_GBP,48,3072,ctr,93,37.634408602150536,-1.2409417204280053,40,57.49999999999999,1.661232628259177,-239.50000000000244
AUD_USD,3,512,ctr,554,46.20938628158845,-1.9209152431854972,238,52.10084033613446,1.5878710303479768,-443.49999999999994
GBP_JPY,48,256,ctr,1105,47.23981900452488,-6.201322676572677,474,51.0548523206751,1.5711026651108024,-2218.5999999999976
EUR_GBP,12,3072,ctr,93,48.38709677419355,0.3512399845878542,40,55.00000000000001,1.5415251319847831,-220.2000000000004
EUR_JPY,1,512,ctr,554,45.30685920577617,-6.007030300635139,238,50.84033613445378,1.496576597391446,-1193.6999999999898
AUD_USD,12,3072,ctr,93,58.06451612903226,0.5948274533437523,40,55.00000000000001,1.4886582026963064,-408.3999999999976
AUD_JPY,48,512,trd,554,50.90252707581227,1.7914533832581432,238,53.36134453781513,1.475616140845399,-1049.0000000000093
CAD_JPY,12,3072,trd,93,46.236559139784944,-1.914442150189195,40,52.5,1.4502306990284708,-676.5999999999992
AUD_USD,48,3072,ctr,93,53.76344086021505,0.586163467333223,40,55.00000000000001,1.3913085267377645,-412.5999999999985
EUR_JPY,3,3072,ctr,93,46.236559139784944,-0.7461982434128357,40,52.5,1.2813825768515041,-1389.9999999999977
AUD_USD,3,256,ctr,1105,49.59276018099548,-0.6960068761791636,474,52.95358649789029,1.2788207432738952,-896.7999999999931
AUD_USD,1,512,ctr,554,51.80505415162455,1.8766990387180962,238,50.42016806722689,1.2741628640413174,-650.9999999999875
CAD_JPY,3,3072,ctr,93,54.83870967741935,0.9346150426303567,40,57.49999999999999,1.2012670540531312,-946.0999999999999
EUR_USD,48,128,ctr,2201,47.79645615629259,-2.6257852774674832,944,49.25847457627119,1.1975407506670928,-895.1000000000107
NZD_JPY,12,3072,ctr,93,51.61290322580645,-0.6644380995662724,40,57.49999999999999,1.1963762808590475,-420.90000000000197
USD_JPY,48,256,ctr,1105,49.95475113122172,0.22217646884465025,474,51.26582278481012,1.1800737035453501,-2001.300000000026
CHF_JPY,12,3072,trd,93,49.46236559139785,-1.45714302650689,40,57.49999999999999,1.0021427168651529,-2165.7000000000066
AUD_USD,12,512,trd,554,46.931407942238266,-0.9396939309812068,238,50.84033613445378,0.971400713930985,-842.2999999999869
GBP_USD,12,3072,trd,93,52.68817204301075,-0.32086624052794505,40,47.5,0.951371833231243,-791.8999999999987
NZD_USD,48,3072,ctr,93,54.83870967741935,-0.6843553087859154,40,50.0,0.8339932765731012,-601.1000000000054
NZD_JPY,3,512,trd,554,52.34657039711191,0.7172187039982569,238,48.739495798319325,0.8100051985259512,-769.9999999999959
EUR_GBP,3,3072,trd,93,48.38709677419355,-0.8058502850255487,40,57.49999999999999,0.7485211926573748,-227.39999999999873
EUR_JPY,48,3072,trd,93,47.31182795698925,-2.08831938667642,40,40.0,0.7387396462692236,-2060.000000000005
