id,strategy,pair,account_id,trade_id,direction,entry_price,exit_price,entry_time,exit_time,pnl_pips,exit_reason,hours_held,units,mfe_pips,mae_pips,capture_ratio,amddp1,pnl_over_mae,is_paper,label
134,pnl_mae_a,USD_JPY,001-001-${OANDA_CUSTOMER_ID}-012,391,1,158.399,158.8,2026-04-01 06:31:16.850801,2026-04-01 08:02:27.613602,40.1,S5_TRAIL_TP,1.52,21,47.4,14.4,0.85,,,false,""
135,perpair_a,USD_JPY,001-001-${OANDA_CUSTOMER_ID}-011,251,1,158.399,158.801,2026-04-01 06:31:16.840835,2026-04-01 08:02:27.701895,40.2,S5_TRAIL_TP,1.52,25,47.4,14.4,0.85,,,false,""
136,ensemble_short,NZD_JPY,001-001-${OANDA_CUSTOMER_ID}-004,1653,-1,91.239,91.375,2026-04-01 06:28:31.517141,2026-04-01 08:07:59.899742,-13.6,S5_SOFT_STOP,1.66,8,9.5,15.4,-1.43,,,false,""
137,wf_pnlmae,GBP_JPY,001-001-${OANDA_CUSTOMER_ID}-013,682,1,210.683,210.554,2026-04-01 08:03:20.580464,2026-04-01 08:09:42.12665,-12.9,S5_SOFT_STOP,0.11,14,2.1,15.0,-6.14,,,false,""
139,range_neat,GBP_JPY,001-001-${OANDA_CUSTOMER_ID}-007,2892,1,210.683,210.554,2026-04-01 08:03:20.583418,2026-04-01 08:09:42.14734,-12.9,S5_SOFT_STOP,0.11,15,2.1,15.0,-6.14,,,false,""
138,pnl_mae_a,GBP_JPY,001-001-${OANDA_CUSTOMER_ID}-012,475,1,210.683,210.554,2026-04-01 08:03:20.605522,2026-04-01 08:09:42.170679,-12.9,S5_SOFT_STOP,0.11,14,2.1,15.0,-6.14,,,false,""
140,asi_mc_008,GBP_JPY,001-001-${OANDA_CUSTOMER_ID}-008,1215,1,210.683,210.554,2026-04-01 08:03:20.592382,2026-04-01 08:09:42.194048,-12.9,S5_SOFT_STOP,0.11,13,2.1,15.0,-6.14,,,false,""
141,ensemble_short,EUR_USD,001-001-${OANDA_CUSTOMER_ID}-004,1725,-1,1.15945,1.16088,2026-04-01 08:25:39.657923,2026-04-01 08:32:57.096899,-14.3,S5_SOFT_STOP,0.12,26,0.1,15.1,-143.0,,,false,""
142,ensemble_long,USD_JPY,001-001-${OANDA_CUSTOMER_ID}-005,669,1,158.655,158.513,2026-04-01 08:22:47.12541,2026-04-01 08:34:32.948998,-14.2,S5_SOFT_STOP,0.2,35,1.5,15.1,-9.47,,,false,""
144,pnl_mae_a,USD_JPY,001-001-${OANDA_CUSTOMER_ID}-012,487,1,158.655,158.513,2026-04-01 08:22:47.126155,2026-04-01 08:34:32.966853,-14.2,S5_SOFT_STOP,0.2,22,1.5,15.1,-9.47,,,false,""
145,perpair_a,USD_JPY,001-001-${OANDA_CUSTOMER_ID}-011,295,1,158.655,158.513,2026-04-01 08:22:47.113981,2026-04-01 08:34:32.97836,-14.2,S5_SOFT_STOP,0.2,31,1.5,15.1,-9.47,,,false,""
143,asi_mc_008,USD_JPY,001-001-${OANDA_CUSTOMER_ID}-008,1235,1,158.655,158.513,2026-04-01 08:22:47.103121,2026-04-01 08:34:33.001042,-14.2,S5_SOFT_STOP,0.2,29,1.5,15.1,-9.47,,,false,""
