pair,dir,entry_bar,exit_bar,bars,hours,pips,reason,mfe,mae
AUD_USD,-1,382,390,8,0.6666666666666666,20.0,TP,15.600000000000058,0.0
AUD_USD,-1,391,853,462,38.5,20.0,TP,17.09999999999989,-34.19999999999978
AUD_USD,-1,880,51839,50959,4246.583333333333,-602.8999999999995,end,11.900000000000244,-750.9999999999994
EUR_GBP,-1,376,401,25,2.0833333333333335,20.0,TP,18.200000000000436,0.0
EUR_GBP,-1,418,3415,2997,249.75,20.0,TP,17.199999999999438,-120.2000000000003
EUR_GBP,-1,3416,51839,48423,4035.25,-110.40000000000049,end,0.0,-262.6000000000006
NZD_USD,-1,374,395,21,1.75,20.0,TP,17.09999999999989,-3.8000000000004697
NZD_USD,-1,396,767,371,30.916666666666668,20.0,TP,15.199999999999658,-37.00000000000036
NZD_USD,-1,768,4510,3742,311.8333333333333,20.0,TP,15.800000000000258,-117.80000000000013
NZD_USD,-1,4511,4514,3,0.25,20.0,TP,16.200000000000657,0.0
NZD_USD,-1,4515,4957,442,36.833333333333336,20.0,TP,16.800000000000146,-5.600000000000049
NZD_USD,-1,5003,12122,7119,593.25,20.0,TP,17.09999999999989,-176.89999999999984
NZD_USD,-1,12141,14576,2435,202.91666666666666,20.0,TP,17.399999999999636,-70.00000000000006
NZD_USD,-1,14577,15325,748,62.333333333333336,20.0,TP,16.200000000000657,-56.89999999999973
NZD_USD,-1,15345,15780,435,36.25,20.0,TP,17.800000000000036,-23.100000000000342
NZD_USD,-1,15781,20094,4313,359.4166666666667,20.0,TP,18.200000000000436,-99.19999999999928
NZD_USD,-1,20095,20144,49,4.083333333333333,20.0,TP,17.800000000000036,-5.600000000000049
NZD_USD,-1,20145,20286,141,11.75,20.0,TP,17.000000000000348,-5.999999999999339
NZD_USD,-1,20287,20938,651,54.25,20.0,TP,18.399999999999526,-31.10000000000057
NZD_USD,-1,20939,23400,2461,205.08333333333334,20.0,TP,16.399999999999746,-73.40000000000013
NZD_USD,-1,23401,51839,28438,2369.8333333333335,-235.00000000000074,end,13.199999999999878,-493.7000000000002
