pair,S_bars,T_s_bars,W_pips,is_net,oos_net,oos_dd,oos_trades,oos_tp,oos_stag,oos_scratch,oos_end
GBP_USD,24,96.0,15.0,15.379999999977557,291.52000000000317,-241.6399999999993,177,84,78,14,1
GBP_USD,48,,,277.3599999999967,410.6199999999978,-180.36000000000251,117,74,43,0,0
GBP_USD,48,288.0,10.0,248.99999999999162,592.7399999999964,-225.50000000000017,154,94,52,8,0
GBP_USD,48,288.0,5.0,292.2599999999977,488.2999999999909,-180.36000000000251,120,74,40,6,0
GBP_USD,48,96.0,15.0,157.89999999998759,506.4000000000013,-225.50000000000017,170,97,57,16,0
GBP_USD,72,,,-166.85999999999487,223.89999999999262,-291.10000000000355,140,95,44,0,1
GBP_USD,72,288.0,10.0,-140.5199999999956,511.0599999999937,-275.7399999999981,141,95,39,6,1
GBP_USD,72,288.0,5.0,-137.81999999999567,300.21999999999235,-275.7399999999981,147,96,44,6,1
GBP_USD,72,96.0,15.0,357.57999999999845,304.2399999999999,-275.7399999999981,149,90,35,23,1
GBP_USD,144,,,603.2799999999922,437.81999999999175,-429.8200000000007,167,127,39,0,1
GBP_USD,144,288.0,10.0,524.0599999999915,420.91999999999337,-429.82000000000033,157,117,36,3,1
GBP_USD,144,288.0,5.0,600.4199999999896,534.5999999999902,-429.8200000000013,170,128,39,2,1
GBP_USD,144,96.0,15.0,451.89999999999685,484.0199999999993,-177.279999999999,142,87,15,39,1
GBP_USD,288,,,759.8400000000007,174.35999999999592,-515.8399999999986,131,105,25,0,1
GBP_USD,288,288.0,10.0,368.98000000000366,87.90000000000111,-521.2199999999975,120,92,20,7,1
GBP_USD,288,288.0,5.0,628.3199999999957,144.2399999999979,-515.8399999999986,134,104,24,5,1
GBP_USD,288,96.0,15.0,572.1199999999968,253.31999999999834,-363.1800000000038,147,91,12,43,1
CAD_JPY,12,,,-477.819999999992,132.78000000000708,-105.65999999999968,117,42,74,0,1
CAD_JPY,12,288.0,10.0,-595.6800000000021,110.88000000000761,-107.21999999999969,122,43,74,4,1
CAD_JPY,12,288.0,5.0,-509.4999999999913,119.16000000000668,-105.65999999999968,119,42,73,3,1
CAD_JPY,12,96.0,15.0,-630.0600000000036,-150.8399999999925,-243.93999999999414,99,34,57,7,1
CAD_JPY,24,,,-241.9999999999977,35.32000000000235,-98.8599999999999,53,24,28,0,1
CAD_JPY,24,288.0,10.0,-335.7999999999951,-22.99999999999774,-100.4199999999999,55,22,27,5,1
CAD_JPY,24,288.0,5.0,-248.95999999999788,-4.8399999999980565,-102.17999999999827,54,22,27,4,1
CAD_JPY,24,96.0,15.0,132.5799999999973,-6.539999999998997,-167.5999999999999,109,43,54,11,1
CAD_JPY,48,,,-535.9199999999994,-140.8800000000025,-269.2200000000004,53,26,26,0,1
CAD_JPY,48,288.0,10.0,-474.16000000000633,-140.4200000000032,-269.2200000000004,52,25,23,3,1
CAD_JPY,48,288.0,5.0,-512.9399999999986,-148.96000000000282,-269.2200000000004,51,24,23,3,1
