pair,reason,bars,pips,mfe,mae,mfe_30m,mfe_60m,mfe_120m,mfe_240m,mfe_480m,mfe_720m,mfe_1440m
USD_JPY,TP,205,20.0,22.699999999997544,-52.00000000000102,0.0,0.0,2.7999999999991587,2.7999999999991587,2.7999999999991587,10.599999999999454,
USD_JPY,TP,9,20.0,20.39999999999793,0.0,13.49999999999909,,,,,,
USD_JPY,TP,188,20.0,26.700000000002433,-46.699999999998454,5.300000000002569,5.300000000002569,5.300000000002569,5.300000000002569,5.300000000002569,5.300000000002569,
USD_JPY,TP,4,20.0,21.89999999999941,0.0,,,,,,,
USD_JPY,TP,43,20.0,20.39999999999793,-20.300000000000296,3.7999999999982492,3.7999999999982492,3.7999999999982492,,,,
USD_JPY,TP,4,20.0,25.29999999999859,0.0,,,,,,,
USD_JPY,TP,47,20.0,23.599999999999,-22.100000000000364,1.2000000000000455,1.2000000000000455,2.2999999999996135,,,,
USD_JPY,TP,27,20.0,24.200000000001864,-6.799999999998363,5.000000000001137,14.300000000000068,14.300000000000068,,,,
USD_JPY,TP,51,20.0,22.100000000000364,-19.599999999999795,11.000000000001364,11.000000000001364,11.000000000001364,13.599999999999568,,,
USD_JPY,TP,39,20.0,20.400000000000773,-2.6999999999986812,18.700000000001182,18.80000000000166,18.80000000000166,,,,
USD_JPY,TP,19,20.0,21.699999999998454,-4.699999999999704,6.700000000000728,12.199999999998568,,,,,
USD_JPY,TP,81,20.0,20.49999999999841,-56.89999999999884,10.300000000000864,10.300000000000864,10.300000000000864,10.300000000000864,,,
USD_JPY,TP,2,20.0,25.200000000000955,-20.400000000000773,,,,,,,
USD_JPY,TP,18,20.0,22.59999999999991,-15.899999999999181,18.000000000000682,18.000000000000682,,,,,
USD_JPY,TP,9780,20.0,20.50000000000125,-350.6,4.600000000002069,4.600000000002069,4.600000000002069,4.600000000002069,4.600000000002069,4.600000000002069,4.600000000002069
USD_JPY,TP,4,20.0,21.79999999999893,-15.100000000001046,,,,,,,
USD_JPY,TP,408,20.0,20.79999999999984,-63.900000000001,0.0,0.0,0.0,0.0,0.6000000000000227,5.400000000000205,5.400000000000205
USD_JPY,TP,12,20.0,21.60000000000082,-2.1000000000015007,14.599999999998658,21.60000000000082,,,,,
USD_JPY,TP,7,20.0,20.199999999999818,0.0,15.799999999998704,,,,,,
USD_JPY,TP,38,20.0,21.50000000000034,-9.700000000000841,4.699999999999704,13.700000000000045,19.700000000000273,,,,
USD_JPY,TP,117,20.0,21.79999999999893,-35.09999999999991,3.0000000000001137,3.0000000000001137,5.60000000000116,11.600000000001387,11.600000000001387,,
USD_JPY,TP,106,20.0,22.999999999998977,-16.100000000000136,4.4999999999987494,4.4999999999987494,4.4999999999987494,4.4999999999987494,14.999999999997726,,
USD_JPY,TP,12146,20.0,31.800000000001205,-727.7999999999992,8.600000000001273,8.600000000001273,8.600000000001273,8.600000000001273,8.600000000001273,8.600000000001273,8.600000000001273
USD_JPY,TP,108,20.0,20.09999999999934,-44.29999999999836,8.29999999999984,8.29999999999984,8.29999999999984,8.29999999999984,15.300000000002001,,
USD_JPY,TP,885,20.0,20.09999999999934,-101.60000000000196,5.599999999998317,9.199999999998454,9.999999999999432,17.199999999999704,17.199999999999704,17.199999999999704,17.199999999999704
USD_JPY,TP,1974,20.0,39.19999999999959,-227.20000000000198,6.000000000000227,11.499999999998067,12.199999999998568,12.199999999998568,12.199999999998568,12.199999999998568,12.199999999998568
USD_JPY,TP,17,20.0,22.399999999998954,-9.799999999998477,3.300000000001546,3.300000000001546,,,,,
USD_JPY,end,2509,-132.59999999999934,8.00000000000125,-249.5999999999981,1.4000000000010004,1.4000000000010004,1.4000000000010004,1.4000000000010004,8.00000000000125,8.00000000000125,8.00000000000125
EUR_JPY,TP,23,20.0,10.400000000001342,0.0,5.60000000000116,10.400000000001342,,,,,
EUR_JPY,TP,9,20.0,9.200000000001296,0.0,4.200000000000159,,,,,,
EUR_JPY,TP,83,20.0,15.799999999998704,-10.500000000001819,1.799999999997226,1.799999999997226,8.799999999999386,15.799999999998704,,,
EUR_JPY,TP,3,20.0,15.999999999999659,0.0,,,,,,,
EUR_JPY,TP,8,20.0,8.400000000000318,0.0,6.30000000000166,,,,,,
EUR_JPY,TP,1,20.0,19.200000000000728,0.0,,,,,,,
EUR_JPY,end,51329,-1579.8000000000002,3.7999999999982492,-1689.9,3.7999999999982492,3.7999999999982492,3.7999999999982492,3.7999999999982492,3.7999999999982492,3.7999999999982492,3.7999999999982492
GBP_JPY,TP,47,20.0,15.800000000001546,0.0,1.4000000000010004,8.70000000000175,13.700000000000045,,,,
GBP_JPY,TP,413,20.0,6.60000000000025,-231.30000000000166,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GBP_JPY,TP,2,20.0,0.0,0.0,,,,,,,
GBP_JPY,TP,2,20.0,1.8000000000000682,0.0,,,,,,,
GBP_JPY,TP,27,20.0,12.699999999998113,-30.100000000001614,0.0,0.0,7.699999999999818,,,,
GBP_JPY,TP,6,20.0,12.999999999999545,0.0,12.999999999999545,,,,,,
GBP_JPY,TP,1,20.0,11.099999999999,0.0,,,,,,,
GBP_JPY,TP,292,20.0,17.500000000001137,-99.79999999999905,2.0999999999986585,2.0999999999986585,2.0999999999986585,2.0999999999986585,2.0999999999986585,2.0999999999986585,13.800000000000523
GBP_JPY,TP,47,20.0,10.099999999999909,-27.50000000000057,0.0,0.0,0.0,,,,
GBP_JPY,end,50525,-1814.6999999999991,0.0,-1992.0999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0
