pair,T_h,W,is_net,is_dd,is_trades,oos_net,oos_dd,oos_trades,oos_scratch,oos_end,oos_scratch_pips,oos_end_pips
CAD_JPY,12,15,-353.6599999999985,-581.3799999999995,26,-119.65999999999886,-273.8599999999999,16,5,1,-30.19999999999896,-273.8599999999999
CAD_JPY,12,20,-301.379999999998,-587.3799999999998,33,138.2200000000003,-101.12000000000069,38,15,1,-188.70000000000059,-78.75999999999914
CAD_JPY,24,3,455.13999999999913,-61.64000000000016,41,-115.38000000000048,-281.3400000000005,13,3,1,-7.680000000000113,-273.66000000000037
CAD_JPY,24,5,465.72000000000156,-69.95999999999975,43,-119.18000000000015,-285.14000000000016,13,3,1,-11.479999999999785,-273.66000000000037
CAD_JPY,24,10,-284.02000000000186,-578.7200000000014,22,-110.64000000000053,-276.60000000000053,14,3,1,-21.180000000000625,-273.8599999999999
CAD_JPY,24,15,-267.94000000000165,-578.7200000000014,24,-117.54000000000079,-283.5000000000008,14,3,1,-28.080000000000886,-273.8599999999999
CAD_JPY,24,20,-269.5200000000002,-593.1200000000005,27,-130.8000000000001,-296.7600000000001,15,3,1,-59.780000000000186,-273.8599999999999
AUD_USD,2,3,-285.2000000000014,-306.080000000002,25,484.5799999999971,-16.839999999998156,112,81,1,-94.86000000000321,8.240000000000318
AUD_USD,2,5,-285.8000000000005,-307.8800000000012,30,276.4199999999984,-26.779999999999674,93,71,1,-131.66000000000187,8.240000000000318
AUD_USD,2,10,-324.25999999999755,-348.6399999999977,46,254.0000000000001,-44.620000000002236,135,109,1,-221.83999999999955,-0.16000000000031012
AUD_USD,2,15,-317.979999999997,-345.23999999999717,128,198.5999999999908,-128.1000000000038,175,145,1,-351.80000000000945,-1.7599999999996898
AUD_USD,2,20,-401.54000000000224,-425.9200000000026,419,191.79999999998762,-132.72000000000384,210,176,1,-434.7600000000127,-1.7599999999996898
AUD_USD,4,3,-268.85999999999876,-287.8999999999988,16,532.7600000000015,-12.599999999997806,74,43,1,-48.07999999999903,9.640000000000608
AUD_USD,4,5,-286.4799999999994,-305.5199999999994,18,524.0599999999966,-11.939999999999714,74,42,1,-75.82000000000386,9.640000000000608
AUD_USD,4,10,-292.36000000000206,-311.4000000000021,26,291.860000000002,-35.040000000000106,69,47,1,-108.61999999999853,0.64000000000049
AUD_USD,4,15,-283.3000000000021,-325.7400000000007,75,264.54000000000497,-55.67999999999918,81,58,1,-149.17999999999526,-5.1599999999997594
AUD_USD,4,20,-317.960000000002,-347.7000000000006,76,333.60000000000196,-65.0799999999997,105,74,1,-232.4399999999982,-5.1599999999997594
AUD_USD,6,3,-279.80000000000115,-298.84000000000117,15,-348.9200000000006,-346.5600000000003,2,1,1,-2.36000000000029,-346.5600000000003
AUD_USD,6,5,-289.219999999997,-308.25999999999704,17,552.4000000000002,-10.98000000000087,65,33,1,-47.48000000000026,9.640000000000608
AUD_USD,6,10,-286.1799999999963,-305.21999999999633,18,337.01999999999987,-36.03999999999999,58,35,1,-82.30000000000041,0.44000000000028994
AUD_USD,6,15,-11.339999999995015,-192.7599999999967,194,459.97999999999877,-97.79999999999764,127,79,1,-435.34000000000157,0.44000000000028994
AUD_USD,6,20,-73.93999999999328,-199.8399999999937,224,298.61999999999864,-82.23999999999808,83,53,1,-253.9800000000016,0.44000000000028994
AUD_USD,8,3,-267.0199999999963,-286.0599999999963,12,575.1999999999989,-38.31999999999971,55,21,1,-17.56000000000073,-35.56000000000019
AUD_USD,8,5,-269.5199999999993,-288.5599999999993,12,581.9199999999986,-7.719999999999118,58,25,1,-37.000000000001904,9.640000000000608
AUD_USD,8,10,-272.28000000000003,-291.32000000000005,13,365.43999999999954,-30.879999999999143,46,22,1,-82.12000000000106,9.640000000000608
AUD_USD,8,15,-250.37999999999943,-275.1800000000001,18,338.53999999999587,-167.3599999999999,106,57,1,-408.02000000000413,-167.35999999999987
AUD_USD,8,20,-256.7999999999978,-281.5999999999985,20,304.51999999999896,-62.34000000000104,58,30,1,-219.2000000000017,9.640000000000608
AUD_USD,12,3,-269.09999999999917,-288.1399999999992,10,-347.56000000000023,0.0,1,0,1,0.0,-347.56000000000023
AUD_USD,12,5,-268.3000000000017,-287.34000000000174,10,-347.56000000000023,0.0,1,0,1,0.0,-347.56000000000023
AUD_USD,12,10,-285.5600000000008,-304.6000000000008,11,345.26000000000215,-31.379999999999086,39,16,1,-83.25999999999851,9.640000000000608
AUD_USD,12,15,66.00000000000045,-86.28000000000054,65,239.6399999999982,-167.35999999999987,66,30,1,-259.40000000000197,-167.35999999999987
AUD_USD,12,20,22.560000000002994,-131.6399999999983,69,183.09999999999985,-105.47999999999888,60,33,1,-321.5800000000007,9.640000000000608
AUD_USD,24,3,-246.1199999999996,-282.97999999999973,7,-347.56000000000023,0.0,1,0,1,0.0,-347.56000000000023
AUD_USD,24,5,-247.81999999999965,-284.6800000000009,7,-347.56000000000023,0.0,1,0,1,0.0,-347.56000000000023
AUD_USD,24,10,-195.28000000000083,-280.07999999999964,13,-347.56000000000023,0.0,1,0,1,0.0,-347.56000000000023
AUD_USD,24,15,324.19999999999766,-58.260000000000105,50,-347.56000000000023,0.0,1,0,1,0.0,-347.56000000000023
AUD_USD,24,20,-204.9000000000002,-278.43999999999926,15,-347.56000000000023,0.0,1,0,1,0.0,-347.56000000000023
EUR_GBP,2,3,-26.900000000002752,-58.60000000000109,41,-52.79999999999801,-85.39999999999829,92,85,1,-141.5999999999974,-24.000000000000597
EUR_GBP,2,5,-166.80000000000854,-204.90000000000532,207,-108.99999999998934,-134.49999999999181,135,125,1,-255.59999999998902,-22.600000000000307
EUR_GBP,2,10,-467.80000000000757,-486.6000000000075,317,-379.1000000000048,-389.60000000000673,195,189,1,-475.500000000005,2.4000000000002695
EUR_GBP,2,15,-966.3999999999966,-985.1999999999973,689,-535.8000000000052,-545.200000000005,372,359,1,-763.8000000000054,2.4000000000002695
EUR_GBP,2,20,-917.1000000000038,-969.0000000000059,646,-557.9000000000009,-567.3000000000008,375,365,1,-729.5000000000011,2.4000000000002695
EUR_GBP,4,3,-36.90000000000391,-61.8000000000023,28,-10.399999999999416,-62.39999999999862,49,43,1,-76.49999999999993,-27.8999999999995
EUR_GBP,4,5,-194.0000000000058,-213.50000000000455,145,-19.20000000000071,-82.89999999999972,84,74,1,-189.6000000000009,1.2000000000001798
EUR_GBP,4,10,-190.40000000000867,-209.2000000000087,158,-201.60000000000426,-217.90000000000396,172,160,1,-409.60000000000446,1.2000000000001798
EUR_GBP,4,15,-352.2000000000088,-428.50000000001035,352,-276.6000000000001,-282.7999999999993,113,108,1,-353.0000000000003,1.2000000000001798
EUR_GBP,4,20,-508.500000000011,-575.6000000000131,368,-310.00000000000193,-316.2000000000011,118,113,1,-386.40000000000214,1.2000000000001798
EUR_GBP,6,3,-35.79999999999977,-72.99999999999955,6,27.09999999999866,-55.60000000000032,37,30,1,-57.80000000000183,-27.8999999999995
EUR_GBP,6,5,-41.69999999999926,-70.29999999999941,22,27.19999999999979,-73.99999999999974,55,45,1,-114.10000000000072,-27.8999999999995
EUR_GBP,6,10,-57.6000000000042,-97.30000000000257,114,-143.60000000000042,-184.5999999999989,125,111,1,-360.100000000001,-27.8999999999995
EUR_GBP,6,15,-225.90000000000222,-253.2000000000021,162,-219.10000000000315,-249.00000000000387,151,136,1,-483.5000000000033,1.2000000000001798
EUR_GBP,6,20,-296.10000000000167,-337.9000000000014,171,-293.6000000000057,-304.5000000000031,154,141,1,-520.4000000000059,1.2000000000001798
EUR_GBP,8,3,-14.000000000000313,-52.99999999999936,17,50.600000000001934,-37.19999999999856,28,21,1,-34.299999999998555,-27.8999999999995
EUR_GBP,8,5,-25.299999999999955,-54.599999999999845,17,35.69999999999925,-59.70000000000017,47,38,1,-86.80000000000123,-27.8999999999995
EUR_GBP,8,10,-22.600000000002094,-90.19999999999894,95,-19.700000000000998,-141.1000000000029,106,89,1,-321.7000000000012,1.2000000000001798
