pair,T_s_h,k,is_net,oos_net,oos_dd,oos_trades,avg_W,oos_tp,oos_scratch,oos_end
AUD_JPY,24,2.0,-1070.4600000000012,-630.5599999999994,-649.1799999999994,2,26.43557078205496,1,0,1
AUD_JPY,48,0.3,-1027.1000000000006,-630.5599999999994,-649.1799999999994,2,3.9653356173082437,1,0,1
AUD_JPY,48,0.5,-1030.7000000000007,-630.5599999999994,-649.1799999999994,2,6.60889269551374,1,0,1
AUD_JPY,48,0.7,-1016.0799999999998,-630.5599999999994,-649.1799999999994,2,9.252449773719235,1,0,1
AUD_JPY,48,1.0,-1019.68,-630.5599999999994,-649.1799999999994,2,13.21778539102748,1,0,1
AUD_JPY,48,1.5,-1029.2800000000004,-630.5599999999994,-649.1799999999994,2,19.826678086541218,1,0,1
AUD_JPY,48,2.0,-1019.6600000000007,-630.5599999999994,-649.1799999999994,2,26.43557078205496,1,0,1
EUR_USD,6,0.3,-159.08000000000067,25.420000000002545,-230.2199999999983,29,4.7951973599737245,15,13,1
EUR_USD,6,0.5,-166.58000000000095,-15.860000000003396,-231.2399999999983,43,8.324333771578992,17,25,1
EUR_USD,6,0.7,-180.67999999999785,329.1399999999967,-50.5000000000021,63,11.73470019699069,29,33,1
EUR_USD,6,1.0,-172.29999999999842,352.38000000000454,-47.93999999999642,66,16.408159887914074,33,32,1
EUR_USD,6,1.5,-179.49999999999898,281.08000000000385,-81.67999999999768,76,24.85485476147466,39,36,1
EUR_USD,6,2.0,-179.49999999999898,107.72000000000958,-159.87999999999693,84,32.96621608568702,40,44,0
EUR_USD,8,0.3,-176.03999999999854,79.12000000000157,-230.2199999999983,39,5.050467337352446,18,20,1
EUR_USD,8,0.5,-172.54000000000227,29.16000000000065,-231.2399999999983,42,8.329402363386526,19,22,1
EUR_USD,8,0.7,-190.36000000000354,331.87999999999886,-54.19999999999747,56,11.76507854507854,29,26,1
EUR_USD,8,1.0,-190.36000000000354,417.10000000000434,-43.62000000000154,65,16.92410993848029,37,27,1
EUR_USD,8,1.5,-190.36000000000354,188.56000000000142,-97.71999999999615,62,24.30568044008474,33,28,1
EUR_USD,8,2.0,-190.36000000000354,133.18000000000734,-144.43999999999573,71,32.74958110235851,38,33,0
EUR_USD,12,0.3,-158.02000000000044,-118.83999999999679,-262.2199999999992,12,4.754895366942994,8,3,1
EUR_USD,12,0.5,-158.02000000000044,-142.35999999999763,-262.2199999999992,13,7.938767476228297,8,4,1
EUR_USD,12,0.7,-165.4200000000023,68.959999999997,-230.2199999999983,37,11.886978595255012,21,15,1
EUR_USD,12,1.0,-171.32000000000096,-146.299999999999,-262.2199999999992,15,16.155249582936914,9,5,1
EUR_USD,12,1.5,-187.12000000000234,309.18000000000103,-72.97999999999843,51,24.90950644440099,33,17,1
EUR_USD,12,2.0,-187.12000000000234,221.74000000000322,-106.73999999999752,53,32.98965775471263,34,19,0
