ci,name,is_pnl,is_ntrd,c0,c1,c2
1586,b4_r3_n6_E2_X3c_1_5,35626.2,6756,7559.6,23207.7,4858.9
868,b3_r2_n6_E2_X3c_2_5,35619.8,9474,7248.4,22871.9,5499.5
867,b3_r2_n6_E2_X3c_2_3,35604.0,9469,7254.8,22863.4,5485.8
2081,b5_r3_n5_E1_X3c_1_5,35354.4,12114,7729.4,22497.1,5127.9
2080,b5_r3_n5_E1_X3c_1_3,35304.6,12113,7729.4,22501.1,5074.1
2074,b5_r3_n5_E1_X3b_1,35261.9,12106,7721.5,22505.5,5034.9
1069,b3_r3_n8_E2_X3b_1,35054.3,4755,7641.9,21683.8,5728.6
1076,b3_r3_n8_E2_X3c_1_5,35013.1,4755,7637.4,21647.1,5728.6
1075,b3_r3_n8_E2_X3c_1_3,34997.9,4755,7622.2,21647.1,5728.6
524,b2_r3_n8_E1_X3c_3_5,34585.6,15550,6598.0,23583.4,4404.2
516,b2_r3_n8_E1_X3b_3,34456.0,15430,6577.6,23508.2,4370.2
680,b3_r1_n6_E2_X3b_2,34185.1,8850,6793.1,22237.8,5154.2
665,b3_r1_n6_E1_X3b_2,34160.6,8885,6803.0,22223.1,5134.5
688,b3_r1_n6_E2_X3c_2_5,34106.7,8904,6778.9,22121.7,5206.1
673,b3_r1_n6_E1_X3c_2_5,34076.4,8941,6774.8,22120.4,5181.2
687,b3_r1_n6_E2_X3c_2_3,34052.1,8896,6824.8,22067.1,5160.2
845,b3_r2_n6_E1_X3b_2,34038.0,10285,6812.2,22212.3,5013.5
672,b3_r1_n6_E1_X3c_2_3,33975.9,8933,6798.3,22042.3,5135.3
852,b3_r2_n6_E1_X3c_2_3,33911.0,10341,6727.4,22106.7,5076.9
853,b3_r2_n6_E1_X3c_2_5,33881.6,10350,6738.5,22098.6,5044.5
2059,b5_r3_n4_E2_X3b_1,33044.9,11387,5447.2,23105.4,4492.3
2066,b5_r3_n4_E2_X3c_1_5,33013.3,11397,5447.2,23019.5,4546.6
2065,b5_r3_n4_E2_X3c_1_3,32970.3,11394,5443.5,23000.1,4526.7
2006,b5_r3_n2_E2_X3c_1_5,30917.1,18050,4372.5,23287.2,3257.4
2036,b5_r3_n3_E2_X3c_1_5,30903.0,18049,4358.4,23287.2,3257.4
2005,b5_r3_n2_E2_X3c_1_3,30841.5,18044,4368.8,23224.3,3248.4
2035,b5_r3_n3_E2_X3c_1_3,30827.4,18043,4354.7,23224.3,3248.4
1999,b5_r3_n2_E2_X3b_1,30728.6,18024,4372.5,23167.6,3188.5
2029,b5_r3_n3_E2_X3b_1,30714.5,18023,4358.4,23167.6,3188.5
1399,b4_r2_n6_E2_X3b_1,30468.2,3849,6275.3,19192.2,5000.7
1406,b4_r2_n6_E2_X3c_1_5,30438.5,3851,6269.1,19162.9,5006.5
1405,b4_r2_n6_E2_X3c_1_3,30432.7,3849,6269.1,19162.9,5000.7
1391,b4_r2_n6_E1_X3c_1_5,30394.3,4676,6278.7,19058.9,5056.7
1384,b4_r2_n6_E1_X3b_1,30373.7,4671,6271.5,19069.9,5032.3
1390,b4_r2_n6_E1_X3c_1_3,30359.3,4675,6274.2,19047.2,5037.9
1033,b3_r3_n6_E1_X3c_2_5,30317.1,18594,6192.3,21426.1,2698.7
1032,b3_r3_n6_E1_X3c_2_3,30238.6,18578,6180.1,21391.8,2666.7
1025,b3_r3_n6_E1_X3b_2,30008.5,18478,6031.5,21407.6,2569.4
889,b3_r2_n8_E2_X3b_1,29632.6,3141,5600.7,19012.7,5019.2
896,b3_r2_n8_E2_X3c_1_5,29598.8,3141,5600.7,18976.0,5022.1
895,b3_r2_n8_E2_X3c_1_3,29598.8,3141,5600.7,18976.0,5022.1
874,b3_r2_n8_E1_X3b_1,29521.3,3244,5573.4,18925.9,5022.0
881,b3_r2_n8_E1_X3c_1_5,29487.9,3244,5573.4,18889.6,5024.9
880,b3_r2_n8_E1_X3c_1_3,29468.2,3244,5573.4,18869.9,5024.9
709,b3_r1_n8_E2_X3b_1,28797.8,3056,5343.0,18745.0,4709.8
694,b3_r1_n8_E1_X3b_1,28780.1,3060,5333.4,18736.9,4709.8
716,b3_r1_n8_E2_X3c_1_5,28764.4,3056,5343.0,18708.7,4712.7
715,b3_r1_n8_E2_X3c_1_3,28748.9,3056,5343.0,18686.6,4719.3
701,b3_r1_n8_E1_X3c_1_5,28746.7,3060,5333.4,18700.6,4712.7
700,b3_r1_n8_E1_X3c_1_3,28731.2,3060,5333.4,18678.5,4719.3
1901,b5_r2_n5_E1_X3c_1_5,28405.3,6523,6217.7,17654.2,4533.4
1900,b5_r2_n5_E1_X3c_1_3,28404.7,6522,6229.5,17665.4,4509.8
1894,b5_r2_n5_E1_X3b_1,28302.9,6512,6211.9,17624.2,4466.8
1909,b5_r2_n5_E2_X3b_1,28224.9,4124,5962.2,17834.4,4428.3
1915,b5_r2_n5_E2_X3c_1_3,28222.6,4129,5962.2,17827.4,4433.0
1916,b5_r2_n5_E2_X3c_1_5,28211.1,4129,5962.2,17815.9,4433.0
1219,b4_r1_n6_E2_X3b_1,28063.9,3356,5368.8,18011.6,4683.5
1225,b4_r1_n6_E2_X3c_1_3,28060.5,3360,5366.9,17986.5,4707.1
1226,b4_r1_n6_E2_X3c_1_5,28034.3,3359,5368.3,17989.5,4676.5
1210,b4_r1_n6_E1_X3c_1_3,27917.1,3383,5315.5,17923.9,4677.7
1204,b4_r1_n6_E1_X3b_1,27913.0,3379,5317.4,17941.5,4654.1
1211,b4_r1_n6_E1_X3c_1_5,27890.9,3382,5316.9,17926.9,4647.1
2111,b5_r3_n6_E1_X3c_1_5,26224.6,7381,5859.9,15862.9,4501.8
2110,b5_r3_n6_E1_X3c_1_3,26178.4,7380,5859.9,15862.9,4455.6
2104,b5_r3_n6_E1_X3b_1,26161.1,7378,5856.1,15888.6,4416.4
2096,b5_r3_n5_E2_X3c_1_5,26066.7,6899,4652.2,17609.3,3805.2
2095,b5_r3_n5_E2_X3c_1_3,26055.1,6899,4652.2,17617.6,3785.3
2089,b5_r3_n5_E2_X3b_1,26045.7,6896,4652.2,17595.9,3797.6
1348,b4_r2_n4_E2_X3c_2_5,25818.6,15640,4787.1,17523.8,3507.7
1347,b4_r2_n4_E2_X3c_2_3,25709.1,15615,4818.3,17429.2,3461.6
1340,b4_r2_n4_E2_X3b_2,24655.7,15337,4611.9,16807.7,3236.1
1168,b4_r1_n4_E2_X3c_2_5,24282.6,14410,4547.6,16021.8,3713.2
1729,b5_r1_n5_E2_X3b_1,24063.6,3009,4791.4,15432.4,3839.8
1167,b4_r1_n4_E2_X3c_2_3,24060.3,14376,4535.6,15868.7,3656.0
1736,b5_r1_n5_E2_X3c_1_5,24034.5,3014,4789.4,15368.6,3876.5
1735,b5_r1_n5_E2_X3c_1_3,23983.8,3013,4784.4,15350.2,3849.2
1714,b5_r1_n5_E1_X3b_1,23943.5,3081,4805.3,15315.3,3822.9
1721,b5_r1_n5_E1_X3c_1_5,23905.0,3088,4795.8,15259.0,3850.2
1720,b5_r1_n5_E1_X3c_1_3,23840.4,3085,4783.5,15227.0,3829.9
1153,b4_r1_n4_E1_X3c_2_5,23513.3,14806,4370.5,15588.2,3554.6
1160,b4_r1_n4_E2_X3b_2,23420.9,13954,4254.4,15429.7,3736.8
1152,b4_r1_n4_E1_X3c_2_3,23257.7,14770,4309.2,15456.7,3491.8
1070,b3_r3_n8_E2_X3b_2,23181.0,4712,4759.7,14816.6,3604.7
1078,b3_r3_n8_E2_X3c_2_5,23162.2,4716,4767.4,14785.8,3609.0
