ci,name,is_pnl,is_ntrd,mc_pval,mc_p95,bootstrap_p5,passed_mc
1705,b5_r1_n4_E2_X3c_1_3,39557.1,7309,0.0,1375.9,62.97,1
1691,b5_r1_n4_E1_X3c_1_5,39054.9,7660,0.0,1349.6,62.12,1
1690,b5_r1_n4_E1_X3c_1_3,38945.2,7652,0.0,1323.7,62.01,1
1684,b5_r1_n4_E1_X3b_1,38901.7,7626,0.0,1325.5,61.93,1
1048,b3_r3_n6_E2_X3c_2_5,38042.8,12843,0.0,1509.0,60.15,1
1047,b3_r3_n6_E2_X3c_2_3,37973.0,12829,0.0,1407.2,60.0,1
359,b2_r2_n8_E2_X3c_3_5,37739.5,12076,0.0,1476.4,59.99,1
1040,b3_r3_n6_E2_X3b_2,37863.1,12781,0.0,1445.0,59.87,1
539,b2_r3_n8_E2_X3c_3_5,37778.4,13952,0.0,1463.9,59.81,1
531,b2_r3_n8_E2_X3b_3,37739.9,13849,0.0,1531.6,59.65,1
351,b2_r2_n8_E2_X3b_3,37683.0,11977,0.0,1434.9,59.43,1
344,b2_r2_n8_E1_X3c_3_5,37534.1,12190,0.0,1413.0,59.41,1
179,b2_r1_n8_E2_X3c_3_5,37442.4,12012,0.0,1394.4,59.39,1
336,b2_r2_n8_E1_X3b_3,37483.2,12088,0.0,1400.1,59.36,1
164,b2_r1_n8_E1_X3c_3_5,37411.4,12016,0.0,1340.7,59.27,1
822,b3_r2_n5_E1_X3c_2_3,37581.5,20000,0.0,1560.3,59.16,1
171,b2_r1_n8_E2_X3b_3,37332.0,11910,0.0,1337.3,59.12,1
823,b3_r2_n5_E1_X3c_2_5,37584.3,20000,0.0,1561.4,59.11,1
156,b2_r1_n8_E1_X3b_3,37292.9,11914,0.0,1380.7,59.04,1
815,b3_r2_n5_E1_X3b_2,37104.7,20000,0.0,1558.8,58.39,1
1054,b3_r3_n8_E1_X3b_1,36157.6,6263,0.0,1335.8,57.53,1
1060,b3_r3_n8_E1_X3c_1_3,36126.4,6263,0.0,1352.9,57.49,1
1061,b3_r3_n8_E1_X3c_1_5,36120.9,6263,0.0,1353.0,57.49,1
860,b3_r2_n6_E2_X3b_2,35813.7,9419,0.0,1319.5,56.77,1
1579,b4_r3_n6_E2_X3b_1,35663.8,6756,0.0,1270.0,56.61,1
1585,b4_r3_n6_E2_X3c_1_3,35640.3,6756,0.0,1288.7,56.57,1
1586,b4_r3_n6_E2_X3c_1_5,35626.2,6756,0.0,1282.6,56.55,1
868,b3_r2_n6_E2_X3c_2_5,35619.8,9474,0.0,1257.1,56.54,1
867,b3_r2_n6_E2_X3c_2_3,35604.0,9469,0.0,1341.7,56.48,1
1069,b3_r3_n8_E2_X3b_1,35054.3,4755,0.0,1248.7,55.83,1
1076,b3_r3_n8_E2_X3c_1_5,35013.1,4755,0.0,1275.9,55.78,1
1075,b3_r3_n8_E2_X3c_1_3,34997.9,4755,0.0,1270.7,55.76,1
2081,b5_r3_n5_E1_X3c_1_5,35354.4,12114,0.0,1411.4,55.75,1
2080,b5_r3_n5_E1_X3c_1_3,35304.6,12113,0.0,1418.8,55.69,1
2074,b5_r3_n5_E1_X3b_1,35261.9,12106,0.0,1417.4,55.55,1
524,b2_r3_n8_E1_X3c_3_5,34585.6,15550,0.0,1432.8,54.49,1
516,b2_r3_n8_E1_X3b_3,34456.0,15430,0.0,1585.4,54.23,1
680,b3_r1_n6_E2_X3b_2,34185.1,8850,0.0,1291.9,54.14,1
665,b3_r1_n6_E1_X3b_2,34160.6,8885,0.0,1304.3,53.96,1
688,b3_r1_n6_E2_X3c_2_5,34106.7,8904,0.0,1358.6,53.94,1
687,b3_r1_n6_E2_X3c_2_3,34052.1,8896,0.0,1332.7,53.9,1
673,b3_r1_n6_E1_X3c_2_5,34076.4,8941,0.0,1348.1,53.85,1
672,b3_r1_n6_E1_X3c_2_3,33975.9,8933,0.0,1214.3,53.79,1
845,b3_r2_n6_E1_X3b_2,34038.0,10285,0.0,1378.6,53.76,1
852,b3_r2_n6_E1_X3c_2_3,33911.0,10341,0.0,1316.2,53.56,1
853,b3_r2_n6_E1_X3c_2_5,33881.6,10350,0.0,1364.6,53.5,1
2065,b5_r3_n4_E2_X3c_1_3,32970.3,11394,0.0,1613.5,51.6,1
2059,b5_r3_n4_E2_X3b_1,33044.9,11387,0.0,1635.6,51.59,1
2066,b5_r3_n4_E2_X3c_1_5,33013.3,11397,0.0,1548.8,51.51,1
1399,b4_r2_n6_E2_X3b_1,30468.2,3849,0.0,1233.5,48.39,1
1405,b4_r2_n6_E2_X3c_1_3,30432.7,3849,0.0,1239.6,48.35,1
1406,b4_r2_n6_E2_X3c_1_5,30438.5,3851,0.0,1220.1,48.32,1
1391,b4_r2_n6_E1_X3c_1_5,30394.3,4676,0.0,1260.0,48.28,1
1390,b4_r2_n6_E1_X3c_1_3,30359.3,4675,0.0,1149.2,48.2,1
1384,b4_r2_n6_E1_X3b_1,30373.7,4671,0.0,1221.1,48.15,1
2006,b5_r3_n2_E2_X3c_1_5,30917.1,18050,0.0,1732.4,47.96,1
2036,b5_r3_n3_E2_X3c_1_5,30903.0,18049,0.0,1770.6,47.88,1
2035,b5_r3_n3_E2_X3c_1_3,30827.4,18043,0.0,1770.0,47.75,1
2005,b5_r3_n2_E2_X3c_1_3,30841.5,18044,0.0,1735.5,47.59,1
1999,b5_r3_n2_E2_X3b_1,30728.6,18024,0.0,1754.4,47.58,1
2029,b5_r3_n3_E2_X3b_1,30714.5,18023,0.0,1805.8,47.57,1
1033,b3_r3_n6_E1_X3c_2_5,30317.1,18594,0.0,1488.0,47.27,1
1032,b3_r3_n6_E1_X3c_2_3,30238.6,18578,0.0,1442.6,47.2,1
