ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc,oos_pnl,oos_ntrd,oos_pd,oos_pass
658,b10_r1_n5_E2_X3c_2_5,1483.2,400,0.0,1.78,1,-199.5,175,-0.47,0
1382,b15_r2_n6_E1_X1_8,2791.8,385,0.047,0.21,1,-226.4,131,-0.53,0
650,b10_r1_n5_E2_X3b_2,1479.8,395,0.0,1.82,1,-278.1,175,-0.65,0
1228,b15_r1_n6_E2_X3c_2_5,705.2,103,0.022,0.4,1,-300.1,46,-0.7,0
1220,b15_r1_n6_E2_X3b_2,771.6,103,0.017,0.5,1,-312.0,46,-0.73,0
662,b10_r1_n6_E1_X1_8,1983.4,290,0.036,0.96,1,-379.4,126,-0.89,0
1127,b15_r1_n3_E2_X1_8,5099.8,388,0.001,5.29,1,-403.7,134,-0.95,0
2430,b30_r2_n5_E1_X1_3,2257.1,222,0.028,1.04,1,-557.1,79,-1.31,0
1716,b20_r1_n5_E1_X3b_3,2140.8,226,0.033,0.83,1,-557.4,87,-1.31,0
1197,b15_r1_n5_E2_X3c_2_3,1026.7,208,0.024,0.4,1,-588.7,83,-1.38,0
1686,b20_r1_n4_E1_X3b_3,2547.6,413,0.043,0.51,1,-623.7,156,-1.46,0
1198,b15_r1_n5_E2_X3c_2_5,1268.4,208,0.016,0.74,1,-625.7,83,-1.47,0
1190,b15_r1_n5_E2_X3b_2,1286.8,207,0.017,0.84,1,-650.4,83,-1.52,0
1322,b15_r2_n4_E1_X1_8,3278.4,490,0.037,0.5,1,-1144.0,169,-2.68,0
