ci,name,bf,is_pnl,is_ntrd,c0,c1,c2
4544,b15_r1_n3_E2_X3c_1_5,0,7218.8,908,217.6,3494.7,3506.5
4540,b15_r1_n3_E2_X3c_1_3,0,7185.4,909,219.6,3443.7,3522.1
4516,b15_r1_n3_E2_X3b_1,0,7164.2,899,229.0,3481.3,3453.9
4484,b15_r1_n3_E1_X3c_1_5,0,7161.8,1152,123.3,3652.3,3386.2
4456,b15_r1_n3_E1_X3b_1,0,7159.5,1137,146.4,3591.6,3421.5
1316,b5_r2_n6_E2_X3c_3_5,0,7118.2,3017,143.6,4139.2,2835.4
596,b5_r1_n6_E2_X3c_3_5,0,7029.8,2491,179.9,3606.9,3243.0
536,b5_r1_n6_E1_X3c_3_5,0,7017.9,2515,187.9,3601.1,3228.9
4480,b15_r1_n3_E1_X3c_1_3,0,6999.1,1154,160.2,3512.0,3326.9
444,b5_r1_n5_E2_X3b_3,0,6932.9,4736,148.3,3257.1,3527.5
384,b5_r1_n5_E1_X3b_3,0,6708.4,4793,99.6,3091.3,3517.5
476,b5_r1_n5_E2_X3c_3_5,0,6639.5,4933,139.4,3131.8,3368.3
416,b5_r1_n5_E1_X3c_3_5,0,6525.9,5002,111.7,3062.2,3352.0
10108,b30_r3_n2_E1_X7_3,0,6260.7,234,966.0,3864.1,1430.6
10228,b30_r3_n3_E1_X7_3,0,6260.7,234,966.0,3864.1,1430.6
10350,b30_r3_n4_E1_X7_3_bf5,5,6063.0,184,896.8,3359.2,1807.0
10468,b30_r3_n5_E1_X7_3,0,5960.6,193,1117.1,4405.3,438.2
3376,b10_r2_n6_E1_X3b_1,0,5648.5,948,81.8,2530.4,3036.3
3404,b10_r2_n6_E1_X3c_1_5,0,5623.7,948,81.8,2505.6,3036.3
3400,b10_r2_n6_E1_X3c_1_3,0,5623.7,948,81.8,2505.6,3036.3
8184,b20_r3_n4_E1_X3b_3,0,5623.6,827,114.7,2765.8,2743.1
4064,b10_r3_n5_E2_X3c_1_5,0,5452.8,2431,92.3,2335.0,3025.5
4060,b10_r3_n5_E2_X3c_1_3,0,5450.1,2431,92.3,2332.3,3025.5
4036,b10_r3_n5_E2_X3b_1,0,5450.1,2431,92.3,2332.3,3025.5
2620,b10_r1_n5_E2_X3c_1_3,0,5424.8,428,154.7,2389.9,2880.2
2624,b10_r1_n5_E2_X3c_1_5,0,5423.0,428,152.6,2388.2,2882.2
8216,b20_r3_n4_E1_X3c_3_5,0,5422.7,837,138.4,2546.0,2738.3
2596,b10_r1_n5_E2_X3b_1,0,5419.9,428,160.1,2412.7,2847.1
2560,b10_r1_n5_E1_X3c_1_3,0,5274.4,449,164.9,2322.2,2787.3
2564,b10_r1_n5_E1_X3c_1_5,0,5241.5,449,162.3,2320.5,2758.7
2536,b10_r1_n5_E1_X3b_1,0,5210.6,449,166.0,2326.0,2718.6
3436,b10_r2_n6_E2_X3b_1,0,5209.8,474,179.6,2178.7,2851.5
3460,b10_r2_n6_E2_X3c_1_3,0,5185.0,474,179.6,2153.9,2851.5
3464,b10_r2_n6_E2_X3c_1_5,0,5185.0,474,179.6,2153.9,2851.5
4184,b10_r3_n6_E2_X3c_1_5,0,5058.4,1543,112.2,2166.0,2780.2
4180,b10_r3_n6_E2_X3c_1_3,0,5058.4,1543,112.2,2166.0,2780.2
4156,b10_r3_n6_E2_X3b_1,0,5058.4,1543,112.2,2166.0,2780.2
10231,b30_r3_n3_E1_X7_3_bf7,7,4886.8,167,787.0,1333.3,2766.5
10111,b30_r3_n2_E1_X7_3_bf7,7,4886.8,167,787.0,1333.3,2766.5
10104,b30_r3_n2_E1_X3b_3,0,4823.7,385,184.9,2642.2,1996.6
10224,b30_r3_n3_E1_X3b_3,0,4823.7,385,184.9,2642.2,1996.6
10351,b30_r3_n4_E1_X7_3_bf7,7,4815.0,149,825.2,1650.7,2339.1
10376,b30_r3_n4_E1_X3c_3_5,0,4788.9,365,149.9,3089.5,1549.5
5440,b15_r2_n5_E1_X3c_1_3,0,4780.3,1230,221.5,1863.8,2695.0
10256,b30_r3_n3_E1_X3c_3_5,0,4774.4,388,184.9,2583.5,2006.0
10136,b30_r3_n2_E1_X3c_3_5,0,4774.4,388,184.9,2583.5,2006.0
10344,b30_r3_n4_E1_X3b_3,0,4762.6,364,149.9,3063.2,1549.5
5444,b15_r2_n5_E1_X3c_1_5,0,4757.0,1230,221.5,1863.8,2671.7
5416,b15_r2_n5_E1_X3b_1,0,4717.9,1229,221.5,1863.8,2632.6
