ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc,oos_pnl,oos_ntrd
2189,b30_r1_n2_E2_X3c_3_5,4292.9,227,0.008,3.67,1,-164.8,87
1862,b20_r2_n4_E1_X1_8,4284.1,225,0.006,3.29,1,-404.4,89
1584,b15_r3_n6_E2_X7_8,4271.5,181,0.002,3.54,1,-799.0,78
1509,b15_r3_n4_E1_X7_8,4251.1,244,0.012,2.89,1,-2226.7,116
1836,b20_r2_n3_E1_X3b_3,4217.0,445,0.007,3.2,1,-345.7,190
2184,b30_r1_n2_E2_X7_8,4201.8,217,0.008,3.13,1,-792.4,85
2099,b20_r3_n5_E2_X3c_3_5,4187.6,266,0.0,4.84,1,-839.0,91
2091,b20_r3_n5_E2_X3b_3,4187.6,266,0.0,4.84,1,-839.0,91
1524,b15_r3_n4_E2_X7_8,4187.1,208,0.011,3.38,1,-1714.3,88
146,b5_r1_n6_E2_X3c_1_5,4128.5,576,0.0,8.55,1,703.2,170
145,b5_r1_n6_E2_X3c_1_3,4114.4,575,0.0,8.55,1,703.2,170
139,b5_r1_n6_E2_X3b_1,4114.4,575,0.0,8.55,1,703.2,170
1477,b15_r3_n3_E1_X7_3,4106.3,279,0.015,2.26,1,-2090.3,132
1461,b15_r3_n2_E2_X3b_3,3991.1,803,0.011,3.01,1,-860.1,289
2073,b20_r3_n5_E1_X2,3989.9,351,0.003,3.71,1,-1557.6,131
1469,b15_r3_n2_E2_X3c_3_5,3988.4,805,0.01,2.88,1,-860.1,289
2192,b30_r1_n3_E1_X1_8,3964.5,129,0.032,1.64,1,591.3,48
1538,b15_r3_n5_E1_X7_5,3964.3,235,0.014,2.61,1,-2309.6,121
1491,b15_r3_n3_E2_X3b_3,3964.2,802,0.006,3.0,1,-860.1,289
1499,b15_r3_n3_E2_X3c_3_5,3961.5,804,0.012,2.74,1,-860.1,289
2187,b30_r1_n2_E2_X3c_2_3,3928.1,260,0.003,3.51,1,-523.7,103
1839,b20_r2_n3_E1_X7_8,3892.7,269,0.026,1.85,1,-1085.4,118
2048,b20_r3_n4_E1_X7_5,3886.2,139,0.026,1.43,1,-2825.3,80
2183,b30_r1_n2_E2_X7_5,3849.5,216,0.016,2.45,1,-421.3,83
1628,b20_r1_n2_E1_X7_5,3844.2,794,0.028,1.9,1,288.3,342
2557,b30_r3_n3_E1_X7_3,3837.2,71,0.036,1.19,1,-1625.8,37
2527,b30_r3_n2_E1_X7_3,3837.2,71,0.036,1.19,1,-1625.8,37
1652,b20_r1_n3_E1_X1_8,3826.8,265,0.025,1.2,1,687.2,93
2358,b30_r2_n2_E2_X2,3810.8,367,0.01,2.39,1,-1591.9,129
1866,b20_r2_n4_E1_X3b_3,3805.5,344,0.006,3.17,1,604.9,146
1537,b15_r3_n5_E1_X7_3,3804.2,250,0.033,1.75,1,-1331.7,115
