ci,name,bf,is_pnl,is_ntrd,c0,c1,c2
8096,b20_r3_n3_E1_X3c_3_5,0,3844.2,1464,1119.0,856.2,1869.0
8217,b20_r3_n4_E1_X3c_3_5_bf3,3,3842.6,1084,1461.0,1865.3,516.3
10509,b30_r3_n5_E2_X1_8_bf3,3,3834.1,208,621.1,1330.9,1882.1
7540,b20_r2_n4_E2_X3c_1_3,0,3813.9,999,708.5,778.5,2326.9
7544,b20_r2_n4_E2_X3c_1_5,0,3813.9,999,708.5,778.5,2326.9
4756,b15_r1_n5_E2_X3b_1,0,3813.8,198,349.5,1077.0,2387.3
4780,b15_r1_n5_E2_X3c_1_3,0,3803.3,198,349.5,1041.2,2412.6
10231,b30_r3_n3_E1_X7_3_bf7,7,3802.2,284,542.3,308.3,2951.6
10111,b30_r3_n2_E1_X7_3_bf7,7,3802.2,284,542.3,308.3,2951.6
10388,b30_r3_n4_E2_X1_8,0,3788.2,240,1219.8,1711.2,857.2
4784,b15_r1_n5_E2_X3c_1_5,0,3782.0,198,349.5,1041.2,2391.3
7516,b20_r2_n4_E2_X3b_1,0,3773.7,999,708.5,738.3,2326.9
10510,b30_r3_n5_E2_X1_8_bf5,5,3726.3,206,621.3,1351.3,1753.7
5624,b15_r2_n6_E2_X3c_1_5,0,3721.7,345,279.7,991.3,2450.7
5620,b15_r2_n6_E2_X3c_1_3,0,3721.7,345,279.7,991.3,2450.7
8185,b20_r3_n4_E1_X3b_3_bf3,3,3716.9,1082,1488.3,1755.9,472.7
5596,b15_r2_n6_E2_X3b_1,0,3716.5,345,279.7,986.1,2450.7
9524,b30_r2_n3_E1_X3c_1_5,0,3712.6,2402,100.0,1278.8,2333.8
9520,b30_r2_n3_E1_X3c_1_3,0,3699.7,2402,100.0,1265.9,2333.8
8227,b20_r3_n4_E2_X1_5_bf7,7,3688.2,689,1051.8,1886.5,749.9
9496,b30_r2_n3_E1_X3b_1,0,3662.8,2402,100.0,1252.2,2310.6
4720,b15_r1_n5_E1_X3c_1_3,0,3662.5,222,293.6,992.2,2376.7
9590,b30_r2_n3_E2_X3c_2_3_bf5,5,3656.8,667,707.6,1517.4,1431.8
4724,b15_r1_n5_E1_X3c_1_5,0,3656.2,222,293.6,992.2,2370.4
