ci,name,bf,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc,oos_pnl,oos_ntrd,oos_pd,oos_pass
2476,b10_r1_n4_E2_X3b_1,0,9994.1,1112,0.0,21.76,1,3020.0,361,7.08,1
2440,b10_r1_n4_E1_X3c_1_3,0,9605.9,1210,0.0,20.71,1,2931.7,381,6.87,1
2444,b10_r1_n4_E1_X3c_1_5,0,9587.6,1211,0.0,20.7,1,2885.0,380,6.76,1
2416,b10_r1_n4_E1_X3b_1,0,9656.1,1208,0.0,20.8,1,2851.6,380,6.68,1
3284,b10_r2_n5_E1_X3c_1_5,0,10020.9,2393,0.0,21.28,1,2850.7,692,6.68,1
3280,b10_r2_n5_E1_X3c_1_3,0,10020.9,2393,0.0,21.28,1,2845.4,692,6.67,1
3256,b10_r2_n5_E1_X3b_1,0,10046.4,2393,0.0,21.33,1,2781.6,690,6.52,1
1428,b5_r2_n8_E2_X3c_2_3,0,8015.3,916,0.0,17.18,1,2655.4,281,6.22,1
1400,b5_r2_n8_E2_X3b_2,0,8012.5,914,0.0,17.14,1,2647.3,281,6.2,1
1432,b5_r2_n8_E2_X3c_2_5,0,7976.5,916,0.0,17.1,1,2645.8,281,6.2,1
3316,b10_r2_n5_E2_X3b_1,0,8439.4,1095,0.0,17.84,1,2619.6,297,6.14,1
3340,b10_r2_n5_E2_X3c_1_3,0,8414.6,1095,0.0,17.79,1,2619.6,297,6.14,1
3344,b10_r2_n5_E2_X3c_1_5,0,8414.6,1095,0.0,17.79,1,2602.9,297,6.1,1
1368,b5_r2_n8_E1_X3c_2_3,0,7632.3,1002,0.0,16.26,1,2548.8,295,5.97,1
1340,b5_r2_n8_E1_X3b_2,0,7622.5,1000,0.0,16.28,1,2534.6,295,5.94,1
1372,b5_r2_n8_E1_X3c_2_5,0,7578.1,1002,0.0,16.13,1,2533.1,295,5.94,1
708,b5_r1_n8_E2_X3c_2_3,0,7516.6,857,0.0,16.06,1,2479.2,272,5.81,1
712,b5_r1_n8_E2_X3c_2_5,0,7499.7,857,0.0,16.02,1,2466.4,272,5.78,1
680,b5_r1_n8_E2_X3b_2,0,7513.4,856,0.0,16.06,1,2463.0,272,5.77,1
648,b5_r1_n8_E1_X3c_2_3,0,7472.4,861,0.0,15.98,1,2457.7,273,5.76,1
652,b5_r1_n8_E1_X3c_2_5,0,7445.8,861,0.0,15.92,1,2444.9,273,5.73,1
620,b5_r1_n8_E1_X3b_2,0,7459.5,860,0.0,16.04,1,2441.5,273,5.72,1
4120,b10_r3_n6_E1_X3c_1_3,0,7593.3,2599,0.0,15.33,1,2429.5,794,5.69,1
4124,b10_r3_n6_E1_X3c_1_5,0,7593.3,2599,0.0,15.33,1,2429.5,794,5.69,1
4096,b10_r3_n6_E1_X3b_1,0,7593.3,2599,0.0,15.33,1,2415.0,794,5.66,1
4544,b15_r1_n3_E2_X3c_1_5,0,7218.8,908,0.0,15.31,1,2409.0,294,5.65,1
1284,b5_r2_n6_E2_X3b_3,0,7351.7,2966,0.0,14.5,1,2376.2,988,5.57,1
4516,b15_r1_n3_E2_X3b_1,0,7164.2,899,0.0,15.02,1,2364.6,293,5.54,1
4540,b15_r1_n3_E2_X3c_1_3,0,7185.4,909,0.0,15.25,1,2365.1,295,5.54,1
1316,b5_r2_n6_E2_X3c_3_5,0,7118.2,3017,0.0,14.25,1,2237.9,999,5.24,1
564,b5_r1_n6_E2_X3b_3,0,7400.4,2454,0.0,14.79,1,2173.7,882,5.09,1
504,b5_r1_n6_E1_X3b_3,0,7309.0,2476,0.0,14.53,1,2149.5,889,5.04,1
6584,b20_r1_n2_E2_X3c_1_5,0,8492.5,1327,0.0,17.78,1,2141.0,457,5.02,1
6580,b20_r1_n2_E2_X3c_1_3,0,8343.5,1326,0.0,17.35,1,2140.8,455,5.02,1
596,b5_r1_n6_E2_X3c_3_5,0,7029.8,2491,0.0,14.17,1,2132.8,892,5.0,1
