ppd,nc,is_wf,oos_wf,p5,p_pos,passed,win_pct,avg_pnl,pair,strategy,fast,slow,atr_sl,atr_trail,N
25.197397117991013,271,3,3,22.038328542901994,1.0,True,81.91881918819189,39.42323386726269,USD_JPY,donchian,0,0,3.0,1.0,10
18.684687681441194,159,3,3,14.228018407467063,1.0,True,66.66666666666666,49.82583381717651,USD_JPY,donchian,0,0,3.0,2.0,10
18.18380769619218,111,3,3,13.374232611375497,1.0,True,63.06306306306306,69.45886903770707,USD_JPY,donchian,0,0,3.0,3.0,10
18.12886583867408,198,3,3,15.519345124443207,1.0,True,79.29292929292929,38.821409674736415,USD_JPY,donchian,0,0,1.0,1.0,20
12.975468483781052,121,3,3,9.375250811865653,1.0,True,65.28925619834712,45.46775733159641,USD_JPY,donchian,0,0,1.0,2.0,20
8.575616262970296,95,3,3,4.76965625010501,1.0,True,49.473684210526315,38.27432942630953,USD_JPY,donchian,0,0,1.0,3.0,20
18.12886583867408,198,3,3,15.302576348356096,1.0,True,79.29292929292929,38.821409674736415,USD_JPY,donchian,0,0,2.0,1.0,20
12.816735927527121,121,3,3,9.1778402064088,1.0,True,65.28925619834712,44.91153746505371,USD_JPY,donchian,0,0,2.0,2.0,20
10.211381409074551,87,3,3,6.382222735485937,1.0,True,58.620689655172406,49.765812844225394,USD_JPY,donchian,0,0,2.0,3.0,20
18.12886583867408,198,3,3,15.42243880447753,1.0,True,79.29292929292929,38.821409674736415,USD_JPY,donchian,0,0,3.0,1.0,20
12.816735927527121,121,3,3,9.388328078903802,1.0,True,65.28925619834712,44.91153746505371,USD_JPY,donchian,0,0,3.0,2.0,20
10.20031247054919,87,3,3,6.081158365814668,1.0,True,58.620689655172406,49.71186767256156,USD_JPY,donchian,0,0,3.0,3.0,20
11.257810404525301,120,3,3,8.934486653213508,1.0,True,75.0,39.77759676265607,USD_JPY,donchian,0,0,1.0,1.0,50
7.764021772642479,77,3,3,4.8467126179933455,1.0,True,58.44155844155844,42.75253547533001,USD_JPY,donchian,0,0,1.0,2.0,50
4.558820611753716,62,3,3,1.3535220051848853,0.992,True,45.16129032258064,31.176450635218963,USD_JPY,donchian,0,0,1.0,3.0,50
11.257810404525301,120,3,3,9.033611420109178,1.0,True,75.0,39.77759676265607,USD_JPY,donchian,0,0,2.0,1.0,50
7.645168850544256,77,3,3,4.486287092295921,1.0,True,58.44155844155844,42.09807263156837,USD_JPY,donchian,0,0,2.0,2.0,50
4.165779664131638,60,3,3,1.017416881394839,0.984,True,48.333333333333336,29.43817629319691,USD_JPY,donchian,0,0,2.0,3.0,50
11.257810404525301,120,3,3,9.018800629203652,1.0,True,75.0,39.77759676265607,USD_JPY,donchian,0,0,3.0,1.0,50
7.645168850544256,77,3,3,4.662277319793841,1.0,True,58.44155844155844,42.09807263156837,USD_JPY,donchian,0,0,3.0,2.0,50
4.126552806651632,60,3,3,0.7863329542958288,0.9815,True,48.333333333333336,29.160973167004865,USD_JPY,donchian,0,0,3.0,3.0,50
0.6423331609663951,161,3,2,,,False,40.993788819875775,1.691610312110258,EUR_JPY,sma_cross,5,20,1.0,1.0,0
2.9612968043541166,161,3,3,-0.6876681474968458,0.9015,False,38.50931677018634,7.798694689727611,EUR_JPY,sma_cross,5,20,1.0,2.0,0
3.5334953985166258,160,3,2,,,False,38.125,9.363762806069058,EUR_JPY,sma_cross,5,20,1.0,3.0,0
0.7939677139818525,161,2,2,,,False,41.61490683229814,2.090946029368357,EUR_JPY,sma_cross,5,20,2.0,1.0,0
2.7738329529131374,161,2,3,,,False,42.857142857142854,7.30500106854143,EUR_JPY,sma_cross,5,20,2.0,2.0,0
3.1348186012912933,160,3,2,,,False,43.125,8.307269293421928,EUR_JPY,sma_cross,5,20,2.0,3.0,0
0.6788386714518558,161,2,2,,,False,41.61490683229814,1.7877490477986762,EUR_JPY,sma_cross,5,20,3.0,1.0,0
2.6529376001918035,161,2,3,,,False,42.857142857142854,6.986618276281519,EUR_JPY,sma_cross,5,20,3.0,2.0,0
3.909181434732511,160,3,2,,,False,43.75,10.359330802041153,EUR_JPY,sma_cross,5,20,3.0,3.0,0
1.0235121863143617,85,3,2,,,False,47.05882352941176,5.105519611732816,EUR_JPY,sma_cross,5,50,1.0,1.0,0
1.8724018507047928,85,3,2,,,False,41.17647058823529,9.339980996456848,EUR_JPY,sma_cross,5,50,1.0,2.0,0
2.49110545702728,84,2,2,,,False,35.714285714285715,12.574151354518651,EUR_JPY,sma_cross,5,50,1.0,3.0,0
0.7852144433838625,85,2,2,,,False,47.05882352941176,3.9168343999383257,EUR_JPY,sma_cross,5,50,2.0,1.0,0
