pair,tp,sl,max_hold,is_pd_amddp5,oos_pd_amddp5,oos_pd_raw,is_trd,oos_trd,oos_wr,oos_max_dd,mc_p,wf_pass,wf_pos_chunks,sp_gate,is_chunk_amddp,is_chunk_pnl,is_chunk_trd
GBP_USD,15.0,20.0,288,-43.97,-48.55,-15.419,4608,1939,0.526,98.8,1.0,False,0,2.4,"[-16318.2, -12985.9, -14685.6]","[-5361.7, -4809.0, -3487.4]","[1488, 1801, 1319]"
GBP_USD,15.0,50.0,12,-35.645,-38.501,-23.557,6615,2888,0.3708,98.8,1.0,False,0,2.4,"[-12048.2, -12300.5, -11312.2]","[-7020.5, -6445.2, -6857.4]","[2190, 2169, 2256]"
GBP_USD,15.0,50.0,60,-76.701,-79.634,-14.533,4196,1754,0.5519,98.8,1.0,False,0,2.4,"[-26001.2, -26705.8, -24029.4]","[-4570.8, -4620.6, -4271.9]","[1353, 1511, 1332]"
GBP_USD,15.0,50.0,288,-125.31,-133.94,-8.081,2977,1197,0.7277,118.4,1.0,False,0,2.4,"[-45198.6, -38295.7, -41873.5]","[-3573.7, -3332.7, -1785.6]","[934, 1214, 829]"
GBP_USD,20.0,0.0,12,-36.085,-38.415,-23.133,6507,2848,0.3599,133.5,1.0,False,0,2.4,"[-12364.8, -12248.4, -11488.0]","[-7157.0, -6088.1, -6915.2]","[2164, 2113, 2230]"
GBP_USD,20.0,0.0,60,-93.684,-92.265,-11.355,3742,1584,0.5158,150.9,1.0,False,0,2.4,"[-31363.8, -36417.8, -25945.1]","[-4179.5, -3160.8, -3120.8]","[1226, 1302, 1214]"
GBP_USD,20.0,0.0,288,-320.741,-290.519,-4.009,1821,740,0.7176,234.5,1.0,False,0,2.4,"[-106709.9, -128569.4, -85609.2]","[-2169.5, -112.7, -1392.7]","[578, 717, 526]"
GBP_USD,20.0,10.0,12,-27.985,-30.89,-24.41,7021,3095,0.3212,98.8,1.0,False,0,2.4,"[-9644.6, -9248.7, -9104.5]","[-7511.1, -7389.7, -6974.2]","[2333, 2321, 2367]"
GBP_USD,20.0,10.0,60,-27.38,-28.562,-19.026,5732,2512,0.3153,104.5,1.0,False,0,2.4,"[-10130.2, -8906.0, -8356.0]","[-6984.9, -6403.1, -4894.3]","[1903, 2047, 1782]"
GBP_USD,20.0,10.0,288,-26.955,-27.702,-17.848,5415,2378,0.3036,104.5,1.0,False,0,2.4,"[-9865.1, -8586.7, -8515.3]","[-6609.7, -6013.6, -4846.5]","[1807, 2003, 1605]"
GBP_USD,20.0,20.0,12,-32.282,-35.079,-23.481,6677,2909,0.3572,98.8,1.0,False,0,2.4,"[-11096.8, -10342.0, -10857.5]","[-7306.6, -6621.3, -7313.0]","[2208, 2203, 2266]"
GBP_USD,20.0,20.0,60,-39.723,-41.868,-15.153,4746,2000,0.4425,104.4,1.0,False,0,2.4,"[-14638.7, -12366.9, -12736.1]","[-5909.4, -5125.5, -3860.7]","[1540, 1745, 1461]"
GBP_USD,20.0,20.0,288,-42.206,-45.049,-12.876,4105,1718,0.4709,104.4,1.0,False,0,2.4,"[-15313.6, -12723.4, -14188.4]","[-4749.7, -4547.1, -3199.7]","[1328, 1643, 1134]"
GBP_USD,20.0,50.0,12,-35.473,-38.069,-23.194,6515,2851,0.3602,98.8,1.0,False,0,2.4,"[-12234.7, -11894.5, -11359.6]","[-7177.9, -6116.7, -6934.2]","[2166, 2118, 2231]"
GBP_USD,20.0,50.0,60,-73.331,-75.206,-12.105,3908,1633,0.5144,98.8,1.0,False,0,2.4,"[-25268.8, -26121.4, -21974.5]","[-3999.4, -4404.0, -3323.4]","[1268, 1390, 1250]"
GBP_USD,20.0,50.0,288,-122.71,-125.252,-4.549,2557,1026,0.6891,118.4,1.0,False,0,2.4,"[-45612.8, -37115.4, -40038.0]","[-3785.3, -2571.5, -1848.4]","[795, 1064, 698]"
GBP_USD,30.0,0.0,12,-35.869,-37.955,-22.897,6415,2822,0.3547,133.5,1.0,False,0,2.4,"[-12167.3, -12522.1, -11195.8]","[-7044.5, -6434.9, -6731.7]","[2144, 2067, 2204]"
GBP_USD,30.0,0.0,60,-92.123,-88.334,-11.765,3407,1453,0.4625,150.9,1.0,False,0,2.4,"[-29624.4, -37070.7, -25470.3]","[-4020.1, -3565.1, -3451.5]","[1114, 1160, 1133]"
GBP_USD,30.0,0.0,288,-313.152,-267.465,-3.013,1415,592,0.6233,234.5,1.0,False,0,2.4,"[-108262.1, -130224.0, -74809.7]","[-3171.0, -817.3, 293.9]","[456, 524, 435]"
GBP_USD,30.0,10.0,12,-27.811,-30.657,-24.213,6918,3065,0.3162,98.8,1.0,False,0,2.4,"[-9446.8, -9378.5, -8998.5]","[-7324.9, -7537.2, -6889.2]","[2312, 2267, 2339]"
