pair,arm,direction,entry_ts,entry_px,exit_ts,exit_px,exit_reason,held_bars,gross_pips,spread_rt_pips,carry_pips,net_pips,mfe_pips,mae_pips,entry_W_pips
GBP_JPY,A,1,2026-06-25 15:05:00+00:00,213.5,2026-06-25 16:15:00+00:00,213.7,tp,14,19.999999999998863,3.2499999999998863,0.0,16.749999999998977,20.79999999999984,-7.400000000001228,35.99484835116298
GBP_JPY,A,1,2026-06-25 16:15:00+00:00,213.69,2026-06-25 22:15:00+00:00,213.458,scratch,72,-23.199999999999932,4.049999999999443,1.064763109589041,-26.185236890410334,4.200000000000159,-29.599999999999227,35.90248318101571
NZD_USD,A,-1,2026-06-25 14:00:00+00:00,0.56532,2026-06-26 02:15:00+00:00,0.56332,tp,147,20.000000000000018,1.5999999999999348,0.0,18.400000000000084,18.400000000000638,-6.599999999999939,13.646954743650884
GBP_USD,A,1,2026-06-25 15:30:00+00:00,1.32109,2026-06-26 03:30:00+00:00,1.31867,scratch,144,-24.200000000000887,1.7999999999995797,-0.3707834520547945,-26.370783452055264,8.299999999998864,-30.49999999999997,25.884304734588497
GBP_JPY,A,1,2026-06-25 22:15:00+00:00,213.458,2026-06-26 04:15:00+00:00,213.38,scratch,72,-7.800000000000296,3.699999999999193,0.0,-11.499999999999488,15.200000000001523,-23.799999999999955,31.636043837374416
AUD_USD,A,1,2026-06-25 16:15:00+00:00,0.69259,2026-06-26 09:35:00+00:00,0.69021,scratch,208,-23.800000000000487,1.30000000000019,-0.08960839726027395,-25.18960839726095,1.0999999999994348,-50.499999999999986,24.082709369555747
GBP_USD,A,1,2026-06-26 08:30:00+00:00,1.32089,2026-06-26 14:00:00+00:00,1.32289,tp,66,20.000000000000018,1.9500000000005624,0.0,18.049999999999457,20.900000000001473,-9.099999999999664,20.24838744203264
GBP_JPY,A,1,2026-06-26 11:00:00+00:00,213.7,2026-06-26 17:00:00+00:00,213.598,scratch,72,-10.199999999997544,3.0000000000001137,0.0,-13.199999999997658,12.100000000000932,-26.69999999999959,30.802893233659425
AUD_USD,A,-1,2026-06-26 09:35:00+00:00,0.69021,2026-06-28 21:35:00+00:00,0.68925,scratch,144,9.599999999999609,3.7999999999999146,-0.30314330136986295,5.4968566986298315,10.099999999999554,-10.900000000000354,21.902220590687893
GBP_JPY,A,1,2026-06-26 17:00:00+00:00,213.598,2026-06-28 23:00:00+00:00,213.494,scratch,72,-10.400000000001342,3.149999999999409,1.064763109589041,-12.48523689041171,14.399999999997704,-19.80000000000075,34.76315233424997
