ci,name,is_pnl,is_ntrd,c0,c1,c2
1232,atr14_m0p5_r1_n4_E1_X3b_1,25629.8,7955,8930.3,10331.8,6367.7
1238,atr14_m0p5_r1_n4_E1_X3c_1_3,25614.0,7958,8904.9,10369.3,6339.8
2512,atr20_m0p5_r2_n4_E1_X3b_1,25207.5,7431,8473.2,10433.1,6301.2
2516,atr20_m0p5_r2_n4_E1_X3c_1_5,25148.9,7432,8451.0,10398.0,6299.9
2518,atr20_m0p5_r2_n4_E1_X3c_1_3,25147.6,7433,8465.6,10384.1,6297.9
1312,atr14_m0p5_r2_n4_E1_X3b_1,23559.7,6989,8130.7,9420.3,6008.7
1318,atr14_m0p5_r2_n4_E1_X3c_1_3,23529.0,6991,8113.3,9399.0,6016.7
1316,atr14_m0p5_r2_n4_E1_X3c_1_5,23523.9,6990,8110.3,9409.2,6004.4
36,atr7_m0p5_r1_n4_E1_X3c_1_5,22718.5,7037,7890.6,9274.2,5553.6
32,atr7_m0p5_r1_n4_E1_X3b_1,22705.5,7036,7900.3,9255.7,5549.4
38,atr7_m0p5_r1_n4_E1_X3c_1_3,22665.2,7037,7850.6,9272.6,5541.9
112,atr7_m0p5_r2_n4_E1_X3b_1,20449.2,6260,6950.0,8539.0,4960.1
118,atr7_m0p5_r2_n4_E1_X3c_1_3,20438.1,6262,6934.1,8543.9,4960.1
116,atr7_m0p5_r2_n4_E1_X3c_1_5,20414.3,6261,6939.3,8542.5,4932.4
1412,atr14_m0p5_r3_n5_E1_X3c_1_5,18999.2,6048,6565.4,7478.8,4955.0
1408,atr14_m0p5_r3_n5_E1_X3b_1,18996.8,6048,6565.4,7476.5,4955.0
2614,atr20_m0p5_r3_n5_E1_X3c_1_3,18996.0,5968,6693.1,7293.6,5009.4
1414,atr14_m0p5_r3_n5_E1_X3c_1_3,18990.7,6048,6568.3,7467.4,4955.0
2612,atr20_m0p5_r3_n5_E1_X3c_1_5,18984.8,5968,6681.8,7293.6,5009.4
2608,atr20_m0p5_r3_n5_E1_X3b_1,18984.8,5968,6681.8,7293.6,5009.4
214,atr7_m0p5_r3_n5_E1_X3c_1_3,16884.2,5836,5777.7,6581.7,4524.8
212,atr7_m0p5_r3_n5_E1_X3c_1_5,16879.0,5836,5774.0,6580.2,4524.8
208,atr7_m0p5_r3_n5_E1_X3b_1,16879.0,5836,5774.0,6580.2,4524.8
2448,atr20_m0p5_r1_n5_E1_X3b_1,16367.1,2549,5564.1,6400.9,4402.0
2452,atr20_m0p5_r1_n5_E1_X3c_1_5,16326.4,2549,5569.8,6350.5,4406.1
2454,atr20_m0p5_r1_n5_E1_X3c_1_3,16316.8,2549,5568.9,6336.2,4411.7
1254,atr14_m0p5_r1_n5_E1_X3c_1_3,14645.6,2209,4929.3,5707.5,4008.9
1252,atr14_m0p5_r1_n5_E1_X3c_1_5,14616.8,2209,4913.2,5701.6,4001.9
1248,atr14_m0p5_r1_n5_E1_X3b_1,14612.8,2209,4913.2,5697.6,4001.9
2528,atr20_m0p5_r2_n5_E1_X3b_1,14546.8,2383,5049.4,5544.4,3953.0
2532,atr20_m0p5_r2_n5_E1_X3c_1_5,14510.4,2383,5054.4,5502.2,3953.8
2534,atr20_m0p5_r2_n5_E1_X3c_1_3,14508.8,2383,5070.1,5480.7,3958.0
1334,atr14_m0p5_r2_n5_E1_X3c_1_3,13695.5,2181,4726.2,5072.6,3896.8
1332,atr14_m0p5_r2_n5_E1_X3c_1_5,13682.7,2181,4716.1,5084.0,3882.6
1328,atr14_m0p5_r2_n5_E1_X3b_1,13677.4,2181,4715.0,5081.6,3880.7
54,atr7_m0p5_r1_n5_E1_X3c_1_3,12624.0,1803,4308.5,4918.7,3396.8
52,atr7_m0p5_r1_n5_E1_X3c_1_5,12605.6,1803,4305.8,4909.7,3390.1
48,atr7_m0p5_r1_n5_E1_X3b_1,12594.4,1803,4297.0,4909.7,3387.7
2630,atr20_m0p5_r3_n6_E1_X3c_1_3,11986.2,3105,4247.8,4138.4,3600.0
2628,atr20_m0p5_r3_n6_E1_X3c_1_5,11981.4,3105,4243.0,4138.4,3600.0
2624,atr20_m0p5_r3_n6_E1_X3b_1,11981.4,3105,4243.0,4138.4,3600.0
1428,atr14_m0p5_r3_n6_E1_X3c_1_5,11723.0,3113,3834.3,4315.2,3573.5
1424,atr14_m0p5_r3_n6_E1_X3b_1,11720.6,3113,3834.3,4312.9,3573.5
1430,atr14_m0p5_r3_n6_E1_X3c_1_3,11711.6,3113,3834.3,4303.8,3573.5
134,atr7_m0p5_r2_n5_E1_X3c_1_3,11644.6,1928,4000.5,4436.0,3208.2
128,atr7_m0p5_r2_n5_E1_X3b_1,11639.0,1928,4004.0,4436.0,3199.0
132,atr7_m0p5_r2_n5_E1_X3c_1_5,11636.1,1928,4001.1,4436.0,3199.0
2662,atr20_m1p0_r1_n3_E1_X3c_1_3,10986.9,7011,3537.3,4526.8,2922.8
2660,atr20_m1p0_r1_n3_E1_X3c_1_5,10965.9,6994,3615.7,4389.6,2960.6
2656,atr20_m1p0_r1_n3_E1_X3b_1,10921.2,6976,3604.8,4396.8,2919.6
230,atr7_m0p5_r3_n6_E1_X3c_1_3,10630.1,3116,3552.1,3758.6,3319.4
228,atr7_m0p5_r3_n6_E1_X3c_1_5,10626.5,3116,3548.4,3758.6,3319.4
224,atr7_m0p5_r3_n6_E1_X3b_1,10626.5,3116,3548.4,3758.6,3319.4
2470,atr20_m0p5_r1_n6_E1_X3c_1_3,10004.2,959,3298.2,3658.6,3047.4
2468,atr20_m0p5_r1_n6_E1_X3c_1_5,9996.9,959,3294.7,3658.6,3043.7
2464,atr20_m0p5_r1_n6_E1_X3b_1,9996.9,959,3294.7,3658.6,3043.7
1456,atr14_m1p0_r1_n3_E1_X3b_1,9881.4,6417,3122.2,4249.2,2510.0
1460,atr14_m1p0_r1_n3_E1_X3c_1_5,9824.1,6444,3045.3,4248.6,2530.2
1462,atr14_m1p0_r1_n3_E1_X3c_1_3,9793.3,6459,3070.5,4190.7,2532.1
2453,atr20_m0p5_r1_n5_E1_X3c_2_5,9549.3,2531,3236.4,3611.6,2701.3
2449,atr20_m0p5_r1_n5_E1_X3b_2,9547.7,2527,3208.4,3635.2,2704.2
2455,atr20_m0p5_r1_n5_E1_X3c_2_3,9519.1,2529,3193.0,3609.9,2716.2
2550,atr20_m0p5_r2_n6_E1_X3c_1_3,9133.6,925,3057.7,3267.3,2808.5
2548,atr20_m0p5_r2_n6_E1_X3c_1_5,9124.3,925,3057.7,3261.8,2804.8
2544,atr20_m0p5_r2_n6_E1_X3b_1,9124.3,925,3057.7,3261.8,2804.8
1270,atr14_m0p5_r1_n6_E1_X3c_1_3,8912.0,820,2914.2,3165.1,2832.7
1268,atr14_m0p5_r1_n6_E1_X3c_1_5,8908.2,820,2910.9,3170.4,2826.9
1264,atr14_m0p5_r1_n6_E1_X3b_1,8905.9,820,2910.9,3168.1,2826.9
2437,atr20_m0p5_r1_n4_E1_X3c_2_5,8754.2,8584,2808.5,3734.4,2211.3
2439,atr20_m0p5_r1_n4_E1_X3c_2_3,8665.7,8590,2793.6,3644.8,2227.2
2433,atr20_m0p5_r1_n4_E1_X3b_2,8593.3,8561,2643.8,3616.8,2332.8
2742,atr20_m1p0_r2_n3_E1_X3c_1_3,8510.3,11497,3111.0,3680.1,1719.2
1348,atr14_m0p5_r2_n6_E1_X3c_1_5,8508.0,823,2752.6,2974.9,2780.6
2740,atr20_m1p0_r2_n3_E1_X3c_1_5,8506.9,11494,3062.0,3694.0,1751.0
2736,atr20_m1p0_r2_n3_E1_X3b_1,8506.2,11489,3063.0,3705.2,1737.9
1344,atr14_m0p5_r2_n6_E1_X3b_1,8505.7,823,2752.6,2972.5,2780.6
1350,atr14_m0p5_r2_n6_E1_X3c_1_3,8502.4,823,2752.6,2963.5,2786.3
2519,atr20_m0p5_r2_n4_E1_X3c_2_3,8360.7,7359,2636.3,3759.6,1964.8
2535,atr20_m0p5_r2_n5_E1_X3c_2_3,8336.2,2373,2917.0,3087.3,2331.9
1249,atr14_m0p5_r1_n5_E1_X3b_2,8316.5,2198,2692.4,3184.2,2439.9
2529,atr20_m0p5_r2_n5_E1_X3b_2,8299.0,2373,2947.5,3075.6,2275.9
2533,atr20_m0p5_r2_n5_E1_X3c_2_5,8271.9,2373,2882.2,3087.7,2302.0
1255,atr14_m0p5_r1_n5_E1_X3c_2_3,8253.4,2202,2675.7,3098.5,2479.3
1253,atr14_m0p5_r1_n5_E1_X3c_2_5,8215.8,2202,2672.8,3073.4,2469.6
2517,atr20_m0p5_r2_n4_E1_X3c_2_5,8201.5,7347,2574.0,3720.5,1907.0
