ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,oos_pnl,oos_ntrd,oos_pd,oos_pass
2439,atr20_m0p5_r1_n4_E1_X3c_2_3,8641.5,9275,0.0,12.6,1016.0,1852,2.38,1
1476,atr14_m1p0_r1_n4_E1_X3c_1_5,5094.1,810,0.0,7.6,1014.5,118,2.38,1
2354,atr14_m3p0_r3_n4_E1_X3b_3,5012.4,303,0.0,3.52,1011.3,64,2.37,1
1478,atr14_m1p0_r1_n4_E1_X3c_1_3,5187.3,810,0.0,7.77,1011.1,118,2.37,1
356,atr7_m1p0_r2_n4_E1_X3c_1_5,5613.2,3714,0.0,7.96,1007.3,693,2.36,1
1472,atr14_m1p0_r1_n4_E1_X3b_1,5032.1,810,0.0,7.51,1008.6,118,2.36,1
2545,atr20_m0p5_r2_n6_E1_X3b_2,6495.7,1013,0.0,9.91,1004.0,155,2.35,1
2370,atr14_m3p0_r3_n5_E1_X3b_3,5898.4,232,0.0,5.5,976.2,49,2.29,1
1239,atr14_m0p5_r1_n4_E1_X3c_2_3,7121.0,8683,0.0,10.23,959.9,1787,2.25,1
1233,atr14_m0p5_r1_n4_E1_X3b_2,6811.5,8648,0.0,9.55,952.4,1777,2.23,1
2900,atr20_m1p5_r1_n3_E1_X3c_1_5,5288.2,2056,0.0,7.59,907.6,286,2.13,1
2902,atr20_m1p5_r1_n3_E1_X3c_1_3,5446.1,2060,0.0,7.86,894.6,286,2.1,1
1349,atr14_m0p5_r2_n6_E1_X3c_2_5,5696.2,883,0.0,8.61,875.1,136,2.05,1
1351,atr14_m0p5_r2_n6_E1_X3c_2_3,5691.7,883,0.0,8.6,869.4,136,2.04,1
2676,atr20_m1p0_r1_n4_E1_X3c_1_5,6153.1,913,0.0,9.33,868.1,126,2.03,1
2678,atr20_m1p0_r1_n4_E1_X3c_1_3,6205.2,913,0.0,9.39,862.7,126,2.02,1
1345,atr14_m0p5_r2_n6_E1_X3b_2,5666.8,883,0.0,8.56,861.8,136,2.02,1
2672,atr20_m1p0_r1_n4_E1_X3b_1,6107.9,913,0.0,9.26,855.1,126,2.0,1
2896,atr20_m1p5_r1_n3_E1_X3b_1,5219.7,2048,0.0,7.31,751.1,286,1.76,1
2500,atr20_m0p5_r2_n3_E1_X3c_1_5,39692.1,20000,0.0,63.21,0.0,0,0.0,0
182,atr7_m0p5_r3_n3_E1_X3c_1_3,40666.5,20000,0.0,64.73,0.0,0,0.0,0
1376,atr14_m0p5_r3_n3_E1_X3b_1,44351.6,20000,0.0,70.69,0.0,0,0.0,0
176,atr7_m0p5_r3_n3_E1_X3b_1,40686.9,20000,0.0,64.76,0.0,0,0.0,0
180,atr7_m0p5_r3_n3_E1_X3c_1_5,40676.7,20000,0.0,64.75,0.0,0,0.0,0
2576,atr20_m0p5_r3_n3_E1_X3b_1,44934.4,20000,0.0,71.82,0.0,0,0.0,0
2580,atr20_m0p5_r3_n3_E1_X3c_1_5,44937.5,20000,0.0,71.81,0.0,0,0.0,0
