pair,ltf,htf,strat,n_ltf,n_htf,trail,max_hold,sp_gate,nt_is,pd_is,nt_oos,tp_oos,pd_oos,tpd_oos,md_oos,calmar,score
AUD_USD,H1,H4,counter,20,20,2.0,96,1.6,112,0.1,109,87.2,0.2,0.26,125.8,0.0,0.0
AUD_USD,H1,H4,counter,20,20,2.5,24,1.6,110,0.1,104,111.2,0.3,0.24,144.5,0.0,0.0
AUD_USD,H1,H4,counter,20,20,2.5,48,1.6,110,0.1,104,111.2,0.3,0.24,144.5,0.0,0.0
AUD_USD,H1,H4,counter,20,20,2.5,96,1.6,110,0.1,104,111.2,0.3,0.24,144.5,0.0,0.0
AUD_USD,H1,H4,counter,20,40,2.0,24,1.6,191,0.1,170,135.7,0.3,0.4,106.5,0.0,0.0
AUD_USD,H1,H4,counter,20,40,2.0,48,1.6,191,0.1,170,135.7,0.3,0.4,106.5,0.0,0.0
AUD_USD,H1,H4,counter,20,40,2.0,96,1.6,191,0.1,170,135.7,0.3,0.4,106.5,0.0,0.0
AUD_USD,H1,H4,counter,20,40,2.5,24,1.6,189,0.1,165,170.6,0.4,0.39,113.0,0.0,0.0
AUD_USD,H1,H4,counter,20,40,2.5,48,1.6,189,0.1,165,170.6,0.4,0.39,113.0,0.0,0.0
AUD_USD,H1,H4,counter,20,40,2.5,96,1.6,189,0.1,165,170.6,0.4,0.39,113.0,0.0,0.0
NZD_USD,H1,H4,counter,20,40,1.0,24,2.0,155,0.2,132,52.0,0.1,0.31,119.5,0.0,0.0
NZD_USD,H1,H4,counter,20,40,1.0,48,2.0,155,0.2,132,52.0,0.1,0.31,119.5,0.0,0.0
NZD_USD,H1,H4,counter,20,40,1.0,96,2.0,155,0.2,132,52.0,0.1,0.31,119.5,0.0,0.0
NZD_USD,H1,H4,counter,20,40,1.5,24,2.0,154,0.3,130,70.6,0.2,0.3,82.4,0.0,0.0
NZD_USD,H1,H4,counter,20,40,1.5,48,2.0,154,0.3,130,70.6,0.2,0.3,82.4,0.0,0.0
NZD_USD,H1,H4,counter,20,40,1.5,96,2.0,154,0.3,130,70.6,0.2,0.3,82.4,0.0,0.0
NZD_USD,H1,H4,counter,20,40,2.0,24,2.0,150,0.2,123,100.9,0.2,0.29,73.6,0.0,0.0
NZD_USD,H1,H4,counter,20,40,2.0,48,2.0,150,0.2,123,100.9,0.2,0.29,73.6,0.0,0.0
NZD_USD,H1,H4,counter,20,40,2.0,96,2.0,150,0.2,123,100.9,0.2,0.29,73.6,0.0,0.0
NZD_USD,H1,H4,counter,20,40,2.5,24,2.0,148,0.3,121,58.5,0.1,0.28,83.7,0.0,0.0
NZD_USD,H1,H4,counter,20,40,2.5,48,2.0,148,0.3,121,58.5,0.1,0.28,83.7,0.0,0.0
NZD_USD,H1,H4,counter,20,40,2.5,96,2.0,148,0.3,121,58.5,0.1,0.28,83.7,0.0,0.0
