pair,activate,trail,init_sl,n,ppd,wr,mdd,calmar,mean_hold_h1,max_loss,max_win,trail_pct,init_sl_pct,days
GBP_USD,1.0,0.15,2.0,18,-0.37,55.6,173.4,-0.0,7.7,-79.4,30.4,55.6,44.4,429.5
GBP_USD,1.0,0.2,0.5,18,-0.37,11.1,148.0,-0.0,3.0,-21.4,20.1,11.1,88.9,429.5
GBP_USD,1.0,0.2,1.0,18,-0.2,44.4,128.1,-0.0,5.6,-40.8,29.4,44.4,55.6,429.5
GBP_USD,1.0,0.2,1.5,18,-0.34,50.0,161.7,-0.0,6.7,-60.2,29.4,50.0,50.0,429.5
GBP_USD,1.0,0.2,2.0,18,-0.39,55.6,177.3,-0.0,7.7,-79.4,29.4,55.6,44.4,429.5
GBP_USD,1.5,0.05,0.5,18,-0.29,11.1,112.3,-0.0,3.5,-21.4,41.5,11.1,88.9,429.5
GBP_USD,1.5,0.05,1.0,18,-0.2,33.3,106.3,-0.0,6.9,-40.8,41.5,33.3,66.7,429.5
GBP_USD,1.5,0.05,1.5,18,-0.49,33.3,219.3,-0.0,8.3,-60.2,41.5,33.3,66.7,429.5
GBP_USD,1.5,0.05,2.0,18,-0.78,33.3,335.2,-0.0,10.1,-79.4,41.5,33.3,66.7,429.5
GBP_USD,1.5,0.075,0.5,18,-0.29,11.1,113.4,-0.0,3.5,-21.4,40.9,11.1,88.9,429.5
GBP_USD,1.5,0.075,1.0,18,-0.21,33.3,108.7,-0.0,6.9,-40.8,40.9,33.3,66.7,429.5
GBP_USD,1.5,0.075,1.5,18,-0.49,33.3,221.7,-0.0,8.3,-60.2,40.9,33.3,66.7,429.5
GBP_USD,1.5,0.075,2.0,18,-0.78,33.3,337.7,-0.0,10.1,-79.4,40.9,33.3,66.7,429.5
GBP_USD,1.5,0.1,0.5,18,-0.29,11.1,114.5,-0.0,3.5,-21.4,40.2,11.1,88.9,429.5
GBP_USD,1.5,0.1,1.0,18,-0.22,33.3,111.1,-0.0,6.9,-40.8,40.2,33.3,66.7,429.5
GBP_USD,1.5,0.1,1.5,18,-0.5,33.3,224.2,-0.0,8.3,-60.2,40.2,33.3,66.7,429.5
GBP_USD,1.5,0.1,2.0,18,-0.79,33.3,340.1,-0.0,10.1,-79.4,40.2,33.3,66.7,429.5
GBP_USD,1.5,0.15,0.5,18,-0.3,11.1,116.8,-0.0,3.5,-21.4,38.8,11.1,88.9,429.5
GBP_USD,1.5,0.15,1.0,18,-0.23,33.3,116.0,-0.0,6.9,-40.8,38.8,33.3,66.7,429.5
GBP_USD,1.5,0.15,1.5,18,-0.51,33.3,229.0,-0.0,8.3,-60.2,38.8,33.3,66.7,429.5
