pair,activate,trail,n,ppd,wr,mdd,calmar,mean_hold_h1,max_loss,max_win,days
EUR_GBP,0.5,0.4,21,0.14,81.0,27.1,0.01,20.9,-27.1,24.0,429.5
EUR_GBP,0.5,0.5,21,0.1,76.2,27.1,0.0,20.9,-27.1,23.3,429.5
EUR_GBP,1.0,0.1,21,0.4,95.2,27.1,0.01,25.4,-27.1,26.3,429.5
EUR_GBP,1.0,0.2,21,0.36,95.2,27.1,0.01,25.4,-27.1,25.6,429.5
EUR_GBP,1.0,0.25,21,0.34,95.2,27.1,0.01,25.4,-27.1,25.2,429.5
EUR_GBP,1.0,0.3,21,0.32,95.2,27.1,0.01,25.4,-27.1,24.8,429.5
EUR_GBP,1.0,0.4,21,0.29,95.2,27.1,0.01,25.4,-27.1,24.0,429.5
EUR_GBP,1.0,0.5,21,0.25,95.2,27.1,0.01,25.5,-27.1,23.3,429.5
EUR_GBP,1.5,0.1,20,0.4,85.0,57.5,0.01,39.9,-30.4,27.0,429.5
EUR_GBP,1.5,0.2,20,0.37,85.0,57.5,0.01,39.9,-30.4,25.6,429.5
EUR_GBP,1.5,0.25,20,0.35,85.0,57.5,0.01,39.9,-30.4,25.2,429.5
EUR_GBP,1.5,0.3,20,0.35,85.0,57.5,0.01,39.9,-30.4,31.0,429.5
EUR_GBP,1.5,0.4,20,0.32,85.0,57.5,0.01,39.9,-30.4,29.2,429.5
EUR_GBP,1.5,0.5,20,0.3,80.0,57.5,0.01,40.2,-30.4,37.9,429.5
EUR_GBP,2.0,0.1,20,0.43,80.0,57.5,0.01,46.4,-30.4,34.8,429.5
EUR_GBP,2.0,0.2,20,0.4,80.0,57.5,0.01,46.4,-30.4,32.9,429.5
EUR_GBP,2.0,0.25,20,0.39,80.0,57.5,0.01,46.4,-30.4,32.0,429.5
EUR_GBP,2.0,0.3,20,0.37,80.0,57.5,0.01,46.4,-30.4,31.0,429.5
EUR_GBP,2.0,0.4,20,0.34,80.0,57.5,0.01,46.5,-30.4,29.2,429.5
EUR_GBP,2.0,0.5,20,0.34,80.0,57.5,0.01,46.5,-30.4,37.9,429.5
AUD_USD,0.25,0.1,29,-0.34,79.3,181.8,-0.0,20.9,-98.7,18.1,429.5
AUD_USD,0.25,0.2,29,-0.4,72.4,200.6,-0.0,20.9,-98.7,16.2,429.5
AUD_USD,0.25,0.25,29,-0.44,65.5,213.4,-0.0,20.9,-98.7,15.3,429.5
AUD_USD,0.25,0.3,29,-0.48,51.7,226.5,-0.0,20.9,-98.7,14.4,429.5
AUD_USD,0.25,0.4,29,-0.54,41.4,248.8,-0.0,21.1,-98.7,12.6,429.5
AUD_USD,0.25,0.5,29,-0.59,44.8,266.0,-0.0,21.5,-98.7,10.8,429.5
AUD_USD,0.5,0.1,29,-0.24,79.3,166.5,-0.0,26.3,-98.7,24.3,429.5
AUD_USD,0.5,0.2,29,-0.32,79.3,180.4,-0.0,26.4,-98.7,20.2,429.5
AUD_USD,0.5,0.25,29,-0.35,79.3,193.0,-0.0,26.4,-98.7,18.2,429.5
AUD_USD,0.5,0.3,29,-0.39,79.3,205.5,-0.0,26.4,-98.7,16.1,429.5
AUD_USD,0.5,0.4,29,-0.46,79.3,230.5,-0.0,26.6,-98.7,12.6,429.5
AUD_USD,0.5,0.5,29,-0.52,69.0,247.7,-0.0,26.7,-98.7,10.8,429.5
AUD_USD,1.0,0.1,28,-0.54,67.9,202.4,-0.0,45.4,-98.7,52.0,429.5
AUD_USD,1.0,0.2,28,-0.6,67.9,219.1,-0.0,45.4,-98.7,50.7,429.5
AUD_USD,1.0,0.25,28,-0.63,67.9,229.2,-0.0,45.4,-98.7,50.0,429.5
AUD_USD,1.0,0.3,28,-0.66,67.9,239.3,-0.0,45.4,-98.7,49.3,429.5
AUD_USD,1.0,0.4,28,-0.72,67.9,259.5,-0.0,45.5,-98.7,48.0,429.5
AUD_USD,1.0,0.5,28,-0.72,67.9,279.7,-0.0,45.5,-98.7,46.7,429.5
AUD_USD,1.5,0.1,27,-0.5,59.3,275.9,-0.0,55.1,-98.7,95.0,429.5
AUD_USD,1.5,0.2,27,-0.55,59.3,275.9,-0.0,55.1,-98.7,90.9,429.5
AUD_USD,1.5,0.25,27,-0.57,59.3,275.9,-0.0,55.1,-98.7,88.9,429.5
AUD_USD,1.5,0.3,27,-0.6,59.3,275.9,-0.0,55.1,-98.7,86.8,429.5
AUD_USD,1.5,0.4,27,-0.65,59.3,275.9,-0.0,55.1,-98.7,82.8,429.5
AUD_USD,1.5,0.5,27,-0.68,59.3,275.9,-0.0,55.3,-98.7,78.7,429.5
AUD_USD,2.0,0.1,27,-0.37,59.3,275.9,-0.0,56.1,-98.7,95.0,429.5
AUD_USD,2.0,0.2,27,-0.43,59.3,275.9,-0.0,56.1,-98.7,90.9,429.5
AUD_USD,2.0,0.25,27,-0.45,59.3,275.9,-0.0,56.1,-98.7,88.9,429.5
AUD_USD,2.0,0.3,27,-0.48,59.3,275.9,-0.0,56.1,-98.7,86.8,429.5
AUD_USD,2.0,0.4,27,-0.53,59.3,275.9,-0.0,56.1,-98.7,82.8,429.5
AUD_USD,2.0,0.5,27,-0.58,59.3,275.9,-0.0,56.1,-98.7,78.7,429.5
NZD_JPY,0.25,0.1,19,0.06,89.5,69.8,0.0,13.7,-69.8,18.7,429.5
NZD_JPY,0.25,0.2,19,-0.01,68.4,69.8,-0.0,13.7,-69.8,17.2,429.5
NZD_JPY,0.25,0.25,19,-0.04,52.6,69.8,-0.0,13.7,-69.8,16.4,429.5
NZD_JPY,0.25,0.3,19,-0.08,42.1,76.7,-0.0,13.7,-69.8,15.7,429.5
NZD_JPY,0.25,0.4,19,-0.14,36.8,94.2,-0.0,13.7,-69.8,14.2,429.5
NZD_JPY,0.25,0.5,19,-0.2,36.8,106.7,-0.0,13.9,-69.8,12.7,429.5
NZD_JPY,0.5,0.1,18,0.26,94.4,69.8,0.0,28.2,-69.8,26.6,429.5
NZD_JPY,0.5,0.2,18,0.19,94.4,69.8,0.0,28.2,-69.8,24.7,429.5
NZD_JPY,0.5,0.25,18,0.16,94.4,69.8,0.0,28.2,-69.8,23.8,429.5
NZD_JPY,0.5,0.3,18,0.13,94.4,69.8,0.0,28.2,-69.8,22.9,429.5
NZD_JPY,0.5,0.4,18,0.06,88.9,69.8,0.0,28.2,-69.8,21.1,429.5
NZD_JPY,0.5,0.5,18,0.0,77.8,69.8,0.0,28.3,-69.8,19.3,429.5
NZD_JPY,1.0,0.1,18,0.64,94.4,69.8,0.01,33.1,-69.8,42.4,429.5
NZD_JPY,1.0,0.2,18,0.57,94.4,69.8,0.01,33.1,-69.8,40.5,429.5
NZD_JPY,1.0,0.25,18,0.54,94.4,69.8,0.01,33.1,-69.8,39.6,429.5
NZD_JPY,1.0,0.3,18,0.51,94.4,69.8,0.01,33.1,-69.8,38.7,429.5
NZD_JPY,1.0,0.4,18,0.44,94.4,69.8,0.01,33.1,-69.8,36.8,429.5
NZD_JPY,1.0,0.5,18,0.38,94.4,69.8,0.01,33.1,-69.8,35.0,429.5
NZD_JPY,1.5,0.1,18,0.71,88.9,69.8,0.01,35.4,-69.8,42.4,429.5
NZD_JPY,1.5,0.2,18,0.65,88.9,69.8,0.01,35.4,-69.8,40.5,429.5
NZD_JPY,1.5,0.25,18,0.62,88.9,69.8,0.01,35.4,-69.8,39.6,429.5
NZD_JPY,1.5,0.3,18,0.59,88.9,69.8,0.01,35.4,-69.8,38.7,429.5
NZD_JPY,1.5,0.4,18,0.53,88.9,69.8,0.01,35.4,-69.8,36.8,429.5
NZD_JPY,1.5,0.5,18,0.47,88.9,69.8,0.01,35.4,-69.8,35.0,429.5
NZD_JPY,2.0,0.1,16,0.45,75.0,243.8,0.0,48.5,-181.3,97.3,429.5
NZD_JPY,2.0,0.2,16,0.4,75.0,246.5,0.0,48.5,-181.3,96.2,429.5
NZD_JPY,2.0,0.25,16,0.38,75.0,247.9,0.0,48.5,-181.3,95.6,429.5
NZD_JPY,2.0,0.3,16,0.36,75.0,249.3,0.0,48.5,-181.3,95.0,429.5
