pair,tf,ind,framing,ic_is,ic_oos,avg_is,avg_oos,t_oos,n_oos
EUR_JPY,H1,RSI2,contra,-0.012373805181152159,-0.017097477196308553,-2.4832311168495838,-3.2470633397313087,-8.209600824548492,2605
EUR_JPY,H4,TRIX14,trend,0.0024524877369569,-0.033689024423472894,-2.021496379726454,-3.7255255255255553,-5.545383980307649,2664
EUR_JPY,H4,TRIX14,contra,-0.0024524877369569,0.033689024423472894,-2.3431053901850185,-1.8179804804805,-2.705807474117289,2664
EUR_JPY,H4,Vortex14,trend,0.010435152624408545,-0.04090081473748202,-1.7618387096774004,-4.039631855747586,-6.009353824655736,2662
EUR_JPY,H4,Vortex14,contra,-0.010435152624408545,0.04090081473748202,-2.6034516129032124,-1.5044327573253429,-2.2384134400395554,2662
EUR_JPY,H4,Fisher10,trend,0.014278425726926523,-0.039232444041826214,-1.6256162397293192,-3.992567567567596,-5.9467137299697495,2664
EUR_JPY,H4,Fisher10,contra,-0.014278425726926523,0.039232444041826214,-2.740631545029792,-1.5509384384384588,-2.3079775924312176,2664
EUR_JPY,H4,RSI2,trend,0.01723581473575892,0.02172575730046911,-1.4766338924233493,-2.3812239221140725,-1.9775111214465395,719
EUR_JPY,H4,RSI2,contra,-0.01723581473575892,-0.02172575730046911,-2.7092539039907346,-2.9979137691237723,-2.4808014807210372,719
EUR_JPY,D1,TRIX14,trend,-0.002434284713862516,-0.009333529277905645,-2.5662240663900286,-2.092456479690596,-0.6287123552394764,517
EUR_JPY,D1,TRIX14,contra,0.002434284713862516,0.009333529277905645,-4.055435684647279,-5.7284332688588755,-1.7186694222625287,517
EUR_JPY,D1,Vortex14,trend,-0.0005800426796676558,-0.055095406315069366,-2.7822147651006595,-6.323404255319217,-1.9001609265820372,517
EUR_JPY,D1,Vortex14,contra,0.0005800426796676558,0.055095406315069366,-3.8168624161073597,-1.4974854932302546,-0.44943422054042753,517
EUR_JPY,D1,Fisher10,trend,-0.018808663647709303,-0.06748605211178618,-4.130325814536318,-7.422630560928511,-2.2342152385425935,517
EUR_JPY,D1,Fisher10,contra,0.018808663647709303,0.06748605211178618,-2.466416040100238,-0.39825918762096074,-0.11946439658343687,517
EUR_JPY,D1,RSI2,trend,-0.04167024620327848,0.12041099143609513,-7.5206896551724,7.992125984251951,1.1291050619697875,127
EUR_JPY,D1,RSI2,contra,0.04167024620327848,-0.12041099143609513,0.9353448275862261,-15.838582677165272,-2.2325284111028485,127
GBP_USD,M15,TRIX14,trend,-0.001107612248001782,-0.0047685466348330405,-2.1932096775870455,-2.286787967006233,-71.11668387992725,41220
GBP_USD,M15,TRIX14,contra,0.001107612248001782,0.0047685466348330405,-2.176997535895859,-2.2265987384763934,-69.59434798053363,41220
GBP_USD,M15,Vortex14,trend,-0.0053201383837804,-0.007046632244636983,-2.224262861543901,-2.30105603029707,-71.49596774742898,41192
GBP_USD,M15,Vortex14,contra,0.0053201383837804,0.007046632244636983,-2.1460257491075203,-2.2119125072828942,-69.1238015381342,41192
GBP_USD,M15,Fisher10,trend,-0.0035022800007227383,-0.005378607493662513,-2.21093238226945,-2.2904827753516983,-71.31310087219534,41220
GBP_USD,M15,Fisher10,contra,0.0035022800007227383,0.005378607493662513,-2.1593784118203594,-2.2229039301309292,-69.39921566801574,41220
GBP_USD,M15,RSI2,trend,0.034743591297818247,0.010071184293030626,-1.8037406587901343,-2.065049751243706,-32.10190795899475,10452
GBP_USD,M15,RSI2,contra,-0.034743591297818247,-0.010071184293030626,-2.357880015029432,-2.1952544967469576,-33.6314271630362,10452
GBP_USD,H1,TRIX14,trend,-0.006681891363766039,-0.001832589915388378,-2.337092481703249,-2.3258102076459646,-18.867692924566107,10306
GBP_USD,H1,TRIX14,contra,0.006681891363766039,0.001832589915388378,-2.1430597139055165,-2.280128080729608,-18.537568809285453,10306
GBP_USD,H1,Vortex14,trend,-0.008626423425868217,0.000431563141438031,-2.3653389936321547,-2.297883289639704,-18.629344715946146,10299
GBP_USD,H1,Vortex14,contra,0.008626423425868217,-0.000431563141438031,-2.114616889332827,-2.3085833576074704,-18.78785752613625,10299
GBP_USD,H1,Fisher10,trend,0.00016903685165396983,0.0005827107210832435,-2.2375124792013223,-2.295313409664203,-18.605032855895065,10306
GBP_USD,H1,Fisher10,contra,-0.00016903685165396983,-0.0005827107210832435,-2.2425249584026545,-2.3106248787113692,-18.80095517537978,10306
GBP_USD,H1,RSI2,trend,0.02777151759574526,0.029907817244384592,-1.6188888888888715,-1.7713641488161653,-7.3026550917713795,2661
GBP_USD,H1,RSI2,contra,-0.02777151759574526,-0.029907817244384592,-2.4831723027375103,-2.522623074032246,-10.273057556140321,2661
GBP_USD,H4,TRIX14,trend,0.004000100909919569,-0.027323135613420764,-2.0038777152051517,-2.8003003003002247,-6.016641700105984,2664
GBP_USD,H4,TRIX14,contra,-0.004000100909919569,0.027323135613420764,-2.228946098149635,-1.4893768768768036,-3.2020337557003034,2664
GBP_USD,H4,Vortex14,trend,-0.01301759382604191,-0.0034637652092256465,-2.481328603676236,-2.2263513513512785,-4.782398603440917,2664
GBP_USD,H4,Vortex14,contra,0.01301759382604191,0.0034637652092256465,-1.7506933247339538,-2.0633258258257494,-4.433717299127847,2664
GBP_USD,H4,Fisher10,trend,-0.013615606124601732,-0.01845164359897486,-2.498630578379246,-2.5876126126125345,-5.560395370768002,2664
GBP_USD,H4,Fisher10,contra,0.013615606124601732,0.01845164359897486,-1.7346544224262948,-1.7020645645644936,-3.6573325025977512,2664
GBP_USD,H4,RSI2,trend,0.009673610134601721,-0.041807956219263205,-1.758739255014336,-3.2303814713895593,-3.332342736201026,734
GBP_USD,H4,RSI2,contra,-0.009673610134601721,0.041807956219263205,-2.34361031518625,-0.9995912806538563,-1.0291331228484544,734
GBP_USD,D1,TRIX14,trend,-0.014739458128465258,0.04216292934049581,-4.206141078838206,-0.9241779497098074,-0.3742280329685396,517
GBP_USD,D1,TRIX14,contra,0.014739458128465258,-0.04216292934049581,-2.4020746887967097,-5.679883945841311,-2.2978451043228723,517
GBP_USD,D1,Vortex14,trend,0.027823064026157026,0.008412961413798688,-1.571224832214785,-2.8297872340425076,-1.1423057883360663,517
GBP_USD,D1,Vortex14,contra,-0.027823064026157026,-0.008412961413798688,-5.008808724832252,-3.7742746615086102,-1.5290487362115706,517
GBP_USD,D1,Fisher10,trend,0.018295255836444146,-0.03313384893724785,-2.162322472848817,-5.160541586073435,-2.0859157350009108,517
GBP_USD,D1,Fisher10,contra,-0.018295255836444146,0.03313384893724785,-4.420050125313311,-1.4435203094776827,-0.5846296537730999,517
GBP_USD,D1,RSI2,trend,0.0987391369814215,0.08254495142453483,3.063829787234009,1.527941176470638,0.30789735220270426,136
GBP_USD,D1,RSI2,contra,-0.0987391369814215,-0.08254495142453483,-9.626747720364758,-8.09705882352946,-1.6210091241917224,136
AUD_JPY,M15,TRIX14,trend,0.004262483763373867,-0.004707252599719911,-2.0795354833343502,-2.742549062416594,-73.67098791313128,41223
AUD_JPY,M15,TRIX14,contra,-0.004262483763373867,0.004707252599719911,-2.139142910610669,-2.6809596584430855,-71.8392970612339,41223
AUD_JPY,M15,Vortex14,trend,0.003602825945297487,-0.005726303959625233,-2.0842305731025563,-2.751077983878783,-73.59549202633005,41188
AUD_JPY,M15,Vortex14,contra,-0.003602825945297487,0.005726303959625233,-2.134528727976583,-2.672363309701837,-71.8092629840155,41188
AUD_JPY,M15,Fisher10,trend,0.0056130720631927915,-0.0067530526905593405,-2.0708696375470264,-2.758258739053423,-73.77921114873428,41223
AUD_JPY,M15,Fisher10,contra,-0.0056130720631927915,0.0067530526905593405,-2.1479163634094878,-2.665249981806257,-71.72469197305334,41223
AUD_JPY,M15,RSI2,trend,0.012954968601453051,0.008834321075007161,-1.9598531571218616,-2.570130243248403,-31.52212560579991,10442
AUD_JPY,M15,RSI2,contra,-0.012954968601453051,-0.008834321075007161,-2.1548353262009377,-2.722064738555815,-32.66114472558907,10442
AUD_JPY,H1,TRIX14,trend,0.010764103947569149,-0.014256188819794667,-1.9967606453758937,-2.9451872695517034,-20.541119165948054,10306
AUD_JPY,H1,TRIX14,contra,-0.010764103947569149,0.014256188819794667,-2.297613107119075,-2.568241800892671,-17.97725932557922,10306
AUD_JPY,H1,Vortex14,trend,0.007057087590923199,0.0050909072442453214,-2.0468830628380976,-2.671025043680824,-18.664719683902323,10302
AUD_JPY,H1,Vortex14,contra,-0.007057087590923199,-0.0050909072442453214,-2.2477195172700593,-2.8428072218986475,-19.844027220030544,10302
AUD_JPY,H1,Fisher10,trend,0.001728980427046647,-0.0032141954499166226,-2.115382695507465,-2.787939064622538,-19.497558698321846,10306
AUD_JPY,H1,Fisher10,contra,-0.001728980427046647,0.0032141954499166226,-2.1787728785357547,-2.7254900058218365,-19.022751235278758,10306
AUD_JPY,H1,RSI2,trend,-0.015837161471091647,0.037791889362232656,-2.235713159968448,-2.0585820895522366,-7.01014349929518,2680
AUD_JPY,H1,RSI2,contra,0.015837161471091647,-0.037791889362232656,-1.766367218282091,-3.1935074626865645,-10.871526881576788,2680
