pair,scale,bars,ind,framing,ic_oos,avg_oos,t_oos,n_oos
NZD_USD,vbar~H4,5600,RSI2,trend,-0.024357979631129473,-1.961229314420781,-2.3267484424787668,423
NZD_USD,vbar~H4,5600,RSI2,contra,0.024357979631129473,-1.2212765957446712,-1.4429000971911923,423
CAD_JPY,vbar~D1,1400,TRIX14,trend,0.02893334197807897,-0.4166666666665351,-0.10816183068847617,420
CAD_JPY,vbar~D1,1400,TRIX14,contra,-0.02893334197807897,-5.263809523809396,-1.368676678697523,420
CAD_JPY,vbar~D1,1400,Vortex14,trend,-0.024188052271707085,-4.589999999999866,-1.1916516483889612,420
CAD_JPY,vbar~D1,1400,Vortex14,contra,0.024188052271707085,-1.090476190476065,-0.2833795129623826,420
CAD_JPY,vbar~D1,1400,Fisher10,trend,-0.011139134126941778,-3.587142857142733,-0.9315468792169271,420
CAD_JPY,vbar~D1,1400,Fisher10,contra,0.011139134126941778,-2.093333333333199,-0.5436207037695129,420
CAD_JPY,vbar~D1,1400,RSI2,trend,0.13100927812805985,8.716494845360925,0.9757445066117614,97
CAD_JPY,vbar~D1,1400,RSI2,contra,-0.13100927812805985,-14.162886597938014,-1.589087217066287,97
CAD_JPY,vbar~H4,5600,TRIX14,trend,-0.01507763494464502,-3.281011904761801,-3.2874680528869007,1680
CAD_JPY,vbar~H4,5600,TRIX14,contra,0.01507763494464502,-2.1154166666665577,-2.1229025804260058,1680
CAD_JPY,vbar~H4,5600,Vortex14,trend,-0.034263392085369215,-4.084345238095128,-4.094045326810081,1680
CAD_JPY,vbar~H4,5600,Vortex14,contra,0.034263392085369215,-1.3120833333332307,-1.3174397698902118,1680
CAD_JPY,vbar~H4,5600,Fisher10,trend,-0.010507132299735298,-3.12059523809513,-3.125239333457404,1680
CAD_JPY,vbar~H4,5600,Fisher10,contra,0.010507132299735298,-2.275833333333229,-2.2847637729924264,1680
CAD_JPY,vbar~H4,5600,RSI2,trend,0.06054626308822299,0.039775280898967966,0.019062925210093,445
CAD_JPY,vbar~H4,5600,RSI2,contra,-0.06054626308822299,-5.243146067415628,-2.507205668630767,445
