fast,slow,ag,trig,ma,K,exp,wr,n,tdpp,pdpp,pairs_pos,pairs_n,wf_pos,med_meat,med_sp
30s,1h,basis,close_beyond,5,1.0,-2.364040807686012,0.06564769782100918,500048,1602.5815109891487,-315.7140074684548,0,12,0,0.8768878537956937,1.9999345143636067
30s,1h,basis,close_beyond,5,1.5,-2.112604562772011,0.15877136669229847,283502,908.5829030981939,-159.95636556182367,0,12,0,1.1928161038191831,2.0167032877604165
30s,1h,basis,close_beyond,5,2.0,-2.069574587300976,0.08015267175572519,262,0.8251007009365949,-0.18973416029139997,0,9,0,0.48290165584441436,1.4997522036234536
30s,1h,basis,close_beyond,9,1.0,-2.26275392232968,0.10181872957128633,816559,2616.953484529062,-493.46014680603827,0,12,0,1.6196118814505667,1.9832452138264973
30s,1h,basis,close_beyond,9,1.5,-2.307466303745252,0.18287751297955918,189914,608.6469000535812,-117.0360177293869,0,12,0,1.6569875628704267,1.9834438959757488
30s,1h,basis,close_beyond,9,2.0,-1.9401258912173398,0.3254237288135593,99415,318.6106952032329,-51.51207158187904,0,12,0,2.1110697196846218,1.9993384679158528
30s,1h,basis,close_beyond,9,2.5,-1.7927552673740055,0.4005544414297511,16954,54.33511770332054,-8.11746403883454,0,12,0,3.0841723301155977,2.0167032877604165
30s,1h,basis,close_beyond,14,1.0,-2.249056741037562,0.12313733206073293,1057153,3388.0224540178374,-634.9878949162868,0,12,0,2.2237783583953785,1.9999186197916667
30s,1h,basis,close_beyond,14,1.5,-2.2541910285704883,0.15903782693909244,319402,1023.6372103737164,-192.2894846779461,0,12,0,2.6352915154248535,1.9669532775878906
30s,1h,basis,close_beyond,14,2.0,-2.2224759068034565,0.29870634330878876,59212,189.76589533142715,-35.145844192256945,0,12,0,2.5436385426264474,1.9999345143636067
30s,1h,basis,close_beyond,14,2.5,-1.8856152769372794,0.436397771690622,32491,104.1289553673816,-16.362262417687905,0,12,0,3.418458646129352,2.0168304443359375
30s,1h,basis,close_beyond,14,3.0,-2.220067387827835,0.46987546280713566,5942,19.04325052454469,-3.5231082873147472,1,12,0,5.707864309959154,2.1497885386149087
30s,1h,basis,close_beyond,20,1.0,-2.252729140584559,0.1330071621699091,1064063,3410.1680045268586,-640.1820698405626,0,12,0,2.750670278639644,2.0001729329427085
30s,1h,basis,close_beyond,20,1.5,-2.221734649894059,0.14110337486286564,460315,1475.2429931345991,-273.1332062383802,0,12,0,3.519978861916684,1.983046531677246
30s,1h,basis,close_beyond,20,2.0,-2.2647444022397,0.23376286861801257,100341,321.57839126276315,-60.69107179113257,0,12,0,3.3963938312890685,1.9831339518229167
