fast,slow,ag,trig,ma,K,exp,wr,n,tdpp,pdpp,pairs_pos,pairs_n,wf_pos,med_meat,med_sp
30s,1h,both,two_outside,14,1.5,-1.9738523117420268,0.21484098939929328,1415,4.5348703285477505,-0.7459303567878585,0,12,0,2.4415345679898337,1.8668174743652344
30s,1h,both,two_outside,20,1.0,-2.2755715049072522,0.2046674731219333,73573,235.79082309699197,-44.71323984651181,0,12,0,1.9237902234593207,1.9832611083984375
30s,1h,both,two_outside,20,1.5,-2.1152368863759956,0.23967542691050017,8257,26.46249067337016,-4.664536364807777,0,12,0,3.23160849386106,1.95006529490153
30s,1h,both,two_outside,50,1.0,-2.357511656284522,0.3059579423965244,76419,244.9118414397813,-48.11521007969926,0,12,0,2.9258126324473777,1.9999186197916667
30s,1h,both,two_outside,50,1.5,-2.1141232709928963,0.279281098546042,24760,79.35221861119598,-13.980030997570417,0,12,0,4.782481085409573,1.9667307535807292
30s,1h,both,two_outside,50,2.0,-1.737011718579121,0.2364467668190725,3062,9.813267099655981,-1.420479995804115,0,12,0,7.029223112662919,1.9001960754394531
30s,1h,both,two_outside,50,2.5,0.11382076105146516,0.248,125,0.40060691948301685,0.00379978203817,5,12,0,10.342313674395864,1.816550890604655
30s,1h,basis,reenter,5,1.0,-2.4200070299345837,0.02155981108882707,61828,198.14979694236771,-39.96032513172002,0,12,0,0.5156605319064811,1.8835703531901042
30s,1h,basis,reenter,5,1.5,-3.894006731680115,0.030395136778115502,987,3.163192236237901,-1.0264576551257218,0,12,0,0.6271197506094506,2.383295694986979
30s,1h,basis,reenter,9,1.0,-2.258418534499422,0.0923020825336945,364748,1168.9645813407315,-220.00093972277205,0,12,0,1.1223068280723947,1.9497931003570557
30s,1h,basis,reenter,9,1.5,-2.380164166469287,0.14151742103549333,30710,98.42110797858757,-19.52153286956988,0,12,0,1.49464078301218,1.89971923828125
30s,1h,basis,reenter,9,2.0,-7.606409094804925,0.07058823529411765,255,0.8172381157453543,-0.5180206196855586,1,12,0,1.944809932849978,5.332827568054199
30s,1h,basis,reenter,14,1.0,-2.2797456163739853,0.14038796772093998,439418,1408.2711307631064,-267.54166141860225,0,12,0,1.4818403968736016,1.9830067952473958
30s,1h,basis,reenter,14,1.5,-2.220113669531493,0.19229495902220842,148007,474.34102665538296,-87.75758310810151,0,12,0,2.318589558523154,1.9331773122151692
30s,1h,basis,reenter,14,2.0,-2.9131473105902077,0.1997944803288315,6812,21.831474684146485,-5.2998584801949615,0,12,0,2.804986424067568,1.9670685132344563
30s,1h,basis,reenter,14,2.5,-9.3012996999083,0.08490566037735849,106,0.33971466772159825,-0.2633156614111125,1,12,0,4.095997656042982,10.541788736979168
30s,1h,basis,reenter,20,1.0,-2.3094511801379993,0.18270640201616578,405919,1300.9116811970136,-250.36600144964598,0,12,0,1.795103036769774,1.9993384679158528
30s,1h,basis,reenter,20,1.5,-2.2200776977446335,0.21881328708768827,214795,688.3869061628368,-127.35603481596182,0,12,0,2.8564392647144388,1.9503275553385417
30s,1h,basis,reenter,20,2.0,-2.292027439637932,0.22083377364472154,37852,121.31018493016923,-23.170522713958317,0,12,0,3.677877664816087,1.9170125325520833
30s,1h,basis,reenter,20,2.5,-5.142245322791725,0.18032786885245902,1342,4.300915887569668,-1.8430303838813122,0,12,0,4.619080487935356,2.5166312853495283
30s,1h,basis,reenter,20,3.0,-10.124641585291194,0.125,64,0.2051107427753046,-0.17305606299106788,1,12,0,6.165594506238881,12.925020853678387
30s,1h,basis,reenter,50,1.0,-2.409973833759017,0.29147633723139277,236870,759.1340881435376,-152.45777406170308,0,12,0,2.8618405617422127,2.016576131184896
30s,1h,basis,reenter,50,1.5,-2.289114606807314,0.2580776295582523,199254,638.5802490773523,-121.81528131513498,0,12,0,4.463008770436705,1.983642578125
30s,1h,basis,reenter,50,2.0,-2.2767176347785925,0.20604163405853812,95835,307.13731302923935,-58.27207807268183,0,12,0,6.101975313531227,1.9671122233072917
30s,1h,basis,reenter,50,2.5,-2.3416710606231943,0.18716395304808783,26410,84.6402299483718,-16.516631419549572,0,12,0,7.737371421877981,1.966555913289388
30s,1h,basis,reenter,50,3.0,-3.242405816527396,0.1750761200521966,4598,14.73592492626329,-3.9816540577355943,0,12,0,10.127275273532987,2.082967758178711
