split,pair,pct,thr_abs,tp,accel,n,ppd,wr,mdd,calmar,mean_hold,days
OOS_B,GBP_USD,90,0.285,30.0,False,233,-6.36,56.7,1965.2,-0.0,194.1,214.4
OOS_B,GBP_USD,90,0.285,30.0,True,233,-6.36,56.7,1965.2,-0.0,194.1,214.4
OOS_B,GBP_USD,95,0.388,10.0,False,228,-6.41,76.8,1672.1,-0.0,100.2,214.4
OOS_B,GBP_USD,95,0.388,10.0,True,228,-6.41,76.8,1672.1,-0.0,100.2,214.4
OOS_B,GBP_USD,95,0.388,15.0,False,214,-1.21,75.2,831.7,-0.0,115.3,214.4
OOS_B,GBP_USD,95,0.388,15.0,True,214,-1.21,75.2,831.7,-0.0,115.3,214.4
OOS_B,GBP_USD,95,0.388,20.0,False,197,-0.47,70.6,850.3,-0.0,137.3,214.4
OOS_B,GBP_USD,95,0.388,20.0,True,197,-0.47,70.6,850.3,-0.0,137.3,214.4
OOS_B,GBP_USD,95,0.388,30.0,False,166,-3.2,59.0,1089.0,-0.0,181.4,214.4
OOS_B,GBP_USD,95,0.388,30.0,True,166,-3.2,59.0,1089.0,-0.0,181.4,214.4
OOS_B,GBP_USD,98,0.543,10.0,False,105,-0.57,81.9,346.9,-0.0,87.8,214.4
OOS_B,GBP_USD,98,0.543,10.0,True,105,-0.57,81.9,346.9,-0.0,87.8,214.4
OOS_B,GBP_USD,98,0.543,15.0,False,99,0.59,76.8,321.8,0.0,114.1,214.4
OOS_B,GBP_USD,98,0.543,15.0,True,99,0.59,76.8,321.8,0.0,114.1,214.4
OOS_B,GBP_USD,98,0.543,20.0,False,94,1.54,73.4,372.1,0.0,129.6,214.4
OOS_B,GBP_USD,98,0.543,20.0,True,94,1.54,73.4,372.1,0.0,129.6,214.4
OOS_B,GBP_USD,98,0.543,30.0,False,87,0.7,63.2,352.2,0.0,169.9,214.4
OOS_B,GBP_USD,98,0.543,30.0,True,87,0.7,63.2,352.2,0.0,169.9,214.4
OOS_A,AUD_JPY,90,0.259,10.0,False,445,-17.12,80.4,3757.1,-0.0,93.3,214.7
OOS_A,AUD_JPY,90,0.259,10.0,True,445,-17.12,80.4,3757.1,-0.0,93.3,214.7
OOS_A,AUD_JPY,90,0.259,15.0,False,388,-18.46,74.0,4061.0,-0.0,115.6,214.7
OOS_A,AUD_JPY,90,0.259,15.0,True,388,-18.46,74.0,4061.0,-0.0,115.6,214.7
OOS_A,AUD_JPY,90,0.259,20.0,False,349,-14.22,70.5,3137.8,-0.0,133.2,214.7
OOS_A,AUD_JPY,90,0.259,20.0,True,349,-14.22,70.5,3137.8,-0.0,133.2,214.7
OOS_A,AUD_JPY,90,0.259,30.0,False,298,-5.36,64.8,1521.2,-0.0,162.1,214.7
OOS_A,AUD_JPY,90,0.259,30.0,True,298,-5.36,64.8,1521.2,-0.0,162.1,214.7
OOS_A,AUD_JPY,95,0.348,10.0,False,346,-9.56,82.9,2073.0,-0.0,82.9,214.7
OOS_A,AUD_JPY,95,0.348,10.0,True,346,-9.56,82.9,2073.0,-0.0,82.9,214.7
OOS_A,AUD_JPY,95,0.348,15.0,False,314,-7.23,79.3,1589.0,-0.0,99.0,214.7
OOS_A,AUD_JPY,95,0.348,15.0,True,314,-7.23,79.3,1589.0,-0.0,99.0,214.7
OOS_A,AUD_JPY,95,0.348,20.0,False,282,-2.55,78.0,600.3,-0.0,115.9,214.7
OOS_A,AUD_JPY,95,0.348,20.0,True,282,-2.55,78.0,600.3,-0.0,115.9,214.7
OOS_A,AUD_JPY,95,0.348,30.0,False,247,-3.19,68.4,780.4,-0.0,146.1,214.7
OOS_A,AUD_JPY,95,0.348,30.0,True,247,-3.19,68.4,780.4,-0.0,146.1,214.7
OOS_A,AUD_JPY,98,0.487,10.0,False,179,-3.01,84.4,697.4,-0.0,68.4,214.7
OOS_A,AUD_JPY,98,0.487,10.0,True,179,-3.01,84.4,697.4,-0.0,68.4,214.7
OOS_A,AUD_JPY,98,0.487,15.0,False,168,-5.52,79.2,1212.4,-0.0,88.3,214.7
OOS_A,AUD_JPY,98,0.487,15.0,True,168,-5.52,79.2,1212.4,-0.0,88.3,214.7
OOS_A,AUD_JPY,98,0.487,20.0,False,153,-0.29,79.1,807.6,-0.0,99.9,214.7
OOS_A,AUD_JPY,98,0.487,20.0,True,153,-0.29,79.1,807.6,-0.0,99.9,214.7
OOS_A,AUD_JPY,98,0.487,30.0,False,139,-1.31,71.2,620.2,-0.0,133.1,214.7
OOS_A,AUD_JPY,98,0.487,30.0,True,139,-1.31,71.2,620.2,-0.0,133.1,214.7
OOS_B,AUD_JPY,90,0.259,10.0,False,250,-8.4,75.2,1766.0,-0.0,100.9,214.7
OOS_B,AUD_JPY,90,0.259,10.0,True,250,-8.4,75.2,1766.0,-0.0,100.9,214.7
OOS_B,AUD_JPY,90,0.259,15.0,False,230,-5.8,72.2,1372.3,-0.0,122.1,214.7
OOS_B,AUD_JPY,90,0.259,15.0,True,230,-5.8,72.2,1372.3,-0.0,122.1,214.7
OOS_B,AUD_JPY,90,0.259,20.0,False,210,-3.98,69.5,1092.9,-0.0,142.8,214.7
OOS_B,AUD_JPY,90,0.259,20.0,True,210,-3.98,69.5,1092.9,-0.0,142.8,214.7
OOS_B,AUD_JPY,90,0.259,30.0,False,176,-4.58,61.9,1360.9,-0.0,185.1,214.7
OOS_B,AUD_JPY,90,0.259,30.0,True,176,-4.58,61.9,1360.9,-0.0,185.1,214.7
OOS_B,AUD_JPY,95,0.348,10.0,False,132,-4.94,78.0,1016.6,-0.0,98.6,214.7
OOS_B,AUD_JPY,95,0.348,10.0,True,132,-4.94,78.0,1016.6,-0.0,98.6,214.7
OOS_B,AUD_JPY,95,0.348,15.0,False,124,-3.84,72.6,767.9,-0.0,124.3,214.7
OOS_B,AUD_JPY,95,0.348,15.0,True,124,-3.84,72.6,767.9,-0.0,124.3,214.7
OOS_B,AUD_JPY,95,0.348,20.0,False,115,-3.12,68.7,693.8,-0.0,142.3,214.7
OOS_B,AUD_JPY,95,0.348,20.0,True,115,-3.12,68.7,693.8,-0.0,142.3,214.7
OOS_B,AUD_JPY,95,0.348,30.0,False,105,-2.72,61.0,677.9,-0.0,171.3,214.7
OOS_B,AUD_JPY,95,0.348,30.0,True,105,-2.72,61.0,677.9,-0.0,171.3,214.7
OOS_B,AUD_JPY,98,0.487,10.0,False,50,-2.46,78.0,502.8,-0.0,90.5,214.7
