pair,fwd_window,score,n,mean_pips,wr,std_pips
EUR_GBP,1h,2,2143,-0.11,47.5,4.8
EUR_GBP,1h,3,16694,-0.219,47.0,5.7
EUR_GBP,1h,4,425,-0.005,46.4,5.0
EUR_GBP,1h,5,2863,-0.214,46.7,5.3
EUR_GBP,4h,-5,3574,1.539,55.1,9.7
EUR_GBP,4h,-4,677,0.855,49.5,8.2
EUR_GBP,4h,-3,18735,0.723,52.5,9.8
EUR_GBP,4h,-2,2556,0.293,51.6,8.2
EUR_GBP,4h,-1,36746,0.259,50.3,10.2
EUR_GBP,4h,0,3343,0.363,50.6,8.6
EUR_GBP,4h,1,35739,-0.246,47.5,10.7
EUR_GBP,4h,2,2143,-0.117,49.4,9.3
EUR_GBP,4h,3,16694,-0.517,46.5,10.8
EUR_GBP,4h,4,425,0.321,51.5,10.7
EUR_GBP,4h,5,2863,-0.206,48.5,11.5
EUR_GBP,24h,-5,3574,4.908,56.3,23.8
EUR_GBP,24h,-4,677,7.158,60.7,23.0
EUR_GBP,24h,-3,18675,3.23,52.4,24.1
EUR_GBP,24h,-2,2549,1.068,49.0,21.4
EUR_GBP,24h,-1,36617,1.334,49.2,24.2
EUR_GBP,24h,0,3338,-0.003,48.4,22.9
EUR_GBP,24h,1,35700,-0.238,45.9,25.0
EUR_GBP,24h,2,2143,-0.292,46.3,23.2
EUR_GBP,24h,3,16694,-1.51,43.1,26.1
EUR_GBP,24h,4,425,-2.599,44.9,25.1
EUR_GBP,24h,5,2863,-3.953,39.9,27.4
AUD_USD,1h,-5,2620,0.798,53.1,8.0
AUD_USD,1h,-4,221,0.961,57.5,6.7
AUD_USD,1h,-3,13568,-0.04,50.3,8.4
AUD_USD,1h,-2,1113,0.363,51.6,7.7
AUD_USD,1h,-1,31569,0.092,50.7,8.8
AUD_USD,1h,0,2009,0.22,52.2,7.3
AUD_USD,1h,1,39473,0.066,50.3,8.5
AUD_USD,1h,2,1706,0.115,51.6,6.6
AUD_USD,1h,3,24533,-0.095,49.5,8.1
AUD_USD,1h,4,551,0.453,50.5,6.5
AUD_USD,1h,5,6048,-0.421,48.1,8.2
AUD_USD,4h,-5,2620,1.581,55.8,15.8
AUD_USD,4h,-4,221,1.13,54.8,14.4
AUD_USD,4h,-3,13568,0.393,51.4,16.7
AUD_USD,4h,-2,1113,-0.007,48.9,14.0
AUD_USD,4h,-1,31562,0.073,50.4,17.1
AUD_USD,4h,0,2009,0.003,50.2,15.2
AUD_USD,4h,1,39456,0.114,50.4,16.2
AUD_USD,4h,2,1705,0.242,51.9,14.8
AUD_USD,4h,3,24522,-0.03,50.1,15.6
AUD_USD,4h,4,551,0.987,52.1,14.2
AUD_USD,4h,5,6048,-0.297,50.0,15.3
AUD_USD,24h,-5,2620,0.61,57.3,33.4
AUD_USD,24h,-4,221,1.752,60.6,31.9
AUD_USD,24h,-3,13568,0.115,50.3,40.6
AUD_USD,24h,-2,1113,-0.621,48.3,31.7
AUD_USD,24h,-1,31527,0.02,49.0,42.5
AUD_USD,24h,0,2004,-0.257,46.7,35.6
AUD_USD,24h,1,39333,1.153,50.2,38.9
AUD_USD,24h,2,1700,0.469,48.9,35.1
AUD_USD,24h,3,24450,1.152,50.8,36.6
AUD_USD,24h,4,551,0.468,49.7,35.0
AUD_USD,24h,5,6048,1.075,52.2,36.2
NZD_JPY,1h,-5,3864,0.001,50.7,13.3
NZD_JPY,1h,-4,213,0.68,50.7,11.6
NZD_JPY,1h,-3,17706,0.248,50.0,12.1
NZD_JPY,1h,-2,791,0.372,53.6,10.0
NZD_JPY,1h,-1,35365,0.041,50.9,12.2
NZD_JPY,1h,0,1254,-0.509,50.9,9.8
NZD_JPY,1h,1,37180,0.056,51.1,11.9
NZD_JPY,1h,2,904,0.292,50.6,9.0
NZD_JPY,1h,3,20889,-0.076,51.1,11.6
NZD_JPY,1h,4,272,-0.208,50.0,8.8
NZD_JPY,1h,5,5102,-0.415,49.8,10.9
NZD_JPY,4h,-5,3864,0.772,53.8,26.4
NZD_JPY,4h,-4,213,-3.503,50.7,31.5
NZD_JPY,4h,-3,17706,0.95,51.8,24.5
NZD_JPY,4h,-2,791,-0.447,49.6,23.4
NZD_JPY,4h,-1,35360,0.266,50.7,23.8
NZD_JPY,4h,0,1252,-0.809,49.0,20.3
NZD_JPY,4h,1,37165,0.105,52.1,23.1
NZD_JPY,4h,2,903,-1.072,47.5,19.3
NZD_JPY,4h,3,20876,-0.4,52.5,22.5
NZD_JPY,4h,4,272,-2.01,48.9,19.1
NZD_JPY,4h,5,5102,-0.891,51.3,21.0
NZD_JPY,24h,-5,3864,7.896,55.9,55.1
NZD_JPY,24h,-4,213,-1.415,45.5,50.7
NZD_JPY,24h,-3,17706,3.311,51.4,54.5
NZD_JPY,24h,-2,791,-0.223,46.5,52.1
NZD_JPY,24h,-1,35317,0.179,49.6,56.7
NZD_JPY,24h,0,1251,-0.603,49.9,51.5
NZD_JPY,24h,1,37043,0.226,52.0,55.4
NZD_JPY,24h,2,901,2.492,55.4,50.7
NZD_JPY,24h,3,20804,0.055,54.2,52.7
NZD_JPY,24h,4,272,2.603,55.1,50.8
NZD_JPY,24h,5,5102,-2.766,52.9,51.8
CHF_JPY,1h,-5,1341,1.104,51.8,17.0
CHF_JPY,1h,-4,50,0.292,54.0,12.1
CHF_JPY,1h,-3,11617,0.86,52.3,17.1
CHF_JPY,1h,-2,367,2.7,56.7,17.9
CHF_JPY,1h,-1,33300,0.224,51.6,17.2
CHF_JPY,1h,0,878,2.008,53.8,16.2
CHF_JPY,1h,1,43082,0.293,51.5,17.7
