spike,m1_min,peak_frac,tp,sl,max_hold,n,sum_pips,ppd,wr,tp_pct,sl_pct,time_pct,mean_pnl,mdd
30.0,5.0,0.5,2.0,3.0,60,6765,-26834.6,-75.35,4.1,42.7,52.0,5.4,-3.97,26834.5
30.0,5.0,0.5,2.0,3.0,120,6756,-26087.7,-73.26,4.2,44.3,53.7,2.0,-3.86,26087.6
30.0,5.0,0.5,2.0,5.0,12,6760,-35544.5,-99.81,2.6,29.1,22.2,48.7,-5.26,35541.3
30.0,5.0,0.5,2.0,5.0,60,6529,-29120.1,-81.77,5.1,50.0,39.9,10.1,-4.46,29120.0
30.0,5.0,0.5,2.0,5.0,120,6507,-28031.6,-78.71,5.4,53.0,43.1,3.9,-4.31,28031.5
30.0,5.0,0.5,2.0,10.0,12,6621,-39068.2,-109.71,2.6,29.6,7.0,63.3,-5.9,39065.0
30.0,5.0,0.5,2.0,10.0,60,6127,-31632.7,-88.83,5.7,56.6,20.5,22.9,-5.16,31632.6
30.0,5.0,0.5,2.0,10.0,120,6036,-29883.4,-83.91,6.8,63.3,25.7,11.0,-4.95,29883.3
30.0,5.0,0.5,3.0,3.0,12,6852,-31470.8,-88.37,17.0,20.6,37.4,42.0,-4.59,31467.6
30.0,5.0,0.5,3.0,3.0,60,6675,-25470.1,-71.52,30.4,37.2,54.9,7.9,-3.82,25471.0
30.0,5.0,0.5,3.0,3.0,120,6661,-24494.8,-68.78,32.3,39.7,57.5,2.8,-3.68,24495.7
30.0,5.0,0.5,3.0,5.0,12,6714,-34740.1,-97.55,17.9,21.9,22.6,55.4,-5.17,34736.9
30.0,5.0,0.5,3.0,5.0,60,6408,-27656.9,-77.66,35.6,43.8,42.4,13.8,-4.32,27657.8
30.0,5.0,0.5,3.0,5.0,120,6372,-26286.9,-73.82,39.1,48.1,46.5,5.4,-4.13,26287.8
30.0,5.0,0.5,3.0,10.0,12,6578,-38371.6,-107.75,18.4,22.2,7.1,70.6,-5.83,38368.4
30.0,5.0,0.5,3.0,10.0,60,5968,-30180.5,-84.75,40.7,49.5,21.9,28.6,-5.06,30181.4
30.0,5.0,0.5,3.0,10.0,120,5847,-28029.8,-78.71,47.6,57.9,27.8,14.3,-4.79,28030.7
30.0,5.0,0.7,1.0,3.0,12,7611,-36540.9,-102.61,0.0,35.1,36.3,28.7,-4.8,36537.7
30.0,5.0,0.7,1.0,3.0,60,7513,-31521.9,-88.52,0.0,48.2,48.3,3.5,-4.2,31520.8
30.0,5.0,0.7,1.0,3.0,120,7505,-30903.2,-86.78,0.0,49.1,49.5,1.4,-4.12,30902.1
30.0,5.0,0.7,1.0,5.0,12,7458,-40123.3,-112.67,0.0,37.4,22.2,40.4,-5.38,40120.1
30.0,5.0,0.7,1.0,5.0,60,7262,-34092.2,-95.73,0.0,55.8,37.1,7.1,-4.69,34091.1
30.0,5.0,0.7,1.0,5.0,120,7242,-33043.2,-92.79,0.0,57.9,39.3,2.9,-4.56,33042.1
30.0,5.0,0.7,1.0,10.0,12,7272,-43751.7,-122.86,0.0,38.3,7.0,54.7,-6.02,43748.5
30.0,5.0,0.7,1.0,10.0,60,6785,-36206.5,-101.67,0.0,63.4,19.1,17.5,-5.34,36205.4
30.0,5.0,0.7,1.0,10.0,120,6715,-34614.0,-97.2,0.0,68.5,23.0,8.5,-5.15,34612.9
30.0,5.0,0.7,2.0,3.0,12,7538,-34978.5,-98.22,2.5,27.8,37.1,35.1,-4.64,34975.3
30.0,5.0,0.7,2.0,3.0,60,7390,-29227.3,-82.07,4.0,42.8,52.1,5.1,-3.95,29227.2
30.0,5.0,0.7,2.0,3.0,120,7380,-28479.4,-79.97,4.1,44.3,53.8,1.9,-3.86,28479.3
30.0,5.0,0.7,2.0,5.0,12,7383,-38601.6,-108.4,2.7,29.4,22.7,47.8,-5.23,38598.4
